name,display_name,data_type,chart_type
"China, Financial account, Direct investment, USD bn","China, Financial account, Direct investment, USD bn",None,line
"China, Financial account, Direct investment, Assets, USD bn","China, Financial account, Direct investment, Assets, USD bn",None,line
"China, Financial account, Direct investment, Assets, Equity and investment fund shares, USD bn","China, Financial account, Direct investment, Assets, Equity and investment fund shares, USD bn",None,line
"China, Financial account, Direct investment, Assets, Debt instruments, USD bn","China, Financial account, Direct investment, Assets, Debt instruments, USD bn",None,line
"China, Financial account, Direct investment, Assets, Financial sector, USD bn","China, Financial account, Direct investment, Assets, Financial sector, USD bn",None,line
"China, Financial account, Direct investment, Assets, Financial sector, Equity, USD bn","China, Financial account, Direct investment, Assets, Financial sector, Equity, USD bn",None,line
"China, Financial account, Direct investment, Assets, Financial sector, Debt instruments, USD bn","China, Financial account, Direct investment, Assets, Financial sector, Debt instruments, USD bn",None,line
"China, Financial account, Direct investment, Assets, Non-financial sector, USD bn","China, Financial account, Direct investment, Assets, Non-financial sector, USD bn",None,line
"China, Financial account, Direct investment, Assets, Non-financial sector, Equity, USD bn","China, Financial account, Direct investment, Assets, Non-financial sector, Equity, USD bn",None,line
"China, Financial account, Direct investment, Assets, Non-financial sector, Debt instruments, USD bn","China, Financial account, Direct investment, Assets, Non-financial sector, Debt instruments, USD bn",None,line
"China, Financial account, Direct investment, Liabilities, USD bn","China, Financial account, Direct investment, Liabilities, USD bn",None,line
"China, Financial account, Direct investment, Liabilities, Equity and investment fund shares, USD bn","China, Financial account, Direct investment, Liabilities, Equity and investment fund shares, USD bn",None,line
"China, Financial account, Direct investment, Liabilities, Debt instruments, USD bn","China, Financial account, Direct investment, Liabilities, Debt instruments, USD bn",None,line
"China, Financial account, Direct investment, Liabilities, Financial sector, USD bn","China, Financial account, Direct investment, Liabilities, Financial sector, USD bn",None,line
"China, Financial account, Direct investment, Liabilities, Financial sector, Equity, USD bn","China, Financial account, Direct investment, Liabilities, Financial sector, Equity, USD bn",None,line
"China, Financial account, Direct investment, Liabilities, Financial sector, Debt instruments, USD bn","China, Financial account, Direct investment, Liabilities, Financial sector, Debt instruments, USD bn",None,line
"China, Financial account, Direct investment, Liabilities, Non-financial sector, USD bn","China, Financial account, Direct investment, Liabilities, Non-financial sector, USD bn",None,line
"China, Financial account, Direct investment, Liabilities, Non-financial sector, Equity, USD bn","China, Financial account, Direct investment, Liabilities, Non-financial sector, Equity, USD bn",None,line
"China, Financial account, Direct investment, Liabilities, Non-financial sector, Debt instruments, USD bn","China, Financial account, Direct investment, Liabilities, Non-financial sector, Debt instruments, USD bn",None,line
"China, Financial account, Portfolio investment, USD bn","China, Financial account, Portfolio investment, USD bn",None,line
"China, Financial account, Portfolio investment, Assets, USD bn","China, Financial account, Portfolio investment, Assets, USD bn",None,line
"China, Financial account, Portfolio investment, Assets, Equity and investment fund shares, USD bn","China, Financial account, Portfolio investment, Assets, Equity and investment fund shares, USD bn",None,line
"China, Financial account, Portfolio investment, Assets, Debt securities, USD bn","China, Financial account, Portfolio investment, Assets, Debt securities, USD bn",None,line
"China, Financial account, Portfolio investment, Liabilities, USD bn","China, Financial account, Portfolio investment, Liabilities, USD bn",None,line
"China, Financial account, Portfolio investment, Liabilities, Equity and investment fund shares, USD bn","China, Financial account, Portfolio investment, Liabilities, Equity and investment fund shares, USD bn",None,line
"China, Financial account, Portfolio investment, Liabilities, Debt securities, USD bn","China, Financial account, Portfolio investment, Liabilities, Debt securities, USD bn",None,line
"China, Financial account, Other investment, USD bn","China, Financial account, Other investment, USD bn",None,line
"China, Financial account, Other investment, Assets, USD bn","China, Financial account, Other investment, Assets, USD bn",None,line
"China, Financial account, Other investment, Assets, Other equity, USD bn","China, Financial account, Other investment, Assets, Other equity, USD bn",None,line
"China, Financial account, Other investment, Assets, Currency and deposits, USD bn","China, Financial account, Other investment, Assets, Currency and deposits, USD bn",None,line
"China, Financial account, Other investment, Assets, Loans, USD bn","China, Financial account, Other investment, Assets, Loans, USD bn",None,line
"China, Financial account, Other investment, Assets, Insurance, pension, and standardized guarantee schemes, USD bn","China, Financial account, Other investment, Assets, Insurance, pension, and standardized guarantee schemes, USD bn",None,line
"China, Financial account, Other investment, Assets, Trade credit and advances, USD bn","China, Financial account, Other investment, Assets, Trade credit and advances, USD bn",None,line
"China, Financial account, Other investment, Assets, Other accounts receivable, USD bn","China, Financial account, Other investment, Assets, Other accounts receivable, USD bn",None,line
"China, Financial account, Other investment, Liabilities, USD bn","China, Financial account, Other investment, Liabilities, USD bn",None,line
"China, Financial account, Other investment, Liabilities, Other equity, USD bn","China, Financial account, Other investment, Liabilities, Other equity, USD bn",None,line
"China, Financial account, Other investment, Liabilities, Currency and deposits, USD bn","China, Financial account, Other investment, Liabilities, Currency and deposits, USD bn",None,line
"China, Financial account, Other investment, Liabilities, Loans, USD bn","China, Financial account, Other investment, Liabilities, Loans, USD bn",None,line
"China, Financial account, Other investment, Liabilities, Insurance, pension, and standardized guarantee schemes, USD bn","China, Financial account, Other investment, Liabilities, Insurance, pension, and standardized guarantee schemes, USD bn",None,line
"China, Financial account, Other investment, Liabilities, Trade credit and advances, USD bn","China, Financial account, Other investment, Liabilities, Trade credit and advances, USD bn",None,line
"China, Financial account, Other investment, Liabilities, Other accounts payable, USD bn","China, Financial account, Other investment, Liabilities, Other accounts payable, USD bn",None,line
"China, Financial account, Other investment, Liabilities, Special drawing rights, USD bn","China, Financial account, Other investment, Liabilities, Special drawing rights, USD bn",None,line
"China, Financial account, including E&O, Direct investment, USD bn","China, Financial account, including E&O, Direct investment, USD bn",None,line
"China, Financial account, including E&O, Direct investment, Assets, USD bn","China, Financial account, including E&O, Direct investment, Assets, USD bn",None,line
"China, Financial account, including E&O, Direct investment, Assets, Equity, USD bn","China, Financial account, including E&O, Direct investment, Assets, Equity, USD bn",None,line
"China, Financial account, including E&O, Direct investment, Assets, Debt, USD bn","China, Financial account, including E&O, Direct investment, Assets, Debt, USD bn",None,line
"China, Financial account, including E&O, Direct investment, Liabilities, USD bn","China, Financial account, including E&O, Direct investment, Liabilities, USD bn",None,line
"China, Financial account, including E&O, Direct investment, Liabilities, Equity, USD bn","China, Financial account, including E&O, Direct investment, Liabilities, Equity, USD bn",None,line
"China, Financial account, including E&O, Direct investment, Liabilities, Debt, USD bn","China, Financial account, including E&O, Direct investment, Liabilities, Debt, USD bn",None,line
"China, Current account, USD bn","China, Current account, USD bn",None,line
"China, Current account, Credit, USD bn","China, Current account, Credit, USD bn",None,line
"China, Current account, Debit, USD bn","China, Current account, Debit, USD bn",None,line
"China, Current account, Goods and services, Balance, USD bn","China, Current account, Goods and services, Balance, USD bn",None,line
"China, Current account, Goods and services, Credit, USD bn","China, Current account, Goods and services, Credit, USD bn",None,line
"China, Current account, Goods and services, Debit, USD bn","China, Current account, Goods and services, Debit, USD bn",None,line
"China, Current account, Goods, Balance, USD bn","China, Current account, Goods, Balance, USD bn",None,line
"China, Current account, Goods, Credit, USD bn","China, Current account, Goods, Credit, USD bn",None,line
"China, Current account, Goods, Debit, USD bn","China, Current account, Goods, Debit, USD bn",None,line
"China, Current account, Services, Balance, USD bn","China, Current account, Services, Balance, USD bn",None,line
"China, Current account, Services, Credit, USD bn","China, Current account, Services, Credit, USD bn",None,line
"China, Current account, Services, Debit, USD bn","China, Current account, Services, Debit, USD bn",None,line
"China, Current account, Services, Manufacturing on physical inputs owned by others, Balance, USD bn","China, Current account, Services, Manufacturing on physical inputs owned by others, Balance, USD bn",None,line
"China, Current account, Services, Manufacturing on physical inputs owned by others, Credit, USD bn","China, Current account, Services, Manufacturing on physical inputs owned by others, Credit, USD bn",None,line
"China, Current account, Services, Manufacturing on physical inputs owned by others, Debit, USD bn","China, Current account, Services, Manufacturing on physical inputs owned by others, Debit, USD bn",None,line
"China, Current account, Services, Maintenance and repair, Balance, USD bn","China, Current account, Services, Maintenance and repair, Balance, USD bn",None,line
"China, Current account, Services, Maintenance and repair, Credit, USD bn","China, Current account, Services, Maintenance and repair, Credit, USD bn",None,line
"China, Current account, Services, Maintenance and repair, Debit, USD bn","China, Current account, Services, Maintenance and repair, Debit, USD bn",None,line
"China, Current account, Services, Transport, Balance, USD bn","China, Current account, Services, Transport, Balance, USD bn",None,line
"China, Current account, Services, Transport, Credit, USD bn","China, Current account, Services, Transport, Credit, USD bn",None,line
"China, Current account, Services, Transport, Debit, USD bn","China, Current account, Services, Transport, Debit, USD bn",None,line
"China, Current account, Services, Travel, Balance, USD bn","China, Current account, Services, Travel, Balance, USD bn",None,line
"China, Current account, Services, Travel, Credit, USD bn","China, Current account, Services, Travel, Credit, USD bn",None,line
"China, Current account, Services, Travel, Debit, USD bn","China, Current account, Services, Travel, Debit, USD bn",None,line
"China, Current account, Services, Construction, Balance, USD bn","China, Current account, Services, Construction, Balance, USD bn",None,line
"China, Current account, Services, Construction, Credit, USD bn","China, Current account, Services, Construction, Credit, USD bn",None,line
