name,display_name,data_type,chart_type
"China, CPI, Alcohol, % MoM","China, CPI, Alcohol, % MoM",None,line
"China, CPI, Alcohol, % YoY","China, CPI, Alcohol, % YoY",None,line
"China, CPI, All items excluding food and energy, % MoM","China, CPI, All items excluding food and energy, % MoM",None,line
"China, CPI, All items excluding food and energy, % YoY","China, CPI, All items excluding food and energy, % YoY",None,line
"China, CPI, All items excluding food, % MoM","China, CPI, All items excluding food, % MoM",None,line
"China, CPI, All items excluding food, % YoY","China, CPI, All items excluding food, % YoY",None,line
"China, CPI, All items, % MoM","China, CPI, All items, % MoM",None,line
"China, CPI, All items, % YoY","China, CPI, All items, % YoY",None,line
"China, CPI, Apparel, % MoM","China, CPI, Apparel, % MoM",None,line
"China, CPI, Apparel, % YoY","China, CPI, Apparel, % YoY",None,line
"China, CPI, Aquatic Products, % MoM","China, CPI, Aquatic Products, % MoM",None,line
"China, CPI, Aquatic Products, % YoY","China, CPI, Aquatic Products, % YoY",None,line
"China, CPI, Beef, % MoM","China, CPI, Beef, % MoM",None,line
"China, CPI, Beef, % YoY","China, CPI, Beef, % YoY",None,line
"China, CPI, Chinese medicine, % MoM","China, CPI, Chinese medicine, % MoM",None,line
"China, CPI, Chinese medicine, % YoY","China, CPI, Chinese medicine, % YoY",None,line
"China, CPI, Clothing, % MoM","China, CPI, Clothing, % MoM",None,line
"China, CPI, Clothing, % YoY","China, CPI, Clothing, % YoY",None,line
"China, CPI, Communication Facility, % MoM","China, CPI, Communication Facility, % MoM",None,line
"China, CPI, Communication Facility, % YoY","China, CPI, Communication Facility, % YoY",None,line
"China, CPI, Communication Services, % MoM","China, CPI, Communication Services, % MoM",None,line
"China, CPI, Communication Services, % YoY","China, CPI, Communication Services, % YoY",None,line
"China, CPI, Communication goods, % MoM","China, CPI, Communication goods, % MoM",None,line
"China, CPI, Communication goods, % YoY","China, CPI, Communication goods, % YoY",None,line
"China, CPI, Communication services, % MoM","China, CPI, Communication services, % MoM",None,line
"China, CPI, Communication services, % YoY","China, CPI, Communication services, % YoY",None,line
"China, CPI, Consumer Goods, % MoM","China, CPI, Consumer Goods, % MoM",None,line
"China, CPI, Consumer Goods, % YoY","China, CPI, Consumer Goods, % YoY",None,line
"China, CPI, Dairy, % MoM","China, CPI, Dairy, % MoM",None,line
