name,display_name,data_type,chart_type
"China, PPI, % MoM","China, PPI, % MoM",None,line
"China, PPI, % YoY","China, PPI, % YoY",None,line
"China, PPI, Agriculture, % MoM","China, PPI, Agriculture, % MoM",None,line
"China, PPI, Agriculture, % YoY","China, PPI, Agriculture, % YoY",None,line
"China, PPI, Consumption goods, % MoM","China, PPI, Consumption goods, % MoM",None,line
"China, PPI, Consumption goods, % YoY","China, PPI, Consumption goods, % YoY",None,line
"China, PPI, Consumption goods, Articles for daily use, % MoM","China, PPI, Consumption goods, Articles for daily use, % MoM",None,line
"China, PPI, Consumption goods, Articles for daily use, % YoY","China, PPI, Consumption goods, Articles for daily use, % YoY",None,line
"China, PPI, Consumption goods, Clothing, % MoM","China, PPI, Consumption goods, Clothing, % MoM",None,line
"China, PPI, Consumption goods, Clothing, % YoY","China, PPI, Consumption goods, Clothing, % YoY",None,line
"China, PPI, Consumption goods, Consumer durables, % MoM","China, PPI, Consumption goods, Consumer durables, % MoM",None,line
"China, PPI, Consumption goods, Consumer durables, % YoY","China, PPI, Consumption goods, Consumer durables, % YoY",None,line
"China, PPI, Consumption goods, Food, % MoM","China, PPI, Consumption goods, Food, % MoM",None,line
"China, PPI, Consumption goods, Food, % YoY","China, PPI, Consumption goods, Food, % YoY",None,line
"China, PPI, Consumption goods, consumer durables, % MoM","China, PPI, Consumption goods, consumer durables, % MoM",None,line
"China, PPI, Consumption goods, consumer durables, % YoY","China, PPI, Consumption goods, consumer durables, % YoY",None,line
"China, PPI, Industrial goods, % MoM","China, PPI, Industrial goods, % MoM",None,line
"China, PPI, Industrial goods, % YoY","China, PPI, Industrial goods, % YoY",None,line
"China, PPI, Industrial goods, Processing, % MoM","China, PPI, Industrial goods, Processing, % MoM",None,line
"China, PPI, Industrial goods, Processing, % YoY","China, PPI, Industrial goods, Processing, % YoY",None,line
"China, PPI, Industrial goods, Quarrying and mining, % MoM","China, PPI, Industrial goods, Quarrying and mining, % MoM",None,line
"China, PPI, Industrial goods, Quarrying and mining, % YoY","China, PPI, Industrial goods, Quarrying and mining, % YoY",None,line
"China, PPI, Industrial goods, Raw materials, % MoM","China, PPI, Industrial goods, Raw materials, % MoM",None,line
