name,display_name,data_type,chart_type
"China, Business, NBS PMI, Construction","China, Business, NBS PMI, Construction",None,line
"China, Business, NBS PMI, Non-manufacturing","China, Business, NBS PMI, Non-manufacturing",None,line
"China, Business, NBS PMI, Services","China, Business, NBS PMI, Services",None,line
"China, Business, S&P PMI, Services","China, Business, S&P PMI, Services",None,line
"China, Business, NBS PMI, Non-manufacturing, Employment","China, Business, NBS PMI, Non-manufacturing, Employment",None,line
"China, Business, NBS PMI, Non-manufacturing, In hand orders","China, Business, NBS PMI, Non-manufacturing, In hand orders",None,line
"China, Business, NBS PMI, Non-manufacturing, Input prices","China, Business, NBS PMI, Non-manufacturing, Input prices",None,line
"China, Business, NBS PMI, Non-manufacturing, Inventory","China, Business, NBS PMI, Non-manufacturing, Inventory",None,line
"China, Business, NBS PMI, Non-manufacturing, Orders","China, Business, NBS PMI, Non-manufacturing, Orders",None,line
"China, Business, NBS PMI, Non-manufacturing, Orders, Export","China, Business, NBS PMI, Non-manufacturing, Orders, Export",None,line
"China, Business, NBS PMI, Non-manufacturing, Outlook","China, Business, NBS PMI, Non-manufacturing, Outlook",None,line
"China, Business, NBS PMI, Non-manufacturing, Output prices","China, Business, NBS PMI, Non-manufacturing, Output prices",None,line
"China, Business, NBS PMI, Non-manufacturing, Supplier delivery time","China, Business, NBS PMI, Non-manufacturing, Supplier delivery time",None,line
"China, Business, NBS PMI, Manufacturing","China, Business, NBS PMI, Manufacturing",None,line
"China, Business, NBS PMI, Manufacturing, Employment","China, Business, NBS PMI, Manufacturing, Employment",None,line
"China, Business, NBS PMI, Manufacturing, Finished goods inventory","China, Business, NBS PMI, Manufacturing, Finished goods inventory",None,line
"China, Business, NBS PMI, Manufacturing, Import","China, Business, NBS PMI, Manufacturing, Import",None,line
"China, Business, NBS PMI, Manufacturing, In hand orders","China, Business, NBS PMI, Manufacturing, In hand orders",None,line
"China, Business, NBS PMI, Manufacturing, Input prices","China, Business, NBS PMI, Manufacturing, Input prices",None,line
"China, Business, NBS PMI, Manufacturing, Orders","China, Business, NBS PMI, Manufacturing, Orders",None,line
"China, Business, NBS PMI, Manufacturing, Orders, Export","China, Business, NBS PMI, Manufacturing, Orders, Export",None,line
"China, Business, NBS PMI, Manufacturing, Outlook","China, Business, NBS PMI, Manufacturing, Outlook",None,line
"China, Business, NBS PMI, Manufacturing, Output","China, Business, NBS PMI, Manufacturing, Output",None,line
"China, Business, NBS PMI, Manufacturing, Output prices","China, Business, NBS PMI, Manufacturing, Output prices",None,line
