name,display_name,data_type,chart_type
"Japan, Financial account, Direct investment, Assets, SA, JPY bn","Japan, Financial account, Direct investment, Assets, SA, JPY bn",None,line
"Japan, Financial account, Direct investment, Liabilities, SA, JPY bn","Japan, Financial account, Direct investment, Liabilities, SA, JPY bn",None,line
"Japan, Current account, Primary income, Investment income, Credit, SA, JPY bn","Japan, Current account, Primary income, Investment income, Credit, SA, JPY bn",None,line
"Japan, Current account, Primary income, Investment income, Portfolio investment, Interest, Credit, SA, JPY bn","Japan, Current account, Primary income, Investment income, Portfolio investment, Interest, Credit, SA, JPY bn",None,line
"Japan, Current account, Primary income, Investment income, Portfolio investment, Equity and investment fund shares, Credit, SA, JPY bn","Japan, Current account, Primary income, Investment income, Portfolio investment, Equity and investment fund shares, Credit, SA, JPY bn",None,line
"Japan, Financial account, Direct investment, Balance, SA, JPY bn","Japan, Financial account, Direct investment, Balance, SA, JPY bn",None,line
"Japan, Capital account, Balance, JPY bn","Japan, Capital account, Balance, JPY bn",None,line
"Japan, Capital account, Capital transfers, Balance, JPY bn","Japan, Capital account, Capital transfers, Balance, JPY bn",None,line
"Japan, Capital account, Capital transfers, Credit, JPY bn","Japan, Capital account, Capital transfers, Credit, JPY bn",None,line
"Japan, Capital account, Capital transfers, Debit, JPY bn","Japan, Capital account, Capital transfers, Debit, JPY bn",None,line
"Japan, Capital account, Capital transfers, Financial corporations, Nonfinancial corporations, Households, And npishs, Balance, JPY bn","Japan, Capital account, Capital transfers, Financial corporations, Nonfinancial corporations, Households, And npishs, Balance, JPY bn",None,line
"Japan, Capital account, Capital transfers, Financial corporations, Nonfinancial corporations, Households, And npishs, Credit, JPY bn","Japan, Capital account, Capital transfers, Financial corporations, Nonfinancial corporations, Households, And npishs, Credit, JPY bn",None,line
"Japan, Capital account, Capital transfers, Financial corporations, Nonfinancial corporations, Households, And npishs, Debit, JPY bn","Japan, Capital account, Capital transfers, Financial corporations, Nonfinancial corporations, Households, And npishs, Debit, JPY bn",None,line
"Japan, Capital account, Capital transfers, Financial corporations, Nonfinancial corporations, Households, And npishs, Debt forgiveness, Balance, JPY bn","Japan, Capital account, Capital transfers, Financial corporations, Nonfinancial corporations, Households, And npishs, Debt forgiveness, Balance, JPY bn",None,line
"Japan, Capital account, Capital transfers, Financial corporations, Nonfinancial corporations, Households, And npishs, Debt forgiveness, Debit, JPY bn","Japan, Capital account, Capital transfers, Financial corporations, Nonfinancial corporations, Households, And npishs, Debt forgiveness, Debit, JPY bn",None,line
"Japan, Capital account, Capital transfers, Financial corporations, Nonfinancial corporations, Households, And npishs, Other capital transfers, Balance, JPY bn","Japan, Capital account, Capital transfers, Financial corporations, Nonfinancial corporations, Households, And npishs, Other capital transfers, Balance, JPY bn",None,line
"Japan, Capital account, Capital transfers, Financial corporations, Nonfinancial corporations, Households, And npishs, Other capital transfers, Credit, JPY bn","Japan, Capital account, Capital transfers, Financial corporations, Nonfinancial corporations, Households, And npishs, Other capital transfers, Credit, JPY bn",None,line
"Japan, Capital account, Capital transfers, Financial corporations, Nonfinancial corporations, Households, And npishs, Other capital transfers, Debit, JPY bn","Japan, Capital account, Capital transfers, Financial corporations, Nonfinancial corporations, Households, And npishs, Other capital transfers, Debit, JPY bn",None,line
"Japan, Capital account, Capital transfers, General government, Balance, JPY bn","Japan, Capital account, Capital transfers, General government, Balance, JPY bn",None,line
"Japan, Capital account, Capital transfers, General government, Credit, JPY bn","Japan, Capital account, Capital transfers, General government, Credit, JPY bn",None,line
"Japan, Capital account, Capital transfers, General government, Debit, JPY bn","Japan, Capital account, Capital transfers, General government, Debit, JPY bn",None,line
"Japan, Capital account, Capital transfers, General government, Debt forgiveness, Balance, JPY bn","Japan, Capital account, Capital transfers, General government, Debt forgiveness, Balance, JPY bn",None,line
"Japan, Capital account, Capital transfers, General government, Debt forgiveness, Debit, JPY bn","Japan, Capital account, Capital transfers, General government, Debt forgiveness, Debit, JPY bn",None,line
"Japan, Capital account, Capital transfers, General government, Grant aid, Balance, JPY bn","Japan, Capital account, Capital transfers, General government, Grant aid, Balance, JPY bn",None,line
"Japan, Capital account, Capital transfers, General government, Grant aid, Credit, JPY bn","Japan, Capital account, Capital transfers, General government, Grant aid, Credit, JPY bn",None,line
"Japan, Capital account, Capital transfers, General government, Grant aid, Debit, JPY bn","Japan, Capital account, Capital transfers, General government, Grant aid, Debit, JPY bn",None,line
"Japan, Capital account, Capital transfers, General government, Other capital transfers, Balance, JPY bn","Japan, Capital account, Capital transfers, General government, Other capital transfers, Balance, JPY bn",None,line
"Japan, Capital account, Capital transfers, General government, Other capital transfers, Credit, JPY bn","Japan, Capital account, Capital transfers, General government, Other capital transfers, Credit, JPY bn",None,line
"Japan, Capital account, Capital transfers, General government, Other capital transfers, Debit, JPY bn","Japan, Capital account, Capital transfers, General government, Other capital transfers, Debit, JPY bn",None,line
"Japan, Capital account, Credit, JPY bn","Japan, Capital account, Credit, JPY bn",None,line
"Japan, Capital account, Debit, JPY bn","Japan, Capital account, Debit, JPY bn",None,line
"Japan, Capital account, Gross acquisitions(dr.), Disposals(cr.) of nonproduced nonfinancial assets, Balance, JPY bn","Japan, Capital account, Gross acquisitions(dr.), Disposals(cr.) of nonproduced nonfinancial assets, Balance, JPY bn",None,line
"Japan, Capital account, Gross acquisitions(dr.), Disposals(cr.) of nonproduced nonfinancial assets, Credit, JPY bn","Japan, Capital account, Gross acquisitions(dr.), Disposals(cr.) of nonproduced nonfinancial assets, Credit, JPY bn",None,line
"Japan, Capital account, Gross acquisitions(dr.), Disposals(cr.) of nonproduced nonfinancial assets, Debit, JPY bn","Japan, Capital account, Gross acquisitions(dr.), Disposals(cr.) of nonproduced nonfinancial assets, Debit, JPY bn",None,line
"Japan, Current account, Current transfers, Balance, JPY bn","Japan, Current account, Current transfers, Balance, JPY bn",None,line
"Japan, Current account, Direct investment, Balance, JPY bn","Japan, Current account, Direct investment, Balance, JPY bn",None,line
"Japan, Current account, Financial derivatives (other than reserves), Balance, JPY bn","Japan, Current account, Financial derivatives (other than reserves), Balance, JPY bn",None,line
"Japan, Current account, Goods and services, Balance, JPY bn","Japan, Current account, Goods and services, Balance, JPY bn",None,line
"Japan, Current account, Goods and services, Balance, SA, JPY bn","Japan, Current account, Goods and services, Balance, SA, JPY bn",None,line
"Japan, Current account, Goods and, Balance, JPY bn","Japan, Current account, Goods and, Balance, JPY bn",None,line
"Japan, Current account, Goods and, Balance, SA, JPY bn","Japan, Current account, Goods and, Balance, SA, JPY bn",None,line
"Japan, Current account, Goods, Balance, JPY bn","Japan, Current account, Goods, Balance, JPY bn",None,line
"Japan, Current account, Goods, Balance, SA, JPY bn","Japan, Current account, Goods, Balance, SA, JPY bn",None,line
"Japan, Current account, Goods, Exports, JPY bn","Japan, Current account, Goods, Exports, JPY bn",None,line
"Japan, Current account, Goods, Exports, SA, JPY bn","Japan, Current account, Goods, Exports, SA, JPY bn",None,line
"Japan, Current account, Goods, General merchandise on a balance of payments basis, Balance, Additions to net balance on a trade statistics basis, Goods not passing through japanese customs, JPY bn","Japan, Current account, Goods, General merchandise on a balance of payments basis, Balance, Additions to net balance on a trade statistics basis, Goods not passing through japanese customs, JPY bn",None,line
"Japan, Current account, Goods, General merchandise on a balance of payments basis, Balance, Additions to net balance on a trade statistics basis, JPY bn","Japan, Current account, Goods, General merchandise on a balance of payments basis, Balance, Additions to net balance on a trade statistics basis, JPY bn",None,line
"Japan, Current account, Goods, General merchandise on a balance of payments basis, Balance, Deductions from net balance on a trade statistics basis, JPY bn","Japan, Current account, Goods, General merchandise on a balance of payments basis, Balance, Deductions from net balance on a trade statistics basis, JPY bn",None,line
"Japan, Current account, Goods, General merchandise on a balance of payments basis, Balance, Deductions from net balance on a trade statistics basis, Re-export goods, JPY bn","Japan, Current account, Goods, General merchandise on a balance of payments basis, Balance, Deductions from net balance on a trade statistics basis, Re-export goods, JPY bn",None,line
"Japan, Current account, Goods, General merchandise on a balance of payments basis, Balance, Deductions from net balance on a trade statistics basis, Re-import goods, JPY bn","Japan, Current account, Goods, General merchandise on a balance of payments basis, Balance, Deductions from net balance on a trade statistics basis, Re-import goods, JPY bn",None,line
"Japan, Current account, Goods, General merchandise on a balance of payments basis, Balance, JPY bn","Japan, Current account, Goods, General merchandise on a balance of payments basis, Balance, JPY bn",None,line
"Japan, Current account, Goods, General merchandise on a balance of payments basis, Exports, Additions to exports on a trade statistics basis, Goods not passing through japanese customs, JPY bn","Japan, Current account, Goods, General merchandise on a balance of payments basis, Exports, Additions to exports on a trade statistics basis, Goods not passing through japanese customs, JPY bn",None,line
"Japan, Current account, Goods, General merchandise on a balance of payments basis, Exports, Additions to exports on a trade statistics basis, JPY bn","Japan, Current account, Goods, General merchandise on a balance of payments basis, Exports, Additions to exports on a trade statistics basis, JPY bn",None,line
"Japan, Current account, Goods, General merchandise on a balance of payments basis, Exports, Deductions from exports on a trade statistics basis, JPY bn","Japan, Current account, Goods, General merchandise on a balance of payments basis, Exports, Deductions from exports on a trade statistics basis, JPY bn",None,line
"Japan, Current account, Goods, General merchandise on a balance of payments basis, Exports, Deductions from exports on a trade statistics basis, Re-export goods, JPY bn","Japan, Current account, Goods, General merchandise on a balance of payments basis, Exports, Deductions from exports on a trade statistics basis, Re-export goods, JPY bn",None,line
"Japan, Current account, Goods, General merchandise on a balance of payments basis, Exports, Deductions from exports on a trade statistics basis, Re-import goods, JPY bn","Japan, Current account, Goods, General merchandise on a balance of payments basis, Exports, Deductions from exports on a trade statistics basis, Re-import goods, JPY bn",None,line
"Japan, Current account, Goods, General merchandise on a balance of payments basis, Exports, JPY bn","Japan, Current account, Goods, General merchandise on a balance of payments basis, Exports, JPY bn",None,line
"Japan, Current account, Goods, General merchandise on a balance of payments basis, Imports, Additions to imports on a trade statistics basis, Goods not passing through japanese customs, JPY bn","Japan, Current account, Goods, General merchandise on a balance of payments basis, Imports, Additions to imports on a trade statistics basis, Goods not passing through japanese customs, JPY bn",None,line
"Japan, Current account, Goods, General merchandise on a balance of payments basis, Imports, Additions to imports on a trade statistics basis, JPY bn","Japan, Current account, Goods, General merchandise on a balance of payments basis, Imports, Additions to imports on a trade statistics basis, JPY bn",None,line
