raw_data_name,data_type,cleaned_name
"Exports, All, USD bn",b,"Exports, All, Value, USD"
"Imports, All, USD bn",b,"Imports, All, Value, USD"
"Exports, China and HK, USD bn",b,"Exports, China and HK, Value, USD"
"Exports, Asia tech chain, USD bn",b,"Exports, Asia tech chain, Value, USD"
"Exports, Taiwan, USD bn",b,"Exports, Taiwan, Value, USD"
"Exports, Korea, USD bn",b,"Exports, Korea, Value, USD"
"Exports, Vietnam, USD bn",b,"Exports, Vietnam, Value, USD"
"Exports, EU, USD bn",b,"Exports, EU, Value, USD"
"Exports, US, USD bn",b,"Exports, US, Value, USD"
"Exports, ASEAN, USD bn",b,"Exports, ASEAN, Value, USD"
"Exports, Autos, USD bn",b,"Exports, Autos, Value, USD"
"Exports, Semi equipment, USD bn",b,"Exports, Semi equipment, Value, USD"
"Exports, Semiconductors, USD bn",b,"Exports, Semiconductors, Value, USD"
"Imports, mineral fuels, USD bn",b,"Imports, mineral fuels, Value, USD"
"Trade balance, USD bn",b,"Trade balance, Value, USD"
"Exports, Semi, semiconductors and semi mfg equipment, USD bn",b,"Exports, Semi, semiconductors and semi mfg equipment, Value, USD"
"Exports, All, JPY bn",b,"Exports, All, Value, LCU"
"Imports, All, JPY bn",b,"Imports, All, Value, LCU"
"Exports, China and HK, JPY bn",b,"Exports, China and HK, Value, LCU"
"Exports, Asia tech chain, JPY bn",b,"Exports, Asia tech chain, Value, LCU"
"Exports, Taiwan, JPY bn",b,"Exports, Taiwan, Value, LCU"
"Exports, Korea, JPY bn",b,"Exports, Korea, Value, LCU"
"Exports, Vietnam, JPY bn",b,"Exports, Vietnam, Value, LCU"
"Exports, EU, JPY bn",b,"Exports, EU, Value, LCU"
"Exports, US, JPY bn",b,"Exports, US, Value, LCU"
"Exports, ASEAN, JPY bn",b,"Exports, ASEAN, Value, LCU"
"Exports, Autos, JPY bn",b,"Exports, Autos, Value, LCU"
"Exports, Semi equipment, JPY bn",b,"Exports, Semi equipment, Value, LCU"
"Exports, Semiconductors, JPY bn",b,"Exports, Semiconductors, Value, LCU"
"Imports, mineral fuels, JPY bn",b,"Imports, mineral fuels, Value, LCU"
"Trade balance, JPY bn",b,"Trade balance, Value, LCU"
"Exports, Semi, semiconductors and semi mfg equipment, JPY bn",b,"Exports, Semi, semiconductors and semi mfg equipment, Value, LCU"
"Exports, Asean, Chemicals, Quantum Index",None,"Exports, Asean, Chemicals, Volume, index"
"Exports, Asean, Chemicals, Unit Index",None,"Exports, Asean, Chemicals, Price, index"
"Exports, Asean, Chemicals, Value Index",None,"Exports, Asean, Chemicals, Value, index"
"Exports, Asean, Food-stuff, Quantum Index",None,"Exports, Asean, Food-stuff, Volume, index"
"Exports, Asean, Food-stuff, Unit Index",None,"Exports, Asean, Food-stuff, Price, index"
