name,display_name,data_type,chart_type
"Japan, CPI, All items, % YoY","Japan, CPI, All items, % YoY",None,line
"Japan, CPI, All items excluding fresh food, % YoY","Japan, CPI, All items excluding fresh food, % YoY",None,line
"Japan, CPI, All items excluding fresh food and energy, % YoY","Japan, CPI, All items excluding fresh food and energy, % YoY",None,line
"Japan, CPI, All items excluding imputed rent, % YoY","Japan, CPI, All items excluding imputed rent, % YoY",None,line
"Japan, CPI, All items excluding imputed rent & fresh food, % YoY","Japan, CPI, All items excluding imputed rent & fresh food, % YoY",None,line
"Japan, CPI, All items excluding food and energy, % YoY","Japan, CPI, All items excluding food and energy, % YoY",None,line
"Japan, CPI, All items excluding food and energy, % MoM","Japan, CPI, All items excluding food and energy, % MoM",None,line
"Japan, CPI, All items, SA, % MoM","Japan, CPI, All items, SA, % MoM",None,line
"Japan, CPI, All items excluding fresh food, SA, % MoM","Japan, CPI, All items excluding fresh food, SA, % MoM",None,line
"Japan, CPI, All items excluding fresh food and energy, SA, % MoM","Japan, CPI, All items excluding fresh food and energy, SA, % MoM",None,line
"Japan, CPI, All items, % MoM","Japan, CPI, All items, % MoM",None,line
"Japan, CPI, All items excluding fresh food and energy, % MoM","Japan, CPI, All items excluding fresh food and energy, % MoM",None,line
"Japan, CPI, All items excluding fresh food, % MoM","Japan, CPI, All items excluding fresh food, % MoM",None,line
"Japan, CPI, All items excluding imputed rent, % MoM","Japan, CPI, All items excluding imputed rent, % MoM",None,line
"Japan, CPI, All items excluding imputed rent & fresh food, % MoM","Japan, CPI, All items excluding imputed rent & fresh food, % MoM",None,line
"Japan, CPI, All items excluding food and energy, SA, % MoM","Japan, CPI, All items excluding food and energy, SA, % MoM",None,line
"Japan, CPI, All items, SA, % MoM annualised","Japan, CPI, All items, SA, % MoM annualised",None,line
"Japan, CPI, All items excluding fresh food, SA, % MoM annualised","Japan, CPI, All items excluding fresh food, SA, % MoM annualised",None,line
"Japan, CPI, All items excluding fresh food and energy, SA, % MoM annualised","Japan, CPI, All items excluding fresh food and energy, SA, % MoM annualised",None,line
"Japan, CPI, All items excluding food and energy, SA, % MoM annualised","Japan, CPI, All items excluding food and energy, SA, % MoM annualised",None,line
"Japan, CPI, Services, SA, % MoM annualised","Japan, CPI, Services, SA, % MoM annualised",None,line
"Japan, CPI, All items, index","Japan, CPI, All items, index",None,line
"Japan, CPI, All items excluding fresh food and energy, index","Japan, CPI, All items excluding fresh food and energy, index",None,line
"Japan, CPI, All items excluding fresh food, index","Japan, CPI, All items excluding fresh food, index",None,line
"Japan, CPI, All items excluding imputed rent, index","Japan, CPI, All items excluding imputed rent, index",None,line
"Japan, CPI, All items excluding imputed rent & fresh food, index","Japan, CPI, All items excluding imputed rent & fresh food, index",None,line
"Japan, CPI, All items excluding food and energy, index","Japan, CPI, All items excluding food and energy, index",None,line
"Japan, CPI, All items, SA, index","Japan, CPI, All items, SA, index",None,line
"Japan, CPI, All items excluding fresh food, SA, index","Japan, CPI, All items excluding fresh food, SA, index",None,line
"Japan, CPI, All items excluding fresh food and energy, SA, index","Japan, CPI, All items excluding fresh food and energy, SA, index",None,line
"Japan, CPI, Energy, % YoY","Japan, CPI, Energy, % YoY",None,line
"Japan, CPI, Food, % YoY","Japan, CPI, Food, % YoY",None,line
"Japan, CPI, Goods, % YoY","Japan, CPI, Goods, % YoY",None,line
"Japan, CPI, Services, % YoY","Japan, CPI, Services, % YoY",None,line
"Japan, CPI, Services, Public services, % YoY","Japan, CPI, Services, Public services, % YoY",None,line
"Japan, CPI, Services, Public services, Services related to domestic duties, % YoY","Japan, CPI, Services, Public services, Services related to domestic duties, % YoY",None,line
"Japan, CPI, Services, Public services, Services related to medical care & welfare, % YoY","Japan, CPI, Services, Public services, Services related to medical care & welfare, % YoY",None,line
"Japan, CPI, Services, Public services, Services related to forwarding & communication, % YoY","Japan, CPI, Services, Public services, Services related to forwarding & communication, % YoY",None,line
"Japan, CPI, Services, Public services, Services related to education, % YoY","Japan, CPI, Services, Public services, Services related to education, % YoY",None,line
"Japan, CPI, Services, Public services, Services related to culture & recreation, % YoY","Japan, CPI, Services, Public services, Services related to culture & recreation, % YoY",None,line
"Japan, CPI, Services, General services, % YoY","Japan, CPI, Services, General services, % YoY",None,line
"Japan, CPI, Services, General services, Meals outside the home, % YoY","Japan, CPI, Services, General services, Meals outside the home, % YoY",None,line
"Japan, CPI, Services, General services, Other services, % YoY","Japan, CPI, Services, General services, Other services, % YoY",None,line
"Japan, CPI, Services, General services, Other services, Services related to domestic duties, % YoY","Japan, CPI, Services, General services, Other services, Services related to domestic duties, % YoY",None,line
"Japan, CPI, Services, General services, Other services, Services related to medical care & welfare, % YoY","Japan, CPI, Services, General services, Other services, Services related to medical care & welfare, % YoY",None,line
"Japan, CPI, Services, General services, Other services, Services related to education, % YoY","Japan, CPI, Services, General services, Other services, Services related to education, % YoY",None,line
"Japan, CPI, Services, General services, Other services, Services related to communication, culture & recreation, % YoY","Japan, CPI, Services, General services, Other services, Services related to communication, culture & recreation, % YoY",None,line
"Japan, CPI, Durable goods, % YoY","Japan, CPI, Durable goods, % YoY",None,line
"Japan, CPI, Goods, less fresh food, % YoY","Japan, CPI, Goods, less fresh food, % YoY",None,line
