name,display_name,data_type,chart_type
"Japan, EPI, JPY basis, Index","Japan, EPI, JPY basis, Index",None,line
"Japan, EPI, JPY basis, Group, Textiles, Index","Japan, EPI, JPY basis, Group, Textiles, Index",None,line
"Japan, EPI, JPY basis, Subgroup, Textile products, Index","Japan, EPI, JPY basis, Subgroup, Textile products, Index",None,line
"Japan, EPI, JPY basis, Commodity class, Fiber fabrics, Index","Japan, EPI, JPY basis, Commodity class, Fiber fabrics, Index",None,line
"Japan, EPI, JPY basis, Commodity, Fiber fabrics, Index","Japan, EPI, JPY basis, Commodity, Fiber fabrics, Index",None,line
"Japan, EPI, JPY basis, Commodity class, Miscellaneous fabricated textile products, Index","Japan, EPI, JPY basis, Commodity class, Miscellaneous fabricated textile products, Index",None,line
"Japan, EPI, JPY basis, Commodity, Felt and bonded fabrics, Index","Japan, EPI, JPY basis, Commodity, Felt and bonded fabrics, Index",None,line
"Japan, EPI, JPY basis, Group, Chemicals and related products, Index","Japan, EPI, JPY basis, Group, Chemicals and related products, Index",None,line
"Japan, EPI, JPY basis, Subgroup, Chemicals and related products, Index","Japan, EPI, JPY basis, Subgroup, Chemicals and related products, Index",None,line
"Japan, EPI, JPY basis, Commodity class, Industrial soda chemicals, Index","Japan, EPI, JPY basis, Commodity class, Industrial soda chemicals, Index",None,line
"Japan, EPI, JPY basis, Commodity, Caustic soda, Index","Japan, EPI, JPY basis, Commodity, Caustic soda, Index",None,line
"Japan, EPI, JPY basis, Commodity class, Inorganic pigment, Index","Japan, EPI, JPY basis, Commodity class, Inorganic pigment, Index",None,line
"Japan, EPI, JPY basis, Commodity, Titanium oxides, Index","Japan, EPI, JPY basis, Commodity, Titanium oxides, Index",None,line
"Japan, EPI, JPY basis, Commodity class, Miscellaneous industrial inorganic chemicals, Index","Japan, EPI, JPY basis, Commodity class, Miscellaneous industrial inorganic chemicals, Index",None,line
"Japan, EPI, JPY basis, Commodity, Silicon dioxides, Index","Japan, EPI, JPY basis, Commodity, Silicon dioxides, Index",None,line
"Japan, EPI, JPY basis, Commodity class, Petrochemical basic products, Index","Japan, EPI, JPY basis, Commodity class, Petrochemical basic products, Index",None,line
"Japan, EPI, JPY basis, Commodity, Ethylene, Index","Japan, EPI, JPY basis, Commodity, Ethylene, Index",None,line
"Japan, EPI, JPY basis, Commodity, Propylene, Index","Japan, EPI, JPY basis, Commodity, Propylene, Index",None,line
"Japan, EPI, JPY basis, Commodity class, Petrochemical aromatic products except synthetic resin, Index","Japan, EPI, JPY basis, Commodity class, Petrochemical aromatic products except synthetic resin, Index",None,line
"Japan, EPI, JPY basis, Commodity, Benzene, Index","Japan, EPI, JPY basis, Commodity, Benzene, Index",None,line
"Japan, EPI, JPY basis, Commodity, Toluene, Index","Japan, EPI, JPY basis, Commodity, Toluene, Index",None,line
"Japan, EPI, JPY basis, Commodity class, Aliphatic intermediates, Index","Japan, EPI, JPY basis, Commodity class, Aliphatic intermediates, Index",None,line
"Japan, EPI, JPY basis, Commodity, Vinyl chloride monomer, Index","Japan, EPI, JPY basis, Commodity, Vinyl chloride monomer, Index",None,line
