name,display_name,data_type,chart_type
"Japan, PPI, Goods, Index","Japan, PPI, Goods, Index",None,line
"Japan, PPI, Goods, Major group, Manufacturing industry products, Index","Japan, PPI, Goods, Major group, Manufacturing industry products, Index",None,line
"Japan, PPI, Goods, Group, Beverages and foods, Index","Japan, PPI, Goods, Group, Beverages and foods, Index",None,line
"Japan, PPI, Goods, Subgroup, Foods, Index","Japan, PPI, Goods, Subgroup, Foods, Index",None,line
"Japan, PPI, Goods, Commodity class, Dairy farm products, Index","Japan, PPI, Goods, Commodity class, Dairy farm products, Index",None,line
"Japan, PPI, Goods, Commodity, Processed milk, Index","Japan, PPI, Goods, Commodity, Processed milk, Index",None,line
"Japan, PPI, Goods, Commodity, Milk beverage and lactic acid bacteria beverage, Index","Japan, PPI, Goods, Commodity, Milk beverage and lactic acid bacteria beverage, Index",None,line
"Japan, PPI, Goods, Commodity, Dry milk, Index","Japan, PPI, Goods, Commodity, Dry milk, Index",None,line
"Japan, PPI, Goods, Commodity, Butter, Index","Japan, PPI, Goods, Commodity, Butter, Index",None,line
"Japan, PPI, Goods, Commodity, Cheese, Index","Japan, PPI, Goods, Commodity, Cheese, Index",None,line
"Japan, PPI, Goods, Commodity, Fresh cream, Index","Japan, PPI, Goods, Commodity, Fresh cream, Index",None,line
"Japan, PPI, Goods, Commodity, Ice cream, Index","Japan, PPI, Goods, Commodity, Ice cream, Index",None,line
"Japan, PPI, Goods, Commodity, Yogurt, Index","Japan, PPI, Goods, Commodity, Yogurt, Index",None,line
"Japan, PPI, Goods, Commodity class, Miscellaneous livestock products, Index","Japan, PPI, Goods, Commodity class, Miscellaneous livestock products, Index",None,line
"Japan, PPI, Goods, Commodity, Meat products, Index","Japan, PPI, Goods, Commodity, Meat products, Index",None,line
"Japan, PPI, Goods, Commodity class, Bottled or canned seafood, Index","Japan, PPI, Goods, Commodity class, Bottled or canned seafood, Index",None,line
"Japan, PPI, Goods, Commodity, Bottled or canned seafood, Index","Japan, PPI, Goods, Commodity, Bottled or canned seafood, Index",None,line
"Japan, PPI, Goods, Commodity class, Fish paste, Index","Japan, PPI, Goods, Commodity class, Fish paste, Index",None,line
"Japan, PPI, Goods, Commodity, Fish paste, Index","Japan, PPI, Goods, Commodity, Fish paste, Index",None,line
"Japan, PPI, Goods, Commodity class, Miscellaneous processed seafood, Index","Japan, PPI, Goods, Commodity class, Miscellaneous processed seafood, Index",None,line
"Japan, PPI, Goods, Commodity, Dried bonito flakes packs, Index","Japan, PPI, Goods, Commodity, Dried bonito flakes packs, Index",None,line
"Japan, PPI, Goods, Commodity, Pickled seafood products, Index","Japan, PPI, Goods, Commodity, Pickled seafood products, Index",None,line
"Japan, PPI, Goods, Commodity, Tsukudani, preserved seafood boiled in soy sauce, Index","Japan, PPI, Goods, Commodity, Tsukudani, preserved seafood boiled in soy sauce, Index",None,line
"Japan, PPI, Goods, Commodity class, Flour and miscellaneous grain milled products, Index","Japan, PPI, Goods, Commodity class, Flour and miscellaneous grain milled products, Index",None,line
"Japan, PPI, Goods, Commodity, Wheat flour, Index","Japan, PPI, Goods, Commodity, Wheat flour, Index",None,line
"Japan, PPI, Goods, Commodity class, Noodles, Index","Japan, PPI, Goods, Commodity class, Noodles, Index",None,line
"Japan, PPI, Goods, Commodity, Instant noodles, Index","Japan, PPI, Goods, Commodity, Instant noodles, Index",None,line
"Japan, PPI, Goods, Commodity, Japanese noodles, Index","Japan, PPI, Goods, Commodity, Japanese noodles, Index",None,line
"Japan, PPI, Goods, Commodity, Chinese noodles, Index","Japan, PPI, Goods, Commodity, Chinese noodles, Index",None,line
"Japan, PPI, Goods, Commodity, Western noodles, Index","Japan, PPI, Goods, Commodity, Western noodles, Index",None,line
"Japan, PPI, Goods, Commodity class, Bread, Index","Japan, PPI, Goods, Commodity class, Bread, Index",None,line
"Japan, PPI, Goods, Commodity, Loaf of bread, Index","Japan, PPI, Goods, Commodity, Loaf of bread, Index",None,line
"Japan, PPI, Goods, Commodity, Buns, Index","Japan, PPI, Goods, Commodity, Buns, Index",None,line
"Japan, PPI, Goods, Commodity, Bread type rolls and sandwiches, Index","Japan, PPI, Goods, Commodity, Bread type rolls and sandwiches, Index",None,line
"Japan, PPI, Goods, Commodity class, Confectionery, Index","Japan, PPI, Goods, Commodity class, Confectionery, Index",None,line
"Japan, PPI, Goods, Commodity, Cakes, Index","Japan, PPI, Goods, Commodity, Cakes, Index",None,line
"Japan, PPI, Goods, Commodity, Japanese sweets, Index","Japan, PPI, Goods, Commodity, Japanese sweets, Index",None,line
"Japan, PPI, Goods, Commodity, Biscuits, cookies, etc., Index","Japan, PPI, Goods, Commodity, Biscuits, cookies, etc., Index",None,line
"Japan, PPI, Goods, Commodity, Rice confectionery, Index","Japan, PPI, Goods, Commodity, Rice confectionery, Index",None,line
"Japan, PPI, Goods, Commodity, Candy, Index","Japan, PPI, Goods, Commodity, Candy, Index",None,line
"Japan, PPI, Goods, Commodity, Chocolate confectionery, Index","Japan, PPI, Goods, Commodity, Chocolate confectionery, Index",None,line
"Japan, PPI, Goods, Commodity, Chewing gum, Index","Japan, PPI, Goods, Commodity, Chewing gum, Index",None,line
"Japan, PPI, Goods, Commodity, Snacks, Index","Japan, PPI, Goods, Commodity, Snacks, Index",None,line
"Japan, PPI, Goods, Commodity, Ice confectionery, Index","Japan, PPI, Goods, Commodity, Ice confectionery, Index",None,line
"Japan, PPI, Goods, Commodity, Pea and bean snacks, Index","Japan, PPI, Goods, Commodity, Pea and bean snacks, Index",None,line
"Japan, PPI, Goods, Commodity, Cereals, Index","Japan, PPI, Goods, Commodity, Cereals, Index",None,line
"Japan, PPI, Goods, Commodity class, Preserved agricultural foodstuffs, Index","Japan, PPI, Goods, Commodity class, Preserved agricultural foodstuffs, Index",None,line
"Japan, PPI, Goods, Commodity, Canned fruits and vegetables, Index","Japan, PPI, Goods, Commodity, Canned fruits and vegetables, Index",None,line
"Japan, PPI, Goods, Commodity, Pickles, Index","Japan, PPI, Goods, Commodity, Pickles, Index",None,line
"Japan, PPI, Goods, Commodity class, Sugar, Index","Japan, PPI, Goods, Commodity class, Sugar, Index",None,line
"Japan, PPI, Goods, Commodity, Sugar, Index","Japan, PPI, Goods, Commodity, Sugar, Index",None,line
"Japan, PPI, Goods, Commodity class, Starch, Index","Japan, PPI, Goods, Commodity class, Starch, Index",None,line
"Japan, PPI, Goods, Commodity, Starch, Index","Japan, PPI, Goods, Commodity, Starch, Index",None,line
"Japan, PPI, Goods, Commodity class, Dextrose, syrup and isomerized sugar, Index","Japan, PPI, Goods, Commodity class, Dextrose, syrup and isomerized sugar, Index",None,line
"Japan, PPI, Goods, Commodity, Glucose and starch syrup, Index","Japan, PPI, Goods, Commodity, Glucose and starch syrup, Index",None,line
"Japan, PPI, Goods, Commodity, High-fructose corn syrup, Index","Japan, PPI, Goods, Commodity, High-fructose corn syrup, Index",None,line
"Japan, PPI, Goods, Commodity class, Animal oil and fats, vegetable oil and meal, Index","Japan, PPI, Goods, Commodity class, Animal oil and fats, vegetable oil and meal, Index",None,line
"Japan, PPI, Goods, Commodity, Vegetable oils and fats except blended vegetable oils and fats, Index","Japan, PPI, Goods, Commodity, Vegetable oils and fats except blended vegetable oils and fats, Index",None,line
"Japan, PPI, Goods, Commodity, Blended vegetable oils and fats, Index","Japan, PPI, Goods, Commodity, Blended vegetable oils and fats, Index",None,line
"Japan, PPI, Goods, Commodity, Vegetable oil cakes, Index","Japan, PPI, Goods, Commodity, Vegetable oil cakes, Index",None,line
"Japan, PPI, Goods, Commodity, Shortening, Index","Japan, PPI, Goods, Commodity, Shortening, Index",None,line
"Japan, PPI, Goods, Commodity, Margarine, Index","Japan, PPI, Goods, Commodity, Margarine, Index",None,line
"Japan, PPI, Goods, Commodity class, Seasonings, Index","Japan, PPI, Goods, Commodity class, Seasonings, Index",None,line
"Japan, PPI, Goods, Commodity, Miso, fermented soybean paste, Index","Japan, PPI, Goods, Commodity, Miso, fermented soybean paste, Index",None,line
"Japan, PPI, Goods, Commodity, Soy sauce, Index","Japan, PPI, Goods, Commodity, Soy sauce, Index",None,line
"Japan, PPI, Goods, Commodity, Sauces, Index","Japan, PPI, Goods, Commodity, Sauces, Index",None,line
"Japan, PPI, Goods, Commodity, Vinegar, Index","Japan, PPI, Goods, Commodity, Vinegar, Index",None,line
