name,display_name,data_type,chart_type
"Japan, Consumer, CO survey, SA","Japan, Consumer, CO survey, SA",None,line
"Japan, Consumer, CO survey, MoM chg, SA","Japan, Consumer, CO survey, MoM chg, SA",None,line
"Japan, Consumer, CO survey, Overall livelihood, SA","Japan, Consumer, CO survey, Overall livelihood, SA",None,line
"Japan, Consumer, CO survey, Overall livelihood, MoM chg, SA","Japan, Consumer, CO survey, Overall livelihood, MoM chg, SA",None,line
"Japan, Consumer, CO survey, Income, SA","Japan, Consumer, CO survey, Income, SA",None,line
"Japan, Consumer, CO survey, Income, MoM chg, SA","Japan, Consumer, CO survey, Income, MoM chg, SA",None,line
"Japan, Consumer, CO survey, Employment, SA","Japan, Consumer, CO survey, Employment, SA",None,line
"Japan, Consumer, CO survey, Employment, MoM chg, SA","Japan, Consumer, CO survey, Employment, MoM chg, SA",None,line
"Japan, Consumer, CO survey, Durable goods purchase intentions, SA","Japan, Consumer, CO survey, Durable goods purchase intentions, SA",None,line
"Japan, Consumer, CO survey, Durable goods purchase intentions, MoM chg, SA","Japan, Consumer, CO survey, Durable goods purchase intentions, MoM chg, SA",None,line
"Japan, Consumer, CO survey, Asset value, SA","Japan, Consumer, CO survey, Asset value, SA",None,line
"Japan, Consumer, CO survey, Asset value, MoM chg, SA","Japan, Consumer, CO survey, Asset value, MoM chg, SA",None,line
"Japan, Consumer, CO survey","Japan, Consumer, CO survey",None,line
"Japan, Consumer, CO survey, MoM chg","Japan, Consumer, CO survey, MoM chg",None,line
"Japan, Consumer, CO survey, Overall livelihood","Japan, Consumer, CO survey, Overall livelihood",None,line
"Japan, Consumer, CO survey, Overall livelihood, MoM chg","Japan, Consumer, CO survey, Overall livelihood, MoM chg",None,line
"Japan, Consumer, CO survey, Income","Japan, Consumer, CO survey, Income",None,line
"Japan, Consumer, CO survey, Income, MoM chg","Japan, Consumer, CO survey, Income, MoM chg",None,line
"Japan, Consumer, CO survey, Employment","Japan, Consumer, CO survey, Employment",None,line
"Japan, Consumer, CO survey, Employment, MoM chg","Japan, Consumer, CO survey, Employment, MoM chg",None,line
"Japan, Consumer, CO survey, Durable goods purchase intentions","Japan, Consumer, CO survey, Durable goods purchase intentions",None,line
"Japan, Consumer, CO survey, Durable goods purchase intentions, MoM chg","Japan, Consumer, CO survey, Durable goods purchase intentions, MoM chg",None,line
"Japan, Consumer, CO survey, Asset value","Japan, Consumer, CO survey, Asset value",None,line
"Japan, Consumer, CO survey, Asset value, MoM chg","Japan, Consumer, CO survey, Asset value, MoM chg",None,line
"Japan, Consumer, CO survey, 低下する_▲５％以上","Japan, Consumer, CO survey, 低下する_▲５％以上",None,line
"Japan, Consumer, CO survey, 低下する_▲５％未満～▲２％以上","Japan, Consumer, CO survey, 低下する_▲５％未満～▲２％以上",None,line
"Japan, Consumer, CO survey, 低下する_▲２％未満","Japan, Consumer, CO survey, 低下する_▲２％未満",None,line
"Japan, Consumer, CO survey, 低下する_(計)","Japan, Consumer, CO survey, 低下する_(計)",None,line
"Japan, Consumer, CO survey, 低下する_(前月差)","Japan, Consumer, CO survey, 低下する_(前月差)",None,line
"Japan, Consumer, CO survey, 低下する_(前年同月差)","Japan, Consumer, CO survey, 低下する_(前年同月差)",None,line
"Japan, Consumer, CO survey, 変わらない_０％程度","Japan, Consumer, CO survey, 変わらない_０％程度",None,line
"Japan, Consumer, CO survey, 変わらない_０％程度_(前月差)","Japan, Consumer, CO survey, 変わらない_０％程度_(前月差)",None,line
"Japan, Consumer, CO survey, 変わらない_０％程度_(前年同月差)","Japan, Consumer, CO survey, 変わらない_０％程度_(前年同月差)",None,line
"Japan, Consumer, CO survey, 上昇する_２％未満","Japan, Consumer, CO survey, 上昇する_２％未満",None,line
"Japan, Consumer, CO survey, 上昇する_２％以上～５％未満","Japan, Consumer, CO survey, 上昇する_２％以上～５％未満",None,line
"Japan, Consumer, CO survey, 上昇する_５％以上","Japan, Consumer, CO survey, 上昇する_５％以上",None,line
"Japan, Consumer, CO survey, 上昇する_(計)","Japan, Consumer, CO survey, 上昇する_(計)",None,line
"Japan, Consumer, CO survey, 上昇する_(前月差)","Japan, Consumer, CO survey, 上昇する_(前月差)",None,line
"Japan, Consumer, CO survey, 上昇する_(前年同月差)","Japan, Consumer, CO survey, 上昇する_(前年同月差)",None,line
"Japan, Consumer, CO survey, 分からない","Japan, Consumer, CO survey, 分からない",None,line
"Japan, Consumer, CO survey, Expected inflation","Japan, Consumer, CO survey, Expected inflation",None,line
"Japan, Consumer, CO survey, Under 29, Overall index","Japan, Consumer, CO survey, Under 29, Overall index",None,line
"Japan, Consumer, CO survey, Under 29, Livelihood","Japan, Consumer, CO survey, Under 29, Livelihood",None,line
"Japan, Consumer, CO survey, Under 29, Income","Japan, Consumer, CO survey, Under 29, Income",None,line
"Japan, Consumer, CO survey, Under 29, Employment","Japan, Consumer, CO survey, Under 29, Employment",None,line
"Japan, Consumer, CO survey, Under 29, Durable goods purchase intentions","Japan, Consumer, CO survey, Under 29, Durable goods purchase intentions",None,line
"Japan, Consumer, CO survey, Under 29, Asset value","Japan, Consumer, CO survey, Under 29, Asset value",None,line
"Japan, Consumer, CO survey, 30-59, Overall index","Japan, Consumer, CO survey, 30-59, Overall index",None,line
"Japan, Consumer, CO survey, 30-59, Livelihood","Japan, Consumer, CO survey, 30-59, Livelihood",None,line
"Japan, Consumer, CO survey, 30-59, Income","Japan, Consumer, CO survey, 30-59, Income",None,line
"Japan, Consumer, CO survey, 30-59, Employment","Japan, Consumer, CO survey, 30-59, Employment",None,line
"Japan, Consumer, CO survey, 30-59, Durable goods purchase intentions","Japan, Consumer, CO survey, 30-59, Durable goods purchase intentions",None,line
"Japan, Consumer, CO survey, 30-59, Asset value","Japan, Consumer, CO survey, 30-59, Asset value",None,line
"Japan, Consumer, CO survey, 60 & over, Overall index","Japan, Consumer, CO survey, 60 & over, Overall index",None,line
"Japan, Consumer, CO survey, 60 & over, Livelihood","Japan, Consumer, CO survey, 60 & over, Livelihood",None,line
"Japan, Consumer, CO survey, 60 & over, Income","Japan, Consumer, CO survey, 60 & over, Income",None,line
"Japan, Consumer, CO survey, 60 & over, Employment","Japan, Consumer, CO survey, 60 & over, Employment",None,line
"Japan, Consumer, CO survey, 60 & over, Durable goods purchase intentions","Japan, Consumer, CO survey, 60 & over, Durable goods purchase intentions",None,line
"Japan, Consumer, CO survey, 60 & over, Asset value","Japan, Consumer, CO survey, 60 & over, Asset value",None,line
"Japan, Consumer, CO survey, 30-39, Overall index","Japan, Consumer, CO survey, 30-39, Overall index",None,line
"Japan, Consumer, CO survey, 30-39, Livelihood","Japan, Consumer, CO survey, 30-39, Livelihood",None,line
"Japan, Consumer, CO survey, 30-39, Income","Japan, Consumer, CO survey, 30-39, Income",None,line
"Japan, Consumer, CO survey, 30-39, Employment","Japan, Consumer, CO survey, 30-39, Employment",None,line
"Japan, Consumer, CO survey, 30-39, Durable goods purchase intentions","Japan, Consumer, CO survey, 30-39, Durable goods purchase intentions",None,line
"Japan, Consumer, CO survey, 30-39, Asset value","Japan, Consumer, CO survey, 30-39, Asset value",None,line
"Japan, Consumer, CO survey, 40-49, Overall index","Japan, Consumer, CO survey, 40-49, Overall index",None,line
"Japan, Consumer, CO survey, 40-49, Livelihood","Japan, Consumer, CO survey, 40-49, Livelihood",None,line
"Japan, Consumer, CO survey, 40-49, Income","Japan, Consumer, CO survey, 40-49, Income",None,line
"Japan, Consumer, CO survey, 40-49, Employment","Japan, Consumer, CO survey, 40-49, Employment",None,line
"Japan, Consumer, CO survey, 40-49, Durable goods purchase intentions","Japan, Consumer, CO survey, 40-49, Durable goods purchase intentions",None,line
"Japan, Consumer, CO survey, 40-49, Asset value","Japan, Consumer, CO survey, 40-49, Asset value",None,line
"Japan, Consumer, CO survey, 50-59, Overall index","Japan, Consumer, CO survey, 50-59, Overall index",None,line
"Japan, Consumer, CO survey, 50-59, Livelihood","Japan, Consumer, CO survey, 50-59, Livelihood",None,line
"Japan, Consumer, CO survey, 50-59, Income","Japan, Consumer, CO survey, 50-59, Income",None,line
"Japan, Consumer, CO survey, 50-59, Employment","Japan, Consumer, CO survey, 50-59, Employment",None,line
"Japan, Consumer, CO survey, 50-59, Durable goods purchase intentions","Japan, Consumer, CO survey, 50-59, Durable goods purchase intentions",None,line
"Japan, Consumer, CO survey, 50-59, Asset value","Japan, Consumer, CO survey, 50-59, Asset value",None,line
"Japan, Consumer, CO survey, 60-69, Overall index","Japan, Consumer, CO survey, 60-69, Overall index",None,line
"Japan, Consumer, CO survey, 60-69, Livelihood","Japan, Consumer, CO survey, 60-69, Livelihood",None,line
"Japan, Consumer, CO survey, 60-69, Income","Japan, Consumer, CO survey, 60-69, Income",None,line
"Japan, Consumer, CO survey, 60-69, Employment","Japan, Consumer, CO survey, 60-69, Employment",None,line
"Japan, Consumer, CO survey, 60-69, Durable goods purchase intentions","Japan, Consumer, CO survey, 60-69, Durable goods purchase intentions",None,line
"Japan, Consumer, CO survey, 60-69, Asset value","Japan, Consumer, CO survey, 60-69, Asset value",None,line
"Japan, Consumer, CO survey, 70 & over, Overall index","Japan, Consumer, CO survey, 70 & over, Overall index",None,line
"Japan, Consumer, CO survey, 70 & over, Livelihood","Japan, Consumer, CO survey, 70 & over, Livelihood",None,line
"Japan, Consumer, CO survey, 70 & over, Income","Japan, Consumer, CO survey, 70 & over, Income",None,line
"Japan, Consumer, CO survey, 70 & over, Employment","Japan, Consumer, CO survey, 70 & over, Employment",None,line
"Japan, Consumer, CO survey, 70 & over, Durable goods purchase intentions","Japan, Consumer, CO survey, 70 & over, Durable goods purchase intentions",None,line
"Japan, Consumer, CO survey, 70 & over, Asset value","Japan, Consumer, CO survey, 70 & over, Asset value",None,line
"Japan, Consumer, CO survey, SA, z","Japan, Consumer, CO survey, SA, z",None,line
"Japan, Consumer, CO survey, MoM chg, SA, z","Japan, Consumer, CO survey, MoM chg, SA, z",None,line
"Japan, Consumer, CO survey, Overall livelihood, SA, z","Japan, Consumer, CO survey, Overall livelihood, SA, z",None,line
"Japan, Consumer, CO survey, Overall livelihood, MoM chg, SA, z","Japan, Consumer, CO survey, Overall livelihood, MoM chg, SA, z",None,line
"Japan, Consumer, CO survey, Income, SA, z","Japan, Consumer, CO survey, Income, SA, z",None,line
"Japan, Consumer, CO survey, Income, MoM chg, SA, z","Japan, Consumer, CO survey, Income, MoM chg, SA, z",None,line
"Japan, Consumer, CO survey, Employment, SA, z","Japan, Consumer, CO survey, Employment, SA, z",None,line
"Japan, Consumer, CO survey, Employment, MoM chg, SA, z","Japan, Consumer, CO survey, Employment, MoM chg, SA, z",None,line
"Japan, Consumer, CO survey, Durable goods purchase intentions, SA, z","Japan, Consumer, CO survey, Durable goods purchase intentions, SA, z",None,line
"Japan, Consumer, CO survey, Durable goods purchase intentions, MoM chg, SA, z","Japan, Consumer, CO survey, Durable goods purchase intentions, MoM chg, SA, z",None,line
"Japan, Consumer, CO survey, Asset value, SA, z","Japan, Consumer, CO survey, Asset value, SA, z",None,line
"Japan, Consumer, CO survey, Asset value, MoM chg, SA, z","Japan, Consumer, CO survey, Asset value, MoM chg, SA, z",None,line
"Japan, Consumer, CO survey, z","Japan, Consumer, CO survey, z",None,line
"Japan, Consumer, CO survey, MoM chg, z","Japan, Consumer, CO survey, MoM chg, z",None,line
"Japan, Consumer, CO survey, Overall livelihood, z","Japan, Consumer, CO survey, Overall livelihood, z",None,line
"Japan, Consumer, CO survey, Overall livelihood, MoM chg, z","Japan, Consumer, CO survey, Overall livelihood, MoM chg, z",None,line
"Japan, Consumer, CO survey, Income, z","Japan, Consumer, CO survey, Income, z",None,line
"Japan, Consumer, CO survey, Income, MoM chg, z","Japan, Consumer, CO survey, Income, MoM chg, z",None,line
"Japan, Consumer, CO survey, Employment, z","Japan, Consumer, CO survey, Employment, z",None,line
"Japan, Consumer, CO survey, Employment, MoM chg, z","Japan, Consumer, CO survey, Employment, MoM chg, z",None,line
"Japan, Consumer, CO survey, Durable goods purchase intentions, z","Japan, Consumer, CO survey, Durable goods purchase intentions, z",None,line
"Japan, Consumer, CO survey, Durable goods purchase intentions, MoM chg, z","Japan, Consumer, CO survey, Durable goods purchase intentions, MoM chg, z",None,line
"Japan, Consumer, CO survey, Asset value, z","Japan, Consumer, CO survey, Asset value, z",None,line
"Japan, Consumer, CO survey, Asset value, MoM chg, z","Japan, Consumer, CO survey, Asset value, MoM chg, z",None,line
"Japan, Consumer, CO survey, 低下する_▲５％以上, z","Japan, Consumer, CO survey, 低下する_▲５％以上, z",None,line
"Japan, Consumer, CO survey, 低下する_▲５％未満～▲２％以上, z","Japan, Consumer, CO survey, 低下する_▲５％未満～▲２％以上, z",None,line
"Japan, Consumer, CO survey, 低下する_▲２％未満, z","Japan, Consumer, CO survey, 低下する_▲２％未満, z",None,line
"Japan, Consumer, CO survey, 低下する_(計), z","Japan, Consumer, CO survey, 低下する_(計), z",None,line
"Japan, Consumer, CO survey, 低下する_(前月差), z","Japan, Consumer, CO survey, 低下する_(前月差), z",None,line
"Japan, Consumer, CO survey, 低下する_(前年同月差), z","Japan, Consumer, CO survey, 低下する_(前年同月差), z",None,line
"Japan, Consumer, CO survey, 変わらない_０％程度, z","Japan, Consumer, CO survey, 変わらない_０％程度, z",None,line
