name,display_name,data_type,chart_type
"Korea, IIP, Assets, USD bn","Korea, IIP, Assets, USD bn",None,line
"Korea, IIP, Assets, Direct investment, USD bn","Korea, IIP, Assets, Direct investment, USD bn",None,line
"Korea, IIP, Assets, Direct investment, Equity and investment fund shares, USD bn","Korea, IIP, Assets, Direct investment, Equity and investment fund shares, USD bn",None,line
"Korea, IIP, Assets, Direct investment, Debt instruments, USD bn","Korea, IIP, Assets, Direct investment, Debt instruments, USD bn",None,line
"Korea, IIP, Assets, Portfolio investment, USD bn","Korea, IIP, Assets, Portfolio investment, USD bn",None,line
"Korea, IIP, Assets, Portfolio investment, Central bank, USD bn","Korea, IIP, Assets, Portfolio investment, Central bank, USD bn",None,line
"Korea, IIP, Assets, Portfolio investment, General government, USD bn","Korea, IIP, Assets, Portfolio investment, General government, USD bn",None,line
"Korea, IIP, Assets, Portfolio investment, Deposit-taking corporations, except the central bank, USD bn","Korea, IIP, Assets, Portfolio investment, Deposit-taking corporations, except the central bank, USD bn",None,line
"Korea, IIP, Assets, Portfolio investment, Other sectors, USD bn","Korea, IIP, Assets, Portfolio investment, Other sectors, USD bn",None,line
"Korea, IIP, Assets, Portfolio investment, Other sectors, Other financial corporations, USD bn","Korea, IIP, Assets, Portfolio investment, Other sectors, Other financial corporations, USD bn",None,line
"Korea, IIP, Assets, Portfolio investment, Other sectors, Nonfinancial corporations, households, and NPISHs, USD bn","Korea, IIP, Assets, Portfolio investment, Other sectors, Nonfinancial corporations, households, and NPISHs, USD bn",None,line
"Korea, IIP, Assets, Portfolio investment, Equity and investment fund shares, USD bn","Korea, IIP, Assets, Portfolio investment, Equity and investment fund shares, USD bn",None,line
"Korea, IIP, Assets, Portfolio investment, Equity and investment fund shares, Central bank, USD bn","Korea, IIP, Assets, Portfolio investment, Equity and investment fund shares, Central bank, USD bn",None,line
"Korea, IIP, Assets, Portfolio investment, Equity and investment fund shares, General government, USD bn","Korea, IIP, Assets, Portfolio investment, Equity and investment fund shares, General government, USD bn",None,line
"Korea, IIP, Assets, Portfolio investment, Equity and investment fund shares, Deposit-taking corporations, except the central bank, USD bn","Korea, IIP, Assets, Portfolio investment, Equity and investment fund shares, Deposit-taking corporations, except the central bank, USD bn",None,line
"Korea, IIP, Assets, Portfolio investment, Equity and investment fund shares, Other sectors, USD bn","Korea, IIP, Assets, Portfolio investment, Equity and investment fund shares, Other sectors, USD bn",None,line
"Korea, IIP, Assets, Portfolio investment, Equity and investment fund shares, Other sectors, Other financial corporations, USD bn","Korea, IIP, Assets, Portfolio investment, Equity and investment fund shares, Other sectors, Other financial corporations, USD bn",None,line
"Korea, IIP, Assets, Portfolio investment, Equity and investment fund shares, Other sectors, Nonfinancial corporations, households, and NPISHs, USD bn","Korea, IIP, Assets, Portfolio investment, Equity and investment fund shares, Other sectors, Nonfinancial corporations, households, and NPISHs, USD bn",None,line
"Korea, IIP, Assets, Portfolio investment, Debt securities, USD bn","Korea, IIP, Assets, Portfolio investment, Debt securities, USD bn",None,line
"Korea, IIP, Assets, Portfolio investment, Debt securities, Long-term debt securities, USD bn","Korea, IIP, Assets, Portfolio investment, Debt securities, Long-term debt securities, USD bn",None,line
"Korea, IIP, Assets, Portfolio investment, Debt securities, Short-term debt securities, USD bn","Korea, IIP, Assets, Portfolio investment, Debt securities, Short-term debt securities, USD bn",None,line
"Korea, IIP, Assets, Portfolio investment, Debt securities, Central bank, USD bn","Korea, IIP, Assets, Portfolio investment, Debt securities, Central bank, USD bn",None,line
"Korea, IIP, Assets, Portfolio investment, Debt securities, Long-term debt securities, Central bank, USD bn","Korea, IIP, Assets, Portfolio investment, Debt securities, Long-term debt securities, Central bank, USD bn",None,line
"Korea, IIP, Assets, Portfolio investment, Debt securities, Short-term debt securities, Central bank, USD bn","Korea, IIP, Assets, Portfolio investment, Debt securities, Short-term debt securities, Central bank, USD bn",None,line
"Korea, IIP, Assets, Portfolio investment, Debt securities, General government, USD bn","Korea, IIP, Assets, Portfolio investment, Debt securities, General government, USD bn",None,line
"Korea, IIP, Assets, Portfolio investment, Debt securities, Long-term debt securities, General government, USD bn","Korea, IIP, Assets, Portfolio investment, Debt securities, Long-term debt securities, General government, USD bn",None,line
"Korea, IIP, Assets, Portfolio investment, Debt securities, Short-term debt securities, General government, USD bn","Korea, IIP, Assets, Portfolio investment, Debt securities, Short-term debt securities, General government, USD bn",None,line
"Korea, IIP, Assets, Portfolio investment, Debt securities, Deposit-taking corporations, except the central bank, USD bn","Korea, IIP, Assets, Portfolio investment, Debt securities, Deposit-taking corporations, except the central bank, USD bn",None,line
"Korea, IIP, Assets, Portfolio investment, Debt securities, Long-term debt securities, Deposit-taking corporations, except the central bank, USD bn","Korea, IIP, Assets, Portfolio investment, Debt securities, Long-term debt securities, Deposit-taking corporations, except the central bank, USD bn",None,line
"Korea, IIP, Assets, Portfolio investment, Debt securities, Short-term debt securities, Deposit-taking corporations, except the central bank, USD bn","Korea, IIP, Assets, Portfolio investment, Debt securities, Short-term debt securities, Deposit-taking corporations, except the central bank, USD bn",None,line
"Korea, IIP, Assets, Portfolio investment, Debt securities, Other sectors, USD bn","Korea, IIP, Assets, Portfolio investment, Debt securities, Other sectors, USD bn",None,line
"Korea, IIP, Assets, Portfolio investment, Debt securities, Long-term debt securities, Other sectors, USD bn","Korea, IIP, Assets, Portfolio investment, Debt securities, Long-term debt securities, Other sectors, USD bn",None,line
