name,display_name,data_type,chart_type
"Korea, Current account, USD bn","Korea, Current account, USD bn",None,line
"Korea, Current account, Goods, Balance, USD bn","Korea, Current account, Goods, Balance, USD bn",None,line
"Korea, Current account, Goods, Exports, USD bn","Korea, Current account, Goods, Exports, USD bn",None,line
"Korea, Current account, Goods, Imports, USD bn","Korea, Current account, Goods, Imports, USD bn",None,line
"Korea, Current account, Goods, General merchandise, Balance, USD bn","Korea, Current account, Goods, General merchandise, Balance, USD bn",None,line
"Korea, Current account, Goods, General merchandise, Exports, USD bn","Korea, Current account, Goods, General merchandise, Exports, USD bn",None,line
"Korea, Current account, Goods, General merchandise, Imports, USD bn","Korea, Current account, Goods, General merchandise, Imports, USD bn",None,line
"Korea, Current account, Goods, Net exports of goods under merchanting, Balance, USD bn","Korea, Current account, Goods, Net exports of goods under merchanting, Balance, USD bn",None,line
"Korea, Current account, Goods, Nonmonetary gold, Balance, USD bn","Korea, Current account, Goods, Nonmonetary gold, Balance, USD bn",None,line
"Korea, Current account, Goods, Nonmonetary gold, Exports, USD bn","Korea, Current account, Goods, Nonmonetary gold, Exports, USD bn",None,line
"Korea, Current account, Goods, Nonmonetary gold, Imports, USD bn","Korea, Current account, Goods, Nonmonetary gold, Imports, USD bn",None,line
"Korea, Current account, Services, Balance, USD bn","Korea, Current account, Services, Balance, USD bn",None,line
"Korea, Current account, Services, Credit, USD bn","Korea, Current account, Services, Credit, USD bn",None,line
"Korea, Current account, Services, Debit, USD bn","Korea, Current account, Services, Debit, USD bn",None,line
"Korea, Current account, Services, Manufacturing on physical inputs owned by others, Balance, USD bn","Korea, Current account, Services, Manufacturing on physical inputs owned by others, Balance, USD bn",None,line
"Korea, Current account, Services, Manufacturing on physical inputs owned by others, Credit, USD bn","Korea, Current account, Services, Manufacturing on physical inputs owned by others, Credit, USD bn",None,line
"Korea, Current account, Services, Manufacturing on physical inputs owned by others, Debit, USD bn","Korea, Current account, Services, Manufacturing on physical inputs owned by others, Debit, USD bn",None,line
