Date,"Korea, Exports, All, SA, USD bn","Korea, Exports, All, USD bn","Korea, Exports, All, USD bn, % YoY","Korea, Exports, All, KRW bn","Korea, Exports, All, KRW bn, % YoY","Korea, Exports, By Country, China, Total, SA, USD bn","Korea, Exports, By Country, China, Total, USD bn","Korea, Exports, By Country, China, Total, USD bn, % YoY","Korea, Exports, By Country, China and Hong Kong, Total, SA, USD bn","Korea, Exports, By Country, China and Hong Kong, Total, USD bn","Korea, Exports, By Country, China and Hong Kong, Total, USD bn, % YoY","Korea, Exports, By Country, ASEAN, Total, SA, USD bn","Korea, Exports, By Country, ASEAN, Total, USD bn","Korea, Exports, By Country, ASEAN, Total, USD bn, % YoY","Korea, Exports, By Country, United States, Total, SA, USD bn","Korea, Exports, By Country, United States, Total, USD bn","Korea, Exports, By Country, United States, Total, USD bn, % YoY","Korea, Imports, All, SA, USD bn","Korea, Imports, All, USD bn","Korea, Imports, All, USD bn, % YoY","Korea, Imports, All, KRW bn","Korea, Imports, All, KRW bn, % YoY","Korea, Imports, By Country, China, Total, SA, USD bn","Korea, Imports, By Country, China, Total, USD bn","Korea, Imports, By Country, China, Total, USD bn, % YoY","Korea, Imports, By Country, China and Hong Kong, Total, SA, USD bn","Korea, Imports, By Country, China and Hong Kong, Total, USD bn","Korea, Imports, By Country, China and Hong Kong, Total, USD bn, % YoY","Korea, Imports, By Country, ASEAN, Total, SA, USD bn","Korea, Imports, By Country, ASEAN, Total, USD bn","Korea, Imports, By Country, ASEAN, Total, USD bn, % YoY","Korea, Imports, By Country, United States, Total, SA, USD bn","Korea, Imports, By Country, United States, Total, USD bn","Korea, Imports, By Country, United States, Total, USD bn, % YoY","Korea, Trade balance, All, SA, USD bn","Korea, Trade balance, All, USD bn","Korea, Trade balance, By Country, China, Total, SA, USD bn","Korea, Trade balance, By Country, China, Total, USD bn","Korea, Trade balance, By Country, China and Hong Kong, Total, SA, USD bn","Korea, Trade balance, By Country, China and Hong Kong, Total, USD bn","Korea, Trade balance, By Country, ASEAN, Total, SA, USD bn","Korea, Trade balance, By Country, ASEAN, Total, USD bn","Korea, Trade balance, By Country, United States, Total, SA, USD bn","Korea, Trade balance, By Country, United States, Total, USD bn"
2000-01-01,,12.162425,,13747.2880769389,,,1.235215,,,2.017564,,,,,,2.609788,,,12.594623,,14235.804997888205,,,1.008166,,,1.1187699999999998,,,,,,2.217025,,,-0.4321979999999996,,0.227049,,0.8987940000000003,,,,0.392763
2000-02-01,,12.676042,,14317.247135161831,,,1.273117,,,2.0971070000000003,,,1.390563,,,2.55431,,,12.023652,,13580.390247301391,,,0.834291,,,0.93738,,,1.367313,,,2.24152,,,0.6523900000000005,,0.438826,,1.1597270000000002,,0.0232499999999999,,0.3127900000000001
2000-03-01,,14.429703,,16102.070354794976,,,1.437377,,,2.349025,,,1.851391,,,2.946821,,,14.212011,,15859.148383381147,,,1.125348,,,1.256309,,,1.686792,,,2.60738,,,0.2176919999999995,,0.3120289999999999,,1.0927160000000002,,0.1645989999999999,,0.3394409999999999
2000-04-01,,13.52204,,15013.57697972356,,,1.366877,,,2.23012,,,1.581149,,,2.69803,,,13.344532,,14816.489112617948,,,1.032362,,,1.1387,,,1.464635,,,2.570158,,,0.1775080000000013,,0.3345149999999999,,1.0914199999999998,,0.116514,,0.1278719999999999
2000-05-01,,14.636755,,16401.443709525352,,,1.663241,,,2.550322,,,1.734821,,,3.167181,,,13.283356,,14884.87138765292,,,1.06661,,,1.173917,,,1.493994,,,2.634243,,,1.3533990000000014,,0.5966309999999999,,1.376405,,0.2408269999999999,,0.5329379999999997
2000-06-01,,15.25094,,17049.30150199144,,,1.636969,,,2.520499,,,1.697658,,,3.214983,,,13.177511,,14731.377743588837,,,1.08363,,,1.201883,,,1.225851,,,2.48226,,,2.073428999999999,,0.5533389999999998,,1.318616,,0.4718069999999998,,0.732723
2000-07-01,,14.455656,,16120.713057092711,,,1.606725,,,2.477719,,,1.64206,,,3.255804,,,13.671876,,15246.65431635565,,,1.05437,,,1.164367,,,1.380854,,,2.424239,,,0.7837800000000001,,0.5523549999999999,,1.313352,,0.261206,,0.8315649999999999
2000-08-01,,14.78688,,16480.889356365118,,,1.685674,,,2.60935,,,1.833812,,,3.267078,,,13.441139,,14980.97804827821,,,1.101618,,,1.215966,,,1.36843,,,2.653138,,,1.3457410000000003,,0.5840559999999999,,1.3933840000000002,,0.4653819999999999,,0.6139399999999999
2000-09-01,,15.133379,,16889.008729476074,,,1.592373,,,2.536229,,,1.731915,,,3.510989,,,13.291803,,14833.790715046274,,,1.079238,,,1.167214,,,1.388875,,,2.415664,,,1.841576,,0.5131350000000001,,1.369015,,0.34304,,1.095325
2000-10-01,,15.248068,,17210.731977491712,,,1.619741,,,2.601699,,,1.653247,,,3.471765,,,14.104212,,15919.643884439807,,,1.152946,,,1.251327,,,1.481274,,,2.529401,,,1.1438559999999995,,0.466795,,1.350372,,0.1719729999999999,,0.942364
