name,display_name,data_type,chart_type
"Exports, China, Value, USD","KR, Exports, China, Value, USD",b,line
"Exports, US, Value, USD","KR, Exports, US, Value, USD",b,line
"Exports, EU, Value, USD","KR, Exports, EU, Value, USD",b,line
"Exports, Vietnam, Value, USD","KR, Exports, Vietnam, Value, USD",b,line
"Exports, Hong Kong, Value, USD","KR, Exports, Hong Kong, Value, USD",b,line
"Exports, Japan, Value, USD","KR, Exports, Japan, Value, USD",b,line
"Exports, Taiwan, Value, USD","KR, Exports, Taiwan, Value, USD",b,line
"Exports, India, Value, USD","KR, Exports, India, Value, USD",b,line
"Exports, Singapore, Value, USD","KR, Exports, Singapore, Value, USD",b,line
"Exports, Malaysia, Value, USD","KR, Exports, Malaysia, Value, USD",b,line
"Exports, Country, Other, Value, USD","KR, Exports, Country, Other, Value, USD",b,line
"Exports, ASEAN Three and India, Value, USD","KR, Exports, ASEAN Three and India, Value, USD",b,line
"Exports, North Asia, Value, USD","KR, Exports, North Asia, Value, USD",b,line
"Exports, DM, Value, USD","KR, Exports, DM, Value, USD",b,line
"Exports, China and Hong Kong, Value, USD","KR, Exports, China and Hong Kong, Value, USD",b,line
"Imports, China, Value, USD","KR, Imports, China, Value, USD",b,line
"Imports, US, Value, USD","KR, Imports, US, Value, USD",b,line
"Imports, EU, Value, USD","KR, Imports, EU, Value, USD",b,line
"Imports, Japan, Value, USD","KR, Imports, Japan, Value, USD",b,line
"Imports, Vietnam, Value, USD","KR, Imports, Vietnam, Value, USD",b,line
"Imports, Australia, Value, USD","KR, Imports, Australia, Value, USD",b,line
"Imports, Taiwan, Value, USD","KR, Imports, Taiwan, Value, USD",b,line
"Imports, Saudi Arabia, Value, USD","KR, Imports, Saudi Arabia, Value, USD",b,line
"Imports, Russia, Value, USD","KR, Imports, Russia, Value, USD",b,line
"Imports, Malaysia, Value, USD","KR, Imports, Malaysia, Value, USD",b,line
"Imports, Country, Other, Value, USD","KR, Imports, Country, Other, Value, USD",b,line
"Imports, Commodity producers, Value, USD","KR, Imports, Commodity producers, Value, USD",b,line
"Imports, North Asia, Value, USD","KR, Imports, North Asia, Value, USD",b,line
"Exports, Semiconductors, Value, USD","KR, Exports, Semiconductors, Value, USD",b,line
"Exports, Steel products, Value, USD","KR, Exports, Steel products, Value, USD",b,line
"Exports, Autos, Value, USD","KR, Exports, Autos, Value, USD",b,line
"Exports, Petroleum products, Value, USD","KR, Exports, Petroleum products, Value, USD",b,line
"Exports, Wireless communication equipment, Value, USD","KR, Exports, Wireless communication equipment, Value, USD",b,line
"Exports, Ships, Value, USD","KR, Exports, Ships, Value, USD",b,line
"Exports, Automobile parts, Value, USD","KR, Exports, Automobile parts, Value, USD",b,line
"Exports, Computer peripherals, Value, USD","KR, Exports, Computer peripherals, Value, USD",b,line
"Exports, Precision equipment, Value, USD","KR, Exports, Precision equipment, Value, USD",b,line
"Exports, Home appliances, Value, USD","KR, Exports, Home appliances, Value, USD",b,line
"Exports, All, Value, USD","KR, Exports, All, Value, USD",b,line
"Exports, Product, Other, Value, USD","KR, Exports, Product, Other, Value, USD",b,line
"Exports, All ex ships, Value, USD","KR, Exports, All ex ships, Value, USD",b,line
"Exports, Tech, Value, USD","KR, Exports, Tech, Value, USD",b,line
"Exports, Auto and parts, Value, USD","KR, Exports, Auto and parts, Value, USD",b,line
"Exports, Other products inc Home appliances, Value, USD","KR, Exports, Other products inc Home appliances, Value, USD",b,line
"Imports, Semiconductors, Value, USD","KR, Imports, Semiconductors, Value, USD",b,line
"Imports, Crude oil, Value, USD","KR, Imports, Crude oil, Value, USD",b,line
"Imports, Machinery, Value, USD","KR, Imports, Machinery, Value, USD",b,line
"Imports, Gas, Value, USD","KR, Imports, Gas, Value, USD",b,line
"Imports, Semiconductor mfg equipment, Value, USD","KR, Imports, Semiconductor mfg equipment, Value, USD",b,line
"Imports, Precision equipment, Value, USD","KR, Imports, Precision equipment, Value, USD",b,line
"Imports, Petroleum products, Value, USD","KR, Imports, Petroleum products, Value, USD",b,line
"Imports, Wireless communication equipment, Value, USD","KR, Imports, Wireless communication equipment, Value, USD",b,line
"Imports, Autos, Value, USD","KR, Imports, Autos, Value, USD",b,line
"Imports, Coal, Value, USD","KR, Imports, Coal, Value, USD",b,line
"Imports, All, Value, USD","KR, Imports, All, Value, USD",b,line
"Imports, Product, Other, Value, USD","KR, Imports, Product, Other, Value, USD",b,line
"Imports, Energy, Value, USD","KR, Imports, Energy, Value, USD",b,line
"Exports, ASEAN, Value, USD","KR, Exports, ASEAN, Value, USD",b,line
"Exports, Africa, Value, USD","KR, Exports, Africa, Value, USD",b,line
"Exports, Asia, Value, USD","KR, Exports, Asia, Value, USD",b,line
"Exports, Europe, Value, USD","KR, Exports, Europe, Value, USD",b,line
"Exports, Latin America, Value, USD","KR, Exports, Latin America, Value, USD",b,line
"Exports, Middle East, Value, USD","KR, Exports, Middle East, Value, USD",b,line
"Exports, Mobile phones, Value, USD","KR, Exports, Mobile phones, Value, USD",b,line
"Exports, North America, Value, USD","KR, Exports, North America, Value, USD",b,line
"Exports, Oceania, Value, USD","KR, Exports, Oceania, Value, USD",b,line
"Exports, Semiconductor mfg equipment, Value, USD","KR, Exports, Semiconductor mfg equipment, Value, USD",b,line
"Exports, all, Value, USD","KR, Exports, all, Value, USD",b,line
"Exports, mineral fuels, Value, USD","KR, Exports, mineral fuels, Value, USD",b,line
"Imports, ASEAN, Value, USD","KR, Imports, ASEAN, Value, USD",b,line
"Imports, Africa, Value, USD","KR, Imports, Africa, Value, USD",b,line
"Imports, Asia, Value, USD","KR, Imports, Asia, Value, USD",b,line
"Imports, Europe, Value, USD","KR, Imports, Europe, Value, USD",b,line
"Imports, Hong Kong, Value, USD","KR, Imports, Hong Kong, Value, USD",b,line
"Imports, Latin America, Value, USD","KR, Imports, Latin America, Value, USD",b,line
"Imports, Middle East, Value, USD","KR, Imports, Middle East, Value, USD",b,line
"Imports, Mobile phones, Value, USD","KR, Imports, Mobile phones, Value, USD",b,line
"Imports, North America, Value, USD","KR, Imports, North America, Value, USD",b,line
"Imports, Oceania, Value, USD","KR, Imports, Oceania, Value, USD",b,line
"Imports, all, Value, USD","KR, Imports, all, Value, USD",b,line
"Imports, mineral fuels, Value, USD","KR, Imports, mineral fuels, Value, USD",b,line
"Exports, EM, Value, USD","KR, Exports, EM, Value, USD",b,line
