raw_data_name,data_type,cleaned_name
"Exports, China, USD bn",b,"Exports, China, Value, USD"
"Exports, US, USD bn",b,"Exports, US, Value, USD"
"Exports, EU, USD bn",b,"Exports, EU, Value, USD"
"Exports, Vietnam, USD bn",b,"Exports, Vietnam, Value, USD"
"Exports, Hong Kong, USD bn",b,"Exports, Hong Kong, Value, USD"
"Exports, Japan, USD bn",b,"Exports, Japan, Value, USD"
"Exports, Taiwan, USD bn",b,"Exports, Taiwan, Value, USD"
"Exports, India, USD bn",b,"Exports, India, Value, USD"
"Exports, Singapore, USD bn",b,"Exports, Singapore, Value, USD"
"Exports, Malaysia, USD bn",b,"Exports, Malaysia, Value, USD"
"Exports, Country, Other, USD bn",b,"Exports, Country, Other, Value, USD"
"Exports, ASEAN Three and India, USD bn",b,"Exports, ASEAN Three and India, Value, USD"
"Exports, North Asia, USD bn",b,"Exports, North Asia, Value, USD"
"Exports, DM, USD bn",b,"Exports, DM, Value, USD"
"Exports, China and Hong Kong, USD bn",b,"Exports, China and Hong Kong, Value, USD"
"Imports, China, USD bn",b,"Imports, China, Value, USD"
"Imports, US, USD bn",b,"Imports, US, Value, USD"
"Imports, EU, USD bn",b,"Imports, EU, Value, USD"
"Imports, Japan, USD bn",b,"Imports, Japan, Value, USD"
"Imports, Vietnam, USD bn",b,"Imports, Vietnam, Value, USD"
"Imports, Australia, USD bn",b,"Imports, Australia, Value, USD"
"Imports, Taiwan, USD bn",b,"Imports, Taiwan, Value, USD"
"Imports, Saudi Arabia, USD bn",b,"Imports, Saudi Arabia, Value, USD"
"Imports, Russia, USD bn",b,"Imports, Russia, Value, USD"
"Imports, Malaysia, USD bn",b,"Imports, Malaysia, Value, USD"
"Imports, Country, Other, USD bn",b,"Imports, Country, Other, Value, USD"
"Imports, Commodity producers, USD bn",b,"Imports, Commodity producers, Value, USD"
"Imports, North Asia, USD bn",b,"Imports, North Asia, Value, USD"
"Exports, Semiconductors, USD bn",b,"Exports, Semiconductors, Value, USD"
"Exports, Steel products, USD bn",b,"Exports, Steel products, Value, USD"
"Exports, Autos, USD bn",b,"Exports, Autos, Value, USD"
"Exports, Petroleum products, USD bn",b,"Exports, Petroleum products, Value, USD"
"Exports, Wireless communication equipment, USD bn",b,"Exports, Wireless communication equipment, Value, USD"
"Exports, Ships, USD bn",b,"Exports, Ships, Value, USD"
"Exports, Automobile parts, USD bn",b,"Exports, Automobile parts, Value, USD"
"Exports, Computer peripherals, USD bn",b,"Exports, Computer peripherals, Value, USD"
"Exports, Precision equipment, USD bn",b,"Exports, Precision equipment, Value, USD"
"Exports, Home appliances, USD bn",b,"Exports, Home appliances, Value, USD"
"Exports, All, USD bn",b,"Exports, All, Value, USD"
"Exports, Product, Other, USD bn",b,"Exports, Product, Other, Value, USD"
"Exports, All ex ships, USD bn",b,"Exports, All ex ships, Value, USD"
"Exports, Tech, USD bn",b,"Exports, Tech, Value, USD"
"Exports, Auto and parts, USD bn",b,"Exports, Auto and parts, Value, USD"
"Exports, Other products inc Home appliances, USD bn",b,"Exports, Other products inc Home appliances, Value, USD"
"Imports, Semiconductors, USD bn",b,"Imports, Semiconductors, Value, USD"
"Imports, Crude oil, USD bn",b,"Imports, Crude oil, Value, USD"
"Imports, Machinery, USD bn",b,"Imports, Machinery, Value, USD"
"Imports, Gas, USD bn",b,"Imports, Gas, Value, USD"
"Imports, Semiconductor mfg equipment, USD bn",b,"Imports, Semiconductor mfg equipment, Value, USD"
"Imports, Precision equipment, USD bn",b,"Imports, Precision equipment, Value, USD"
"Imports, Petroleum products, USD bn",b,"Imports, Petroleum products, Value, USD"
"Imports, Wireless communication equipment, USD bn",b,"Imports, Wireless communication equipment, Value, USD"
"Imports, Autos, USD bn",b,"Imports, Autos, Value, USD"
"Imports, Coal, USD bn",b,"Imports, Coal, Value, USD"
"Imports, All, USD bn",b,"Imports, All, Value, USD"
