raw_data_name,data_type,cleaned_name
"Korea, NGDP, Expenditure, Domestic Demand, Final Consumption Expenditure, KRW bn",b,"Korea, NGDP, Expenditure, Domestic Demand, Final Consumption Expenditure, LCU"
"Korea, NGDP, Expenditure, Domestic Demand, Final Consumption Expenditure, SA, KRW bn",b,"Korea, NGDP, Expenditure, Domestic Demand, Final Consumption Expenditure, LCU, SA"
"Korea, NGDP, Expenditure, Domestic Demand, Government Consumption, KRW bn",b,"Korea, NGDP, Expenditure, Domestic Demand, Government Consumption, LCU"
"Korea, NGDP, Expenditure, Domestic Demand, Government Consumption, SA, KRW bn",b,"Korea, NGDP, Expenditure, Domestic Demand, Government Consumption, LCU, SA"
"Korea, NGDP, Expenditure, Domestic Demand, Gross Capital Formation, Gross Fixed Capital Formation, Buildings and Structures, KRW bn",b,"Korea, NGDP, Expenditure, Domestic Demand, Gross Capital Formation, Gross Fixed Capital Formation, Buildings and Structures, LCU"
"Korea, NGDP, Expenditure, Domestic Demand, Gross Capital Formation, Gross Fixed Capital Formation, Buildings and Structures, SA, KRW bn",b,"Korea, NGDP, Expenditure, Domestic Demand, Gross Capital Formation, Gross Fixed Capital Formation, Buildings and Structures, LCU, SA"
"Korea, NGDP, Expenditure, Domestic Demand, Gross Capital Formation, Gross Fixed Capital Formation, Facilities Investment, KRW bn",b,"Korea, NGDP, Expenditure, Domestic Demand, Gross Capital Formation, Gross Fixed Capital Formation, Facilities Investment, LCU"
"Korea, NGDP, Expenditure, Domestic Demand, Gross Capital Formation, Gross Fixed Capital Formation, Facilities Investment, SA, KRW bn",b,"Korea, NGDP, Expenditure, Domestic Demand, Gross Capital Formation, Gross Fixed Capital Formation, Facilities Investment, LCU, SA"
"Korea, NGDP, Expenditure, Domestic Demand, Gross Capital Formation, Gross Fixed Capital Formation, Public, KRW bn",b,"Korea, NGDP, Expenditure, Domestic Demand, Gross Capital Formation, Gross Fixed Capital Formation, Public, LCU"
"Korea, NGDP, Expenditure, Domestic Demand, Gross Capital Formation, Gross Fixed Capital Formation, Public, SA, KRW bn",b,"Korea, NGDP, Expenditure, Domestic Demand, Gross Capital Formation, Gross Fixed Capital Formation, Public, LCU, SA"
"Korea, NGDP, Expenditure, Domestic Demand, Gross Capital Formation, Gross Fixed Capital Formation, Intellectual Property Products, KRW bn",b,"Korea, NGDP, Expenditure, Domestic Demand, Gross Capital Formation, Gross Fixed Capital Formation, Intellectual Property Products, LCU"
"Korea, NGDP, Expenditure, Domestic Demand, Gross Capital Formation, Gross Fixed Capital Formation, Intellectual Property Products, SA, KRW bn",b,"Korea, NGDP, Expenditure, Domestic Demand, Gross Capital Formation, Gross Fixed Capital Formation, Intellectual Property Products, LCU, SA"
"Korea, NGDP, Expenditure, Domestic Demand, Gross Capital Formation, Gross Fixed Capital Formation, KRW bn",b,"Korea, NGDP, Expenditure, Domestic Demand, Gross Capital Formation, Gross Fixed Capital Formation, LCU"
"Korea, NGDP, Expenditure, Domestic Demand, Gross Capital Formation, Gross Fixed Capital Formation, Private, KRW bn",b,"Korea, NGDP, Expenditure, Domestic Demand, Gross Capital Formation, Gross Fixed Capital Formation, Private, LCU"
"Korea, NGDP, Expenditure, Domestic Demand, Gross Capital Formation, Gross Fixed Capital Formation, Private, SA, KRW bn",b,"Korea, NGDP, Expenditure, Domestic Demand, Gross Capital Formation, Gross Fixed Capital Formation, Private, LCU, SA"
"Korea, NGDP, Expenditure, Domestic Demand, Gross Capital Formation, Gross Fixed Capital Formation, SA, KRW bn",b,"Korea, NGDP, Expenditure, Domestic Demand, Gross Capital Formation, Gross Fixed Capital Formation, LCU, SA"
"Korea, NGDP, Expenditure, Domestic Demand, Gross Capital Formation, Inventories, KRW bn",b,"Korea, NGDP, Expenditure, Domestic Demand, Gross Capital Formation, Inventories, LCU"
"Korea, NGDP, Expenditure, Domestic Demand, Gross Capital Formation, Inventories, SA, KRW bn",b,"Korea, NGDP, Expenditure, Domestic Demand, Gross Capital Formation, Inventories, LCU, SA"
