name,display_name,data_type,chart_type
"Korea, CPI, All items","Korea, CPI, All items",None,line
"Korea, CPI, All items excluding food and energy","Korea, CPI, All items excluding food and energy",None,line
"Korea, CPI, Food & Energy","Korea, CPI, Food & Energy",None,line
"Korea, CPI, Commodities","Korea, CPI, Commodities",None,line
"Korea, CPI, Commodities, Agricultural & marine products","Korea, CPI, Commodities, Agricultural & marine products",None,line
"Korea, CPI, Commodities, Industrial products","Korea, CPI, Commodities, Industrial products",None,line
"Korea, CPI, Commodities, Industrial products, Processed food","Korea, CPI, Commodities, Industrial products, Processed food",None,line
"Korea, CPI, Commodities, Industrial products, Durable goods","Korea, CPI, Commodities, Industrial products, Durable goods",None,line
"Korea, CPI, Commodities, Industrial products, Textile products","Korea, CPI, Commodities, Industrial products, Textile products",None,line
"Korea, CPI, Commodities, Industrial products, Publications","Korea, CPI, Commodities, Industrial products, Publications",None,line
"Korea, CPI, Commodities, Industrial products, Oils","Korea, CPI, Commodities, Industrial products, Oils",None,line
"Korea, CPI, Commodities, Industrial products, Medicines","Korea, CPI, Commodities, Industrial products, Medicines",None,line
"Korea, CPI, Commodities, Industrial products, Cosmetics","Korea, CPI, Commodities, Industrial products, Cosmetics",None,line
"Korea, CPI, Commodities, Industrial products, Other industrial products","Korea, CPI, Commodities, Industrial products, Other industrial products",None,line
"Korea, CPI, Commodities, Electricity and Gas and Water","Korea, CPI, Commodities, Electricity and Gas and Water",None,line
"Korea, CPI, Services","Korea, CPI, Services",None,line
"Korea, CPI, Services, Rentals for housing","Korea, CPI, Services, Rentals for housing",None,line
"Korea, CPI, Services, Public services","Korea, CPI, Services, Public services",None,line
"Korea, CPI, Services, Personal services","Korea, CPI, Services, Personal services",None,line
"Korea, CPI, Services, Personal services, Eating out","Korea, CPI, Services, Personal services, Eating out",None,line
"Korea, CPI, Services, Personal services, Excluding eating out","Korea, CPI, Services, Personal services, Excluding eating out",None,line
"Korea, CPI, 1.1 Food, 1","Korea, CPI, 1.1 Food, 1",None,line
"Korea, CPI, Services, Entertainment","Korea, CPI, Services, Entertainment",None,line
"Korea, CPI, All items, % YoY","Korea, CPI, All items, % YoY",None,line
"Korea, CPI, All items excluding food and energy, % YoY","Korea, CPI, All items excluding food and energy, % YoY",None,line
"Korea, CPI, Food & Energy, % YoY","Korea, CPI, Food & Energy, % YoY",None,line
"Korea, CPI, Commodities, % YoY","Korea, CPI, Commodities, % YoY",None,line
"Korea, CPI, Commodities, Agricultural & marine products, % YoY","Korea, CPI, Commodities, Agricultural & marine products, % YoY",None,line
"Korea, CPI, Commodities, Industrial products, % YoY","Korea, CPI, Commodities, Industrial products, % YoY",None,line
