name,display_name,data_type,chart_type
"Korea, EPI, Contractual Currency basis, DRAM, Index","Korea, EPI, Contractual Currency basis, DRAM, Index",None,line
"Korea, EPI, Contractual Currency basis, Beverages & tobacco, Index","Korea, EPI, Contractual Currency basis, Beverages & tobacco, Index",None,line
"Korea, EPI, Contractual Currency basis, Chemicals & related products, n.e.c., Index","Korea, EPI, Contractual Currency basis, Chemicals & related products, n.e.c., Index",None,line
"Korea, EPI, Contractual Currency basis, Commodities & transactions not classified, Index","Korea, EPI, Contractual Currency basis, Commodities & transactions not classified, Index",None,line
"Korea, EPI, Contractual Currency basis, Energy, Index","Korea, EPI, Contractual Currency basis, Energy, Index",None,line
"Korea, EPI, Contractual Currency basis, Excluding IT, Index","Korea, EPI, Contractual Currency basis, Excluding IT, Index",None,line
"Korea, EPI, Contractual Currency basis, Excluding energy, Index","Korea, EPI, Contractual Currency basis, Excluding energy, Index",None,line
"Korea, EPI, Contractual Currency basis, Excluding foods & energy, Index","Korea, EPI, Contractual Currency basis, Excluding foods & energy, Index",None,line
"Korea, EPI, Contractual Currency basis, Excluding foods, Index","Korea, EPI, Contractual Currency basis, Excluding foods, Index",None,line
"Korea, EPI, Contractual Currency basis, Food & live animals, Index","Korea, EPI, Contractual Currency basis, Food & live animals, Index",None,line
"Korea, EPI, Contractual Currency basis, Foods & energy, Index","Korea, EPI, Contractual Currency basis, Foods & energy, Index",None,line
"Korea, EPI, Contractual Currency basis, Foods, Index","Korea, EPI, Contractual Currency basis, Foods, Index",None,line
"Korea, EPI, Contractual Currency basis, Inedible raw materials excluding fuels, Index","Korea, EPI, Contractual Currency basis, Inedible raw materials excluding fuels, Index",None,line
"Korea, EPI, Contractual Currency basis, Informational technology, Index","Korea, EPI, Contractual Currency basis, Informational technology, Index",None,line
"Korea, EPI, Contractual Currency basis, Life related-type, Index","Korea, EPI, Contractual Currency basis, Life related-type, Index",None,line
"Korea, EPI, Contractual Currency basis, Machinery & transport equipment, Index","Korea, EPI, Contractual Currency basis, Machinery & transport equipment, Index",None,line
"Korea, EPI, Contractual Currency basis, Manufactured goods classified by materials, Index","Korea, EPI, Contractual Currency basis, Manufactured goods classified by materials, Index",None,line
"Korea, EPI, Contractual Currency basis, Mineral fuels, lubricants & related materials, Index","Korea, EPI, Contractual Currency basis, Mineral fuels, lubricants & related materials, Index",None,line
"Korea, EPI, Contractual Currency basis, Miscellaneous manufactured articles, Index","Korea, EPI, Contractual Currency basis, Miscellaneous manufactured articles, Index",None,line
"Korea, EPI, Contractual Currency basis, Primary materials-type, Index","Korea, EPI, Contractual Currency basis, Primary materials-type, Index",None,line
