Date,"Korea, PPI, Index","Korea, PPI, Energy, Index","Korea, PPI, Excluding IT, Index","Korea, PPI, Excluding energy, Index","Korea, PPI, Excluding foods & energy, Index","Korea, PPI, Excluding foods, Index","Korea, PPI, Excluding fresh foods & energy, Index","Korea, PPI, Excluding fresh foods, Index","Korea, PPI, Foods, Index","Korea, PPI, Fresh foods, Index","Korea, PPI, Information technology, Index","Korea, PPI, % YoY","Korea, PPI, Energy, % YoY","Korea, PPI, Excluding IT, % YoY","Korea, PPI, Excluding energy, % YoY","Korea, PPI, Excluding foods & energy, % YoY","Korea, PPI, Excluding foods, % YoY","Korea, PPI, Excluding fresh foods & energy, % YoY","Korea, PPI, Excluding fresh foods, % YoY","Korea, PPI, Foods, % YoY","Korea, PPI, Fresh foods, % YoY","Korea, PPI, Information technology, % YoY","Korea, PPI, Index, SA","Korea, PPI, Energy, Index, SA","Korea, PPI, Excluding IT, Index, SA","Korea, PPI, Excluding energy, Index, SA","Korea, PPI, Excluding foods & energy, Index, SA","Korea, PPI, Excluding foods, Index, SA","Korea, PPI, Excluding fresh foods & energy, Index, SA","Korea, PPI, Excluding fresh foods, Index, SA","Korea, PPI, Foods, Index, SA","Korea, PPI, Fresh foods, Index, SA","Korea, PPI, Information technology, Index, SA","Korea, PPI, Index, 3mma","Korea, PPI, Energy, Index, 3mma","Korea, PPI, Excluding IT, Index, 3mma","Korea, PPI, Excluding energy, Index, 3mma","Korea, PPI, Excluding foods & energy, Index, 3mma","Korea, PPI, Excluding foods, Index, 3mma","Korea, PPI, Excluding fresh foods & energy, Index, 3mma","Korea, PPI, Excluding fresh foods, Index, 3mma","Korea, PPI, Foods, Index, 3mma","Korea, PPI, Fresh foods, Index, 3mma","Korea, PPI, Information technology, Index, 3mma","Korea, PPI, % YoY, 3mma","Korea, PPI, Energy, % YoY, 3mma","Korea, PPI, Excluding IT, % YoY, 3mma","Korea, PPI, Excluding energy, % YoY, 3mma","Korea, PPI, Excluding foods & energy, % YoY, 3mma","Korea, PPI, Excluding foods, % YoY, 3mma","Korea, PPI, Excluding fresh foods & energy, % YoY, 3mma","Korea, PPI, Excluding fresh foods, % YoY, 3mma","Korea, PPI, Foods, % YoY, 3mma","Korea, PPI, Fresh foods, % YoY, 3mma","Korea, PPI, Information technology, % YoY, 3mma","Korea, PPI, Index, SA, 3mma","Korea, PPI, Energy, Index, SA, 3mma","Korea, PPI, Excluding IT, Index, SA, 3mma","Korea, PPI, Excluding energy, Index, SA, 3mma","Korea, PPI, Excluding foods & energy, Index, SA, 3mma","Korea, PPI, Excluding foods, Index, SA, 3mma","Korea, PPI, Excluding fresh foods & energy, Index, SA, 3mma","Korea, PPI, Excluding fresh foods, Index, SA, 3mma","Korea, PPI, Foods, Index, SA, 3mma","Korea, PPI, Fresh foods, Index, SA, 3mma","Korea, PPI, Information technology, Index, SA, 3mma"
1995-01-01,63.99,27.3,52.96,70.1,,65.02,,64.27,52.41,49.3,268.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-02-01,64.23,27.59,53.05,70.37,,65.37,,64.53,52.41,48.74,268.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-03-01,64.7,27.95,53.53,70.81,,65.71,,64.88,53.45,50.98,267.56,,,,,,,,,,,,,,,,,,,,,,,64.30666666666667,27.613333333333333,53.18,70.42666666666666,,65.36666666666666,,64.56,52.75666666666666,49.673333333333325,268.17333333333335,,,,,,,,,,,,,,,,,,,,,,
1995-04-01,65.09,27.66,53.93,71.42,,66.06,,65.22,54.13,53.15,267.56,,,,,,,,,,,,,,,,,,,,,,,64.67333333333333,27.733333333333334,53.50333333333333,70.86666666666667,,65.71333333333332,,64.87666666666667,53.330000000000005,50.95666666666667,267.8233333333333,,,,,,,,,,,,,,,,,,,,,,
1995-05-01,65.3,28.23,54.18,71.51,,66.32,,65.57,54.13,52.17,267.16,,,,,,,,,,,,,,,,,,,,,,,65.03000000000002,27.94666666666667,53.88,71.24666666666667,,66.02999999999999,,65.22333333333331,53.903333333333336,52.099999999999994,267.4266666666667,,,,,,,,,,,,,,,,,,,,,,
1995-06-01,65.36,28.16,54.25,71.6,,66.49,,65.57,53.68,49.44,265.45,,,,,,,,,,,,,,,,,,,,,,,65.25000000000001,28.016666666666666,54.120000000000005,71.51,,66.29,,65.45333333333332,53.98,51.586666666666666,266.72333333333336,,,,,,,,,,,,,,,,,,,,,,
1995-07-01,65.48,27.95,54.33,71.69,,66.58,,65.83,53.23,47.48,263.47,,,,,,,,,,,,,,,,,,,,,,,65.38000000000001,28.113333333333333,54.25333333333333,71.60000000000001,,66.46333333333332,,65.65666666666667,53.68000000000001,49.69666666666666,265.36,,,,,,,,,,,,,,,,,,,,,,
1995-08-01,65.49,27.8,54.41,71.69,,66.67,,65.83,52.86,47.62,262.8,,,,,,,,,,,,,,,,,,,,,,,65.44333333333334,27.97,54.32999999999999,71.66,,66.58,,65.74333333333333,53.25666666666666,48.18,263.9066666666667,,,,,,,,,,,,,,,,,,,,,,
1995-09-01,65.92,28.59,54.74,72.05,,67.11,,66.26,53.68,49.79,262.8,,,,,,,,,,,,,,,,,,,,,,,65.63000000000001,28.113333333333333,54.49333333333333,71.81,,66.78666666666666,,65.97333333333333,53.25666666666666,48.29666666666666,263.02333333333337,,,,,,,,,,,,,,,,,,,,,,
1995-10-01,65.63,28.81,54.58,71.69,,67.11,,66.35,51.59,41.12,261.23,,,,,,,,,,,,,,,,,,,,,,,65.68,28.399999999999995,54.576666666666675,71.81,,66.96333333333332,,66.14666666666666,52.71,46.17666666666667,262.2766666666667,,,,,,,,,,,,,,,,,,,,,,
1995-11-01,65.42,27.95,54.41,71.69,,66.93,,66.17,50.77,37.48,259.65,,,,,,,,,,,,,,,,,,,,,,,65.65666666666667,28.45,54.576666666666675,71.81,,67.05,,66.26,52.01333333333334,42.79666666666666,261.22666666666663,,,,,,,,,,,,,,,,,,,,,,
1995-12-01,65.68,28.59,54.74,71.87,,67.02,,66.43,52.04,38.88,257.27,,,,,,,,,,,,,,,,,,,,,,,65.57666666666667,28.45,54.57666666666666,71.75,,67.02,,66.31666666666666,51.46666666666667,39.16,259.3833333333333,,,,,,,,,,,,,,,,,,,,,,
1996-01-01,66.51,29.52,55.46,72.66,,67.8,,67.12,53.08,41.05,258.86,3.9381153305203975,8.131868131868124,4.720543806646527,3.651925820256774,,4.275607505382961,,4.434417302007176,1.2783819881702074,-16.734279918864104,-3.629797848181382,,,,,,,,,,,,65.87,28.686666666666667,54.870000000000005,72.07333333333332,,67.25,,66.57333333333334,51.96333333333333,39.13666666666666,258.5933333333333,,,,,,,,,,,,,,,,,,,,,,
1996-02-01,66.74,30.31,55.71,72.83,,67.98,,67.38,54.13,43.57,256.48,3.907831231511749,9.858644436389996,5.014137606032043,3.495807872673007,,3.9926571821936596,,4.416550441655032,3.2818164472429023,-10.60730406237177,-4.42332774361841,,,,,,,,,,,,66.31,29.47333333333333,55.303333333333335,72.45333333333333,,67.6,,66.97666666666667,53.083333333333336,41.166666666666664,257.5366666666667,,,,,,,,,,,,,,,,,,,,,,
1996-03-01,66.57,29.67,55.62,72.75,,67.72,,67.12,53.97,43.15,251.73,2.8902627511591783,6.153846153846154,3.9043526994208877,2.739726027397249,,3.0588951453355717,,3.4525277435265345,0.972871842843781,-15.358964299725375,-5.916429959635227,,,,,,,,,,,,66.60666666666667,29.833333333333332,55.596666666666664,72.74666666666667,,67.83333333333333,,67.20666666666666,53.72666666666667,42.59,255.69000000000003,3.5787364377304414,8.048119574034759,4.546344704033152,3.2958199067756766,,3.7757199443040643,,4.1011651623962475,1.8443567594189636,-14.23351609365375,-4.656518517145006,,,,,,,,,,,
