name,display_name,data_type,chart_type
"Korea, Sentiment, Consumer, BOK CSI, Clothing Expense Plan","Korea, Sentiment, Consumer, BOK CSI, Clothing Expense Plan",None,line
"Korea, Sentiment, Consumer, BOK CSI, Clothing Expense Plan, 1-2 Million Won","Korea, Sentiment, Consumer, BOK CSI, Clothing Expense Plan, 1-2 Million Won",None,line
"Korea, Sentiment, Consumer, BOK CSI, Clothing Expense Plan, 2-3 Million Won","Korea, Sentiment, Consumer, BOK CSI, Clothing Expense Plan, 2-3 Million Won",None,line
"Korea, Sentiment, Consumer, BOK CSI, Clothing Expense Plan, 3-4 Million Won","Korea, Sentiment, Consumer, BOK CSI, Clothing Expense Plan, 3-4 Million Won",None,line
"Korea, Sentiment, Consumer, BOK CSI, Clothing Expense Plan, 4-5 Million Won","Korea, Sentiment, Consumer, BOK CSI, Clothing Expense Plan, 4-5 Million Won",None,line
"Korea, Sentiment, Consumer, BOK CSI, Clothing Expense Plan, 40-50 Years Old","Korea, Sentiment, Consumer, BOK CSI, Clothing Expense Plan, 40-50 Years Old",None,line
"Korea, Sentiment, Consumer, BOK CSI, Clothing Expense Plan, 50-60 Years Old","Korea, Sentiment, Consumer, BOK CSI, Clothing Expense Plan, 50-60 Years Old",None,line
"Korea, Sentiment, Consumer, BOK CSI, Clothing Expense Plan, 6 Major Provincial Cities","Korea, Sentiment, Consumer, BOK CSI, Clothing Expense Plan, 6 Major Provincial Cities",None,line
"Korea, Sentiment, Consumer, BOK CSI, Clothing Expense Plan, 60-70 Years Old","Korea, Sentiment, Consumer, BOK CSI, Clothing Expense Plan, 60-70 Years Old",None,line
"Korea, Sentiment, Consumer, BOK CSI, Clothing Expense Plan, Female","Korea, Sentiment, Consumer, BOK CSI, Clothing Expense Plan, Female",None,line
"Korea, Sentiment, Consumer, BOK CSI, Clothing Expense Plan, Male","Korea, Sentiment, Consumer, BOK CSI, Clothing Expense Plan, Male",None,line
"Korea, Sentiment, Consumer, BOK CSI, Clothing Expense Plan, Other","Korea, Sentiment, Consumer, BOK CSI, Clothing Expense Plan, Other",None,line
"Korea, Sentiment, Consumer, BOK CSI, Clothing Expense Plan, Other Cities","Korea, Sentiment, Consumer, BOK CSI, Clothing Expense Plan, Other Cities",None,line
"Korea, Sentiment, Consumer, BOK CSI, Clothing Expense Plan, Over 5 Million Won","Korea, Sentiment, Consumer, BOK CSI, Clothing Expense Plan, Over 5 Million Won",None,line
