name,display_name,data_type,chart_type
"Exports, China, USD","Exports, China, USD",r,line
"Exports, US, USD","Exports, US, USD",r,line
"Exports, EU, USD","Exports, EU, USD",r,line
"Exports, Vietnam, USD","Exports, Vietnam, USD",r,line
"Exports, Hong Kong, USD","Exports, Hong Kong, USD",r,line
"Exports, Japan, USD","Exports, Japan, USD",r,line
"Exports, Taiwan, USD","Exports, Taiwan, USD",r,line
"Exports, India, USD","Exports, India, USD",r,line
"Exports, Singapore, USD","Exports, Singapore, USD",r,line
"Exports, Malaysia, USD","Exports, Malaysia, USD",r,line
"Exports, Country, Other, USD","Exports, Country, Other, USD",r,line
"Exports, ASEAN Three and India, USD","Exports, ASEAN Three and India, USD",r,line
"Exports, North Asia, USD","Exports, North Asia, USD",r,line
"Exports, DM, USD","Exports, DM, USD",r,line
"Exports, China and Hong Kong, USD","Exports, China and Hong Kong, USD",r,line
"Imports, China, USD","Imports, China, USD",r,line
"Imports, US, USD","Imports, US, USD",r,line
"Imports, EU, USD","Imports, EU, USD",r,line
"Imports, Japan, USD","Imports, Japan, USD",r,line
"Imports, Vietnam, USD","Imports, Vietnam, USD",r,line
"Imports, Australia, USD","Imports, Australia, USD",r,line
"Imports, Taiwan, USD","Imports, Taiwan, USD",r,line
"Imports, Saudi Arabia, USD","Imports, Saudi Arabia, USD",r,line
"Imports, Russia, USD","Imports, Russia, USD",r,line
"Imports, Malaysia, USD","Imports, Malaysia, USD",r,line
"Imports, Country, Other, USD","Imports, Country, Other, USD",r,line
"Imports, Commodity producers, USD","Imports, Commodity producers, USD",r,line
"Imports, North Asia, USD","Imports, North Asia, USD",r,line
"Exports, Semiconductors, USD","Exports, Semiconductors, USD",r,line
"Exports, Steel products, USD","Exports, Steel products, USD",r,line
"Exports, Autos, USD","Exports, Autos, USD",r,line
"Exports, Petroleum products, USD","Exports, Petroleum products, USD",r,line
"Exports, Wireless communication equipment, USD","Exports, Wireless communication equipment, USD",r,line
"Exports, Ships, USD","Exports, Ships, USD",r,line
"Exports, Automobile parts, USD","Exports, Automobile parts, USD",r,line
"Exports, Computer peripherals, USD","Exports, Computer peripherals, USD",r,line
"Exports, Precision equipment, USD","Exports, Precision equipment, USD",r,line
"Exports, Home appliances, USD","Exports, Home appliances, USD",r,line
"Exports, All, USD","Exports, All, USD",r,line
"Exports, Product, Other, USD","Exports, Product, Other, USD",r,line
"Exports, All ex ships, USD","Exports, All ex ships, USD",r,line
"Exports, Tech, USD","Exports, Tech, USD",r,line
"Exports, Auto and parts, USD","Exports, Auto and parts, USD",r,line
"Exports, Other products inc Home appliances, USD","Exports, Other products inc Home appliances, USD",r,line
"Imports, Semiconductors, USD","Imports, Semiconductors, USD",r,line
"Imports, Crude oil, USD","Imports, Crude oil, USD",r,line
"Imports, Machinery, USD","Imports, Machinery, USD",r,line
"Imports, Gas, USD","Imports, Gas, USD",r,line
"Imports, Semiconductor mfg equipment, USD","Imports, Semiconductor mfg equipment, USD",r,line
"Imports, Precision equipment, USD","Imports, Precision equipment, USD",r,line
"Imports, Petroleum products, USD","Imports, Petroleum products, USD",r,line
"Imports, Wireless communication equipment, USD","Imports, Wireless communication equipment, USD",r,line
"Imports, Autos, USD","Imports, Autos, USD",r,line
"Imports, Coal, USD","Imports, Coal, USD",r,line
"Imports, All, USD","Imports, All, USD",r,line
"Imports, Product, Other, USD","Imports, Product, Other, USD",r,line
"Imports, Energy, USD","Imports, Energy, USD",r,line
"Exports, ASEAN, USD","Exports, ASEAN, USD",r,line
"Exports, Africa, USD","Exports, Africa, USD",r,line
"Exports, Asia, USD","Exports, Asia, USD",r,line
"Exports, Europe, USD","Exports, Europe, USD",r,line
"Exports, Latin America, USD","Exports, Latin America, USD",r,line
"Exports, Middle East, USD","Exports, Middle East, USD",r,line
"Exports, Mobile phones, USD","Exports, Mobile phones, USD",r,line
"Exports, North America, USD","Exports, North America, USD",r,line
"Exports, Oceania, USD","Exports, Oceania, USD",r,line
"Exports, Semiconductor mfg equipment, USD","Exports, Semiconductor mfg equipment, USD",r,line
"Exports, all, USD","Exports, all, USD",r,line
"Exports, mineral fuels, USD","Exports, mineral fuels, USD",r,line
"Imports, ASEAN, USD","Imports, ASEAN, USD",r,line
"Imports, Africa, USD","Imports, Africa, USD",r,line
"Imports, Asia, USD","Imports, Asia, USD",r,line
