name,display_name,data_type,chart_type
"RGDP, Net Exports of Goods and Services, Exports of Goods and Services, Goods, LCU, SA","RGDP, Net Exports of Goods and Services, Exports of Goods and Services, Goods, LCU, SA(KR)",r,line
"RGDP, Net Exports of Goods and Services, Imports of Goods and Services, Goods, LCU, SA","RGDP, Net Exports of Goods and Services, Imports of Goods and Services, Goods, LCU, SA(KR)",r,line
"RGDP, Net Exports of Goods and Services, Exports of Goods and Services, Services, LCU, SA","RGDP, Net Exports of Goods and Services, Exports of Goods and Services, Services, LCU, SA(KR)",r,line
"RGDP, Net Exports of Goods and Services, Imports of Goods and Services, Services, LCU, SA","RGDP, Net Exports of Goods and Services, Imports of Goods and Services, Services, LCU, SA(KR)",r,line
"RGDP, Net Exports of Goods and Services, Imports of Goods and Services, LCU, SA","RGDP, Net Exports of Goods and Services, Imports of Goods and Services, LCU, SA(KR)",r,line
"RGDP, Domestic Demand, Gross Capital Formation, Inventories, LCU, SA","RGDP, Domestic Demand, Gross Capital Formation, Inventories, LCU, SA(KR)",r,line
"RGDP, Domestic Demand, Gross Capital Formation, Gross Fixed Capital Formation, Buildings and Structures, LCU, SA","RGDP, Domestic Demand, Gross Capital Formation, Gross Fixed Capital Formation, Buildings and Structures, LCU, SA(KR)",r,line
"RGDP, LCU, SA","RGDP, LCU, SA(KR)",r,line
"RGDP, Net Exports of Goods and Services, Exports of Goods and Services, LCU, SA","RGDP, Net Exports of Goods and Services, Exports of Goods and Services, LCU, SA(KR)",r,line
"RGDP, Domestic Demand, Gross Capital Formation, Gross Fixed Capital Formation, Facilities Investment, LCU, SA","RGDP, Domestic Demand, Gross Capital Formation, Gross Fixed Capital Formation, Facilities Investment, LCU, SA(KR)",r,line
"RGDP, Domestic Demand, Final Consumption Expenditure, LCU, SA","RGDP, Domestic Demand, Final Consumption Expenditure, LCU, SA(KR)",r,line
"RGDP, Domestic Demand, Government Consumption, LCU, SA","RGDP, Domestic Demand, Government Consumption, LCU, SA(KR)",r,line
"RGDP, Domestic Demand, Gross Capital Formation, LCU, SA","RGDP, Domestic Demand, Gross Capital Formation, LCU, SA(KR)",r,line
"RGDP, Domestic Demand, Gross Capital Formation, Gross Fixed Capital Formation, Public, LCU, SA","RGDP, Domestic Demand, Gross Capital Formation, Gross Fixed Capital Formation, Public, LCU, SA(KR)",r,line
"RGDP, Domestic Demand, Gross Capital Formation, Gross Fixed Capital Formation, Private, LCU, SA","RGDP, Domestic Demand, Gross Capital Formation, Gross Fixed Capital Formation, Private, LCU, SA(KR)",r,line
"RGDP, Domestic Demand, Gross Capital Formation, Gross Fixed Capital Formation, LCU, SA","RGDP, Domestic Demand, Gross Capital Formation, Gross Fixed Capital Formation, LCU, SA(KR)",r,line
"RGDP, Domestic Demand, Private Consumption, Household Consumption, LCU, SA","RGDP, Domestic Demand, Private Consumption, Household Consumption, LCU, SA(KR)",r,line
"RGDP, Domestic Demand, Gross Capital Formation, Gross Fixed Capital Formation, Intellectual Property Products, LCU, SA","RGDP, Domestic Demand, Gross Capital Formation, Gross Fixed Capital Formation, Intellectual Property Products, LCU, SA(KR)",r,line
"RGDP, Domestic Demand, Private Consumption, Non-Profit Institutions Serving Households, LCU, SA","RGDP, Domestic Demand, Private Consumption, Non-Profit Institutions Serving Households, LCU, SA(KR)",r,line
"RGDP, Domestic Demand, Private Consumption, LCU, SA","RGDP, Domestic Demand, Private Consumption, LCU, SA(KR)",r,line
"RGDP, Statistical discrepancy, LCU, SA","RGDP, Statistical discrepancy, LCU, SA(KR)",r,line
"NGDP, Net Exports of Goods and Services, Exports of Goods and Services, Goods, LCU, SA","NGDP, Net Exports of Goods and Services, Exports of Goods and Services, Goods, LCU, SA(KR)",r,line
"NGDP, Net Exports of Goods and Services, Imports of Goods and Services, Goods, LCU, SA","NGDP, Net Exports of Goods and Services, Imports of Goods and Services, Goods, LCU, SA(KR)",r,line
"NGDP, Net Exports of Goods and Services, Exports of Goods and Services, Services, LCU, SA","NGDP, Net Exports of Goods and Services, Exports of Goods and Services, Services, LCU, SA(KR)",r,line
"NGDP, Net Exports of Goods and Services, Imports of Goods and Services, Services, LCU, SA","NGDP, Net Exports of Goods and Services, Imports of Goods and Services, Services, LCU, SA(KR)",r,line
"NGDP, Net Exports of Goods and Services, Imports of Goods and Services, LCU, SA","NGDP, Net Exports of Goods and Services, Imports of Goods and Services, LCU, SA(KR)",r,line
"NGDP, Domestic Demand, Gross Capital Formation, Inventories, LCU, SA","NGDP, Domestic Demand, Gross Capital Formation, Inventories, LCU, SA(KR)",r,line
"NGDP, Domestic Demand, Gross Capital Formation, Gross Fixed Capital Formation, Buildings and Structures, LCU, SA","NGDP, Domestic Demand, Gross Capital Formation, Gross Fixed Capital Formation, Buildings and Structures, LCU, SA(KR)",r,line
"NGDP, LCU, SA","NGDP, LCU, SA(KR)",r,line
"NGDP, Net Exports of Goods and Services, Exports of Goods and Services, LCU, SA","NGDP, Net Exports of Goods and Services, Exports of Goods and Services, LCU, SA(KR)",r,line
"NGDP, Domestic Demand, Gross Capital Formation, Gross Fixed Capital Formation, Facilities Investment, LCU, SA","NGDP, Domestic Demand, Gross Capital Formation, Gross Fixed Capital Formation, Facilities Investment, LCU, SA(KR)",r,line
"NGDP, Domestic Demand, Final Consumption Expenditure, LCU, SA","NGDP, Domestic Demand, Final Consumption Expenditure, LCU, SA(KR)",r,line
"NGDP, Domestic Demand, Government Consumption, LCU, SA","NGDP, Domestic Demand, Government Consumption, LCU, SA(KR)",r,line
"NGDP, Domestic Demand, Gross Capital Formation, LCU, SA","NGDP, Domestic Demand, Gross Capital Formation, LCU, SA(KR)",r,line
"NGDP, Domestic Demand, Gross Capital Formation, Gross Fixed Capital Formation, Public, LCU, SA","NGDP, Domestic Demand, Gross Capital Formation, Gross Fixed Capital Formation, Public, LCU, SA(KR)",r,line
"NGDP, Domestic Demand, Gross Capital Formation, Gross Fixed Capital Formation, Private, LCU, SA","NGDP, Domestic Demand, Gross Capital Formation, Gross Fixed Capital Formation, Private, LCU, SA(KR)",r,line
"NGDP, Domestic Demand, Gross Capital Formation, Gross Fixed Capital Formation, LCU, SA","NGDP, Domestic Demand, Gross Capital Formation, Gross Fixed Capital Formation, LCU, SA(KR)",r,line
"NGDP, Domestic Demand, Private Consumption, Household Consumption, LCU, SA","NGDP, Domestic Demand, Private Consumption, Household Consumption, LCU, SA(KR)",r,line
"NGDP, Domestic Demand, Gross Capital Formation, Gross Fixed Capital Formation, Intellectual Property Products, LCU, SA","NGDP, Domestic Demand, Gross Capital Formation, Gross Fixed Capital Formation, Intellectual Property Products, LCU, SA(KR)",r,line
"NGDP, Domestic Demand, Private Consumption, Non-Profit Institutions Serving Households, LCU, SA","NGDP, Domestic Demand, Private Consumption, Non-Profit Institutions Serving Households, LCU, SA(KR)",r,line
"NGDP, Domestic Demand, Private Consumption, LCU, SA","NGDP, Domestic Demand, Private Consumption, LCU, SA(KR)",r,line
"NGDP, Statistical discrepancy, LCU, SA","NGDP, Statistical discrepancy, LCU, SA(KR)",r,line
"RGDP, Net Exports of Goods and Services, Exports of Goods and Services, Goods, LCU, Contribution to % QoQ chg, ppts","RGDP, Net Exports of Goods and Services, Exports of Goods and Services, Goods, LCU, Contribution to % QoQ chg, ppts(KR)",p,bar
"RGDP, Net Exports of Goods and Services, Imports of Goods and Services, Goods, LCU, Contribution to % QoQ chg, ppts","RGDP, Net Exports of Goods and Services, Imports of Goods and Services, Goods, LCU, Contribution to % QoQ chg, ppts(KR)",p,bar
"RGDP, Net Exports of Goods and Services, Exports of Goods and Services, Services, LCU, Contribution to % QoQ chg, ppts","RGDP, Net Exports of Goods and Services, Exports of Goods and Services, Services, LCU, Contribution to % QoQ chg, ppts(KR)",p,bar
"RGDP, Net Exports of Goods and Services, Imports of Goods and Services, Services, LCU, Contribution to % QoQ chg, ppts","RGDP, Net Exports of Goods and Services, Imports of Goods and Services, Services, LCU, Contribution to % QoQ chg, ppts(KR)",p,bar
"RGDP, Net Exports of Goods and Services, Imports of Goods and Services, LCU, Contribution to % QoQ chg, ppts","RGDP, Net Exports of Goods and Services, Imports of Goods and Services, LCU, Contribution to % QoQ chg, ppts(KR)",p,bar
"RGDP, Domestic Demand, Gross Capital Formation, Inventories, LCU, Contribution to % QoQ chg, ppts","RGDP, Domestic Demand, Gross Capital Formation, Inventories, LCU, Contribution to % QoQ chg, ppts(KR)",p,bar
"RGDP, Domestic Demand, Gross Capital Formation, Gross Fixed Capital Formation, Buildings and Structures, LCU, Contribution to % QoQ chg, ppts","RGDP, Domestic Demand, Gross Capital Formation, Gross Fixed Capital Formation, Buildings and Structures, LCU, Contribution to % QoQ chg, ppts(KR)",p,bar
"RGDP, Domestic Demand, LCU, Contribution to % QoQ chg, ppts","RGDP, Domestic Demand, LCU, Contribution to % QoQ chg, ppts(KR)",p,bar
"RGDP, LCU, Contribution to % QoQ chg, ppts","RGDP, LCU, Contribution to % QoQ chg, ppts(KR)",p,bar
"RGDP, Net Exports of Goods and Services, Exports of Goods and Services, LCU, Contribution to % QoQ chg, ppts","RGDP, Net Exports of Goods and Services, Exports of Goods and Services, LCU, Contribution to % QoQ chg, ppts(KR)",p,bar
"RGDP, Domestic Demand, Gross Capital Formation, Gross Fixed Capital Formation, Facilities Investment, LCU, Contribution to % QoQ chg, ppts","RGDP, Domestic Demand, Gross Capital Formation, Gross Fixed Capital Formation, Facilities Investment, LCU, Contribution to % QoQ chg, ppts(KR)",p,bar
"RGDP, Domestic Demand, Final Consumption Expenditure, LCU, Contribution to % QoQ chg, ppts","RGDP, Domestic Demand, Final Consumption Expenditure, LCU, Contribution to % QoQ chg, ppts(KR)",p,bar
"RGDP, Domestic Demand, Government Consumption, LCU, Contribution to % QoQ chg, ppts","RGDP, Domestic Demand, Government Consumption, LCU, Contribution to % QoQ chg, ppts(KR)",p,bar
"RGDP, Domestic Demand, Public, LCU, Contribution to % QoQ chg, ppts","RGDP, Domestic Demand, Public, LCU, Contribution to % QoQ chg, ppts(KR)",p,bar
"RGDP, Domestic Demand, Gross Capital Formation, LCU, Contribution to % QoQ chg, ppts","RGDP, Domestic Demand, Gross Capital Formation, LCU, Contribution to % QoQ chg, ppts(KR)",p,bar
"RGDP, Domestic Demand, Gross Capital Formation, Gross Fixed Capital Formation, Public, LCU, Contribution to % QoQ chg, ppts","RGDP, Domestic Demand, Gross Capital Formation, Gross Fixed Capital Formation, Public, LCU, Contribution to % QoQ chg, ppts(KR)",p,bar
"RGDP, Domestic Demand, Gross Capital Formation, Gross Fixed Capital Formation, Private, LCU, Contribution to % QoQ chg, ppts","RGDP, Domestic Demand, Gross Capital Formation, Gross Fixed Capital Formation, Private, LCU, Contribution to % QoQ chg, ppts(KR)",p,bar
"RGDP, Domestic Demand, Gross Capital Formation, Gross Fixed Capital Formation, LCU, Contribution to % QoQ chg, ppts","RGDP, Domestic Demand, Gross Capital Formation, Gross Fixed Capital Formation, LCU, Contribution to % QoQ chg, ppts(KR)",p,bar
"RGDP, Domestic Demand, Private Consumption, Household Consumption, LCU, Contribution to % QoQ chg, ppts","RGDP, Domestic Demand, Private Consumption, Household Consumption, LCU, Contribution to % QoQ chg, ppts(KR)",p,bar
"RGDP, Domestic Demand, Gross Capital Formation, Gross Fixed Capital Formation, Intellectual Property Products, LCU, Contribution to % QoQ chg, ppts","RGDP, Domestic Demand, Gross Capital Formation, Gross Fixed Capital Formation, Intellectual Property Products, LCU, Contribution to % QoQ chg, ppts(KR)",p,bar
"RGDP, Net Exports of Goods and Services, LCU, Contribution to % QoQ chg, ppts","RGDP, Net Exports of Goods and Services, LCU, Contribution to % QoQ chg, ppts(KR)",p,bar
"RGDP, Domestic Demand, Private Consumption, Non-Profit Institutions Serving Households, LCU, Contribution to % QoQ chg, ppts","RGDP, Domestic Demand, Private Consumption, Non-Profit Institutions Serving Households, LCU, Contribution to % QoQ chg, ppts(KR)",p,bar
"RGDP, Domestic Demand, Private Consumption, LCU, Contribution to % QoQ chg, ppts","RGDP, Domestic Demand, Private Consumption, LCU, Contribution to % QoQ chg, ppts(KR)",p,bar
"RGDP, Domestic Demand, Private, LCU, Contribution to % QoQ chg, ppts","RGDP, Domestic Demand, Private, LCU, Contribution to % QoQ chg, ppts(KR)",p,bar
"RGDP, Statistical discrepancy, LCU, Contribution to % QoQ chg, ppts","RGDP, Statistical discrepancy, LCU, Contribution to % QoQ chg, ppts(KR)",p,bar
"NGDP, Domestic Demand, Gross Capital Formation, Gross Fixed Capital Formation, Construction, Building Construction, Non-Residential Buildings, LCU, SA","NGDP, Domestic Demand, Gross Capital Formation, Gross Fixed Capital Formation, Construction, Building Construction, Non-Residential Buildings, LCU, SA(KR)",r,line
"NGDP, Domestic Demand, Gross Capital Formation, Gross Fixed Capital Formation, Construction, Building Construction, Residential, LCU, SA","NGDP, Domestic Demand, Gross Capital Formation, Gross Fixed Capital Formation, Construction, Building Construction, Residential, LCU, SA(KR)",r,line
"NGDP, Domestic Demand, Gross Capital Formation, Gross Fixed Capital Formation, Construction, Building Construction, LCU, SA","NGDP, Domestic Demand, Gross Capital Formation, Gross Fixed Capital Formation, Construction, Building Construction, LCU, SA(KR)",r,line
"NGDP, Domestic Demand, Gross Capital Formation, Gross Fixed Capital Formation, Construction, Civil Engineering, LCU, SA","NGDP, Domestic Demand, Gross Capital Formation, Gross Fixed Capital Formation, Construction, Civil Engineering, LCU, SA(KR)",r,line
"NGDP, Domestic Demand, Gross Capital Formation, Gross Fixed Capital Formation, Construction, LCU, SA","NGDP, Domestic Demand, Gross Capital Formation, Gross Fixed Capital Formation, Construction, LCU, SA(KR)",r,line
"NGDP, Domestic Demand, Gross Capital Formation, Gross Fixed Capital Formation, Facilities Investment, Other Machinery and Equipment, LCU, SA","NGDP, Domestic Demand, Gross Capital Formation, Gross Fixed Capital Formation, Facilities Investment, Other Machinery and Equipment, LCU, SA(KR)",r,line
"NGDP, Domestic Demand, Gross Capital Formation, Gross Fixed Capital Formation, Facilities Investment, Transport Equipment, LCU, SA","NGDP, Domestic Demand, Gross Capital Formation, Gross Fixed Capital Formation, Facilities Investment, Transport Equipment, LCU, SA(KR)",r,line
"NGDP, Domestic Demand, Gross Capital Formation, Gross Fixed Capital Formation, Intellectual Property Products, Other Intellectual Property Products, LCU, SA","NGDP, Domestic Demand, Gross Capital Formation, Gross Fixed Capital Formation, Intellectual Property Products, Other Intellectual Property Products, LCU, SA(KR)",r,line
"NGDP, Domestic Demand, Gross Capital Formation, Gross Fixed Capital Formation, Intellectual Property Products, Research and Development, LCU, SA","NGDP, Domestic Demand, Gross Capital Formation, Gross Fixed Capital Formation, Intellectual Property Products, Research and Development, LCU, SA(KR)",r,line
"NGDP, Domestic Demand, Private Consumption, Household Consumption, Direct Purchases Abroad by Resident Households, LCU, SA","NGDP, Domestic Demand, Private Consumption, Household Consumption, Direct Purchases Abroad by Resident Households, LCU, SA(KR)",r,line
"NGDP, Domestic Demand, Private Consumption, Household Consumption, Direct Purchases in the Domestic Market by Non-Resident Households, LCU, SA","NGDP, Domestic Demand, Private Consumption, Household Consumption, Direct Purchases in the Domestic Market by Non-Resident Households, LCU, SA(KR)",r,line
"NGDP, Domestic Demand, Private Consumption, Household Consumption, Domestic Final Consumption, Durable Goods, LCU, SA","NGDP, Domestic Demand, Private Consumption, Household Consumption, Domestic Final Consumption, Durable Goods, LCU, SA(KR)",r,line
"NGDP, Domestic Demand, Private Consumption, Household Consumption, Domestic Final Consumption, Non-Durable Goods, LCU, SA","NGDP, Domestic Demand, Private Consumption, Household Consumption, Domestic Final Consumption, Non-Durable Goods, LCU, SA(KR)",r,line
"NGDP, Domestic Demand, Private Consumption, Household Consumption, Domestic Final Consumption, LCU, SA","NGDP, Domestic Demand, Private Consumption, Household Consumption, Domestic Final Consumption, LCU, SA(KR)",r,line
"NGDP, Domestic Demand, Private Consumption, Household Consumption, Domestic Final Consumption, Semi-Durable Goods, LCU, SA","NGDP, Domestic Demand, Private Consumption, Household Consumption, Domestic Final Consumption, Semi-Durable Goods, LCU, SA(KR)",r,line
"NGDP, Domestic Demand, Private Consumption, Household Consumption, Domestic Final Consumption, Services, LCU, SA","NGDP, Domestic Demand, Private Consumption, Household Consumption, Domestic Final Consumption, Services, LCU, SA(KR)",r,line
"RGDP, Domestic Demand, Gross Capital Formation, Gross Fixed Capital Formation, Construction, Building Construction, Non-Residential Buildings, LCU, SA","RGDP, Domestic Demand, Gross Capital Formation, Gross Fixed Capital Formation, Construction, Building Construction, Non-Residential Buildings, LCU, SA(KR)",r,line
"RGDP, Domestic Demand, Gross Capital Formation, Gross Fixed Capital Formation, Construction, Building Construction, Residential, LCU, SA","RGDP, Domestic Demand, Gross Capital Formation, Gross Fixed Capital Formation, Construction, Building Construction, Residential, LCU, SA(KR)",r,line
"RGDP, Domestic Demand, Gross Capital Formation, Gross Fixed Capital Formation, Construction, Building Construction, LCU, SA","RGDP, Domestic Demand, Gross Capital Formation, Gross Fixed Capital Formation, Construction, Building Construction, LCU, SA(KR)",r,line
"RGDP, Domestic Demand, Gross Capital Formation, Gross Fixed Capital Formation, Construction, Civil Engineering, LCU, SA","RGDP, Domestic Demand, Gross Capital Formation, Gross Fixed Capital Formation, Construction, Civil Engineering, LCU, SA(KR)",r,line
"RGDP, Domestic Demand, Gross Capital Formation, Gross Fixed Capital Formation, Construction, LCU, SA","RGDP, Domestic Demand, Gross Capital Formation, Gross Fixed Capital Formation, Construction, LCU, SA(KR)",r,line
"RGDP, Domestic Demand, Gross Capital Formation, Gross Fixed Capital Formation, Facilities Investment, Other Machinery and Equipment, LCU, SA","RGDP, Domestic Demand, Gross Capital Formation, Gross Fixed Capital Formation, Facilities Investment, Other Machinery and Equipment, LCU, SA(KR)",r,line
"RGDP, Domestic Demand, Gross Capital Formation, Gross Fixed Capital Formation, Facilities Investment, Transport Equipment, LCU, SA","RGDP, Domestic Demand, Gross Capital Formation, Gross Fixed Capital Formation, Facilities Investment, Transport Equipment, LCU, SA(KR)",r,line
"RGDP, Domestic Demand, Gross Capital Formation, Gross Fixed Capital Formation, Intellectual Property Products, Other Intellectual Property Products, LCU, SA","RGDP, Domestic Demand, Gross Capital Formation, Gross Fixed Capital Formation, Intellectual Property Products, Other Intellectual Property Products, LCU, SA(KR)",r,line
"RGDP, Domestic Demand, Gross Capital Formation, Gross Fixed Capital Formation, Intellectual Property Products, Research and Development, LCU, SA","RGDP, Domestic Demand, Gross Capital Formation, Gross Fixed Capital Formation, Intellectual Property Products, Research and Development, LCU, SA(KR)",r,line
"RGDP, Domestic Demand, Private Consumption, Household Consumption, Direct Purchases Abroad by Resident Households, LCU, SA","RGDP, Domestic Demand, Private Consumption, Household Consumption, Direct Purchases Abroad by Resident Households, LCU, SA(KR)",r,line
"RGDP, Domestic Demand, Private Consumption, Household Consumption, Direct Purchases in the Domestic Market by Non-Resident Households, LCU, SA","RGDP, Domestic Demand, Private Consumption, Household Consumption, Direct Purchases in the Domestic Market by Non-Resident Households, LCU, SA(KR)",r,line
"RGDP, Domestic Demand, Private Consumption, Household Consumption, Domestic Final Consumption, Durable Goods, LCU, SA","RGDP, Domestic Demand, Private Consumption, Household Consumption, Domestic Final Consumption, Durable Goods, LCU, SA(KR)",r,line
"RGDP, Domestic Demand, Private Consumption, Household Consumption, Domestic Final Consumption, Non-Durable Goods, LCU, SA","RGDP, Domestic Demand, Private Consumption, Household Consumption, Domestic Final Consumption, Non-Durable Goods, LCU, SA(KR)",r,line
"RGDP, Domestic Demand, Private Consumption, Household Consumption, Domestic Final Consumption, LCU, SA","RGDP, Domestic Demand, Private Consumption, Household Consumption, Domestic Final Consumption, LCU, SA(KR)",r,line
"RGDP, Domestic Demand, Private Consumption, Household Consumption, Domestic Final Consumption, Semi-Durable Goods, LCU, SA","RGDP, Domestic Demand, Private Consumption, Household Consumption, Domestic Final Consumption, Semi-Durable Goods, LCU, SA(KR)",r,line
"RGDP, Domestic Demand, Private Consumption, Household Consumption, Domestic Final Consumption, Services, LCU, SA","RGDP, Domestic Demand, Private Consumption, Household Consumption, Domestic Final Consumption, Services, LCU, SA(KR)",r,line
"NGDP, Domestic Demand, Gross Capital Formation, Gross Fixed Capital Formation, Construction, Residential, LCU, SA","NGDP, Domestic Demand, Gross Capital Formation, Gross Fixed Capital Formation, Construction, Residential, LCU, SA(KR)",r,line
"NGDP, Domestic Demand, Gross Capital Formation, Gross Fixed Capital Formation, Construction, Non-Residential, LCU, SA","NGDP, Domestic Demand, Gross Capital Formation, Gross Fixed Capital Formation, Construction, Non-Residential, LCU, SA(KR)",r,line
"NGDP, Domestic Demand, Gross Capital Formation, Gross Fixed Capital Formation, Construction, Other Buildings and Structures, LCU, SA","NGDP, Domestic Demand, Gross Capital Formation, Gross Fixed Capital Formation, Construction, Other Buildings and Structures, LCU, SA(KR)",r,line
"NGDP, Domestic Demand, Gross Capital Formation, Gross Fixed Capital Formation, Transport Equipment, LCU, SA","NGDP, Domestic Demand, Gross Capital Formation, Gross Fixed Capital Formation, Transport Equipment, LCU, SA(KR)",r,line
"NGDP, Domestic Demand, Gross Capital Formation, Gross Fixed Capital Formation, Other Machinery and Equipment, LCU, SA","NGDP, Domestic Demand, Gross Capital Formation, Gross Fixed Capital Formation, Other Machinery and Equipment, LCU, SA(KR)",r,line
"RGDP, Domestic Demand, Gross Capital Formation, Gross Fixed Capital Formation, Construction, Residential, LCU, SA","RGDP, Domestic Demand, Gross Capital Formation, Gross Fixed Capital Formation, Construction, Residential, LCU, SA(KR)",r,line
"RGDP, Domestic Demand, Gross Capital Formation, Gross Fixed Capital Formation, Construction, Non-Residential, LCU, SA","RGDP, Domestic Demand, Gross Capital Formation, Gross Fixed Capital Formation, Construction, Non-Residential, LCU, SA(KR)",r,line
"RGDP, Domestic Demand, Gross Capital Formation, Gross Fixed Capital Formation, Construction, Other Buildings and Structures, LCU, SA","RGDP, Domestic Demand, Gross Capital Formation, Gross Fixed Capital Formation, Construction, Other Buildings and Structures, LCU, SA(KR)",r,line
"RGDP, Domestic Demand, Gross Capital Formation, Gross Fixed Capital Formation, Transport Equipment, LCU, SA","RGDP, Domestic Demand, Gross Capital Formation, Gross Fixed Capital Formation, Transport Equipment, LCU, SA(KR)",r,line
"RGDP, Domestic Demand, Gross Capital Formation, Gross Fixed Capital Formation, Other Machinery and Equipment, LCU, SA","RGDP, Domestic Demand, Gross Capital Formation, Gross Fixed Capital Formation, Other Machinery and Equipment, LCU, SA(KR)",r,line
"NGDP, Domestic Demand, LCU, SA","NGDP, Domestic Demand, LCU, SA(KR)",r,line
"NGDP, Domestic Demand, Excluding Inventories, LCU, SA","NGDP, Domestic Demand, Excluding Inventories, LCU, SA(KR)",r,line
"NGDP, Domestic Demand, Private, Excluding Inventories, LCU, SA","NGDP, Domestic Demand, Private, Excluding Inventories, LCU, SA(KR)",r,line
"NGDP, Domnestic Demand, Public, Excluding Inventories, LCU, SA","NGDP, Domnestic Demand, Public, Excluding Inventories, LCU, SA(KR)",r,line
"RGDP, Domestic Demand, LCU, SA","RGDP, Domestic Demand, LCU, SA(KR)",r,line
"RGDP, Domestic Demand, Excluding Inventories, LCU, SA","RGDP, Domestic Demand, Excluding Inventories, LCU, SA(KR)",r,line
"RGDP, Domestic Demand, Private, Excluding Inventories, LCU, SA","RGDP, Domestic Demand, Private, Excluding Inventories, LCU, SA(KR)",r,line
"RGDP, Domnestic Demand, Public, Excluding Inventories, LCU, SA","RGDP, Domnestic Demand, Public, Excluding Inventories, LCU, SA(KR)",r,line
"RGDP, Net Exports of Goods and Services, Exports of Goods and Services, Goods, LCU, % YoY, SA","RGDP, Net Exports of Goods and Services, Exports of Goods and Services, Goods, LCU, % YoY, SA(KR)",p,line
"RGDP, Net Exports of Goods and Services, Imports of Goods and Services, Goods, LCU, % YoY, SA","RGDP, Net Exports of Goods and Services, Imports of Goods and Services, Goods, LCU, % YoY, SA(KR)",p,line
"RGDP, Net Exports of Goods and Services, Exports of Goods and Services, Services, LCU, % YoY, SA","RGDP, Net Exports of Goods and Services, Exports of Goods and Services, Services, LCU, % YoY, SA(KR)",p,line
"RGDP, Net Exports of Goods and Services, Imports of Goods and Services, Services, LCU, % YoY, SA","RGDP, Net Exports of Goods and Services, Imports of Goods and Services, Services, LCU, % YoY, SA(KR)",p,line
"RGDP, Net Exports of Goods and Services, Imports of Goods and Services, LCU, % YoY, SA","RGDP, Net Exports of Goods and Services, Imports of Goods and Services, LCU, % YoY, SA(KR)",p,line
"RGDP, Domestic Demand, Gross Capital Formation, Inventories, LCU, % YoY, SA","RGDP, Domestic Demand, Gross Capital Formation, Inventories, LCU, % YoY, SA(KR)",p,line
