0,1,2,3,4,5,KR,TW,CN,JP
Monthly,Exports,Value,USD,Total,,"Exports, All, Value, USD","Exports, All, Value, USD","Exports, All, Value, USD","Exports, All, Value, USD"
Monthly,Exports,Value,USD,By Product,Semiconductors,"Korea, Exports, Semiconductors, Value, USD","Exports, Semiconductors HS 776, Value, USD",,"Japan, Exports, Semiconductors, Value, USD"
Monthly,Exports,Value,USD,By Product,Passenger cars,,,"China, Exports, Passenger cars, Value, USD",
Monthly,Exports,Value,USD,By Product,Energy,,,,
Monthly,Exports,Value,USD,By Product,Others,,"Taiwan, Exports, Broad, World, Others, Value, USD",,"Japan, Exports, Group, Others, Value, USD"
Monthly,Exports,Value,USD,By Country,China,"Korea, Exports, China, Value, USD","Taiwan, Exports, China, Value, USD","China, Exports, All, Value, USD","Japan, Exports, China, Value, USD"
Monthly,Exports,Value,USD,By Country,Japan,"Korea, Exports, Japan, Value, USD","Taiwan, Exports, Broad, Japan, Total, Value, USD","Auto exports, Japan, Value, USD","Japan, Exports, All, Value, USD"
Monthly,Exports,Value,USD,By Country,Korea,"Korea, Exports, All, Value, USD","Taiwan, Exports, Broad, Korea, Total, Value, USD","Auto exports, Korea,Rep., Value, USD","Exports, Korea, Value, USD"
Monthly,Exports,Value,USD,By Country,Taiwan,"Korea, Exports, Taiwan, Value, USD","Taiwan, Exports, All, Value, USD","Auto exports, Taiwan, Value, USD","Japan, Exports, Taiwan, Value, USD"
Monthly,Exports,Value,USD,By Country,EU,"Exports, EU, Value, USD","Taiwan, Exports, Broad, EU, Total, Value, USD","Exports, EU, Value, USD","Exports, EU, Value, USD"
Monthly,Exports,Value,USD,By Country,US,"Exports, US, Value, USD","Taiwan, Exports, Broad, US, Total, Value, USD","Exports, US, Value, USD","Exports, US, Value, USD"
Monthly,Exports,Value,LCU,Total,,"Exports, All, Value, LCU","Exports, All, Value, LCU","Exports, All, Value, LCU","Exports, All, Value, LCU"
Monthly,Exports,Value,LCU,By Product,Semiconductors,,"Exports, Semiconductors HS 776, Value, LCU",,"Japan, Exports, Semiconductors, Value, LCU"
Monthly,Exports,Value,LCU,By Product,Passenger cars,,,,
Monthly,Exports,Value,LCU,By Product,Energy,,,,
Monthly,Exports,Value,LCU,By Product,Others,,"Taiwan, Exports, Broad, World, Others, Value, LCU",,"Japan, Exports, Group, Others, Value, LCU"
Monthly,Exports,Value,LCU,By Country,China,,"Taiwan, Exports, China, Value, LCU","China, Exports, All, Value, LCU","Japan, Exports, China, Value, LCU"
Monthly,Exports,Value,LCU,By Country,Japan,,"Taiwan, Exports, Japan, Value, LCU",,"Japan, Exports, All, Value, LCU"
Monthly,Exports,Value,LCU,By Country,Korea,"Korea, Exports, All, Value, LCU","Taiwan, Exports, Korea, Value, LCU",,"Exports, Korea, Value, LCU"
Monthly,Exports,Value,LCU,By Country,Taiwan,,"Taiwan, Exports, All, Value, LCU",,"Japan, Exports, Taiwan, Value, LCU"
Monthly,Exports,Value,LCU,By Country,EU,,"Taiwan, Exports, Broad, EU, Total, Value, LCU",,"Exports, EU, Value, LCU"
Monthly,Exports,Value,LCU,By Country,US,,"Taiwan, Exports, Broad, US, Total, Value, LCU",,"Exports, US, Value, LCU"
Monthly,Exports,Value,index,Total,,,,,"Exports, UK, Total, Value, index"
Monthly,Exports,Value,index,By Product,Semiconductors,,,,
Monthly,Exports,Value,index,By Product,Passenger cars,,,,"Exports, World, Passenger Motor Car, Value, index"
Monthly,Exports,Value,index,By Product,Energy,,,,
Monthly,Exports,Value,index,By Product,Others,,,,"Japan, Exports, World, Office machines (others), Value, index"
Monthly,Exports,Value,index,By Country,China,,,,"Japan, Exports, China, Total, Value, index"
Monthly,Exports,Value,index,By Country,Japan,,,,"Japan, Exports, EU, Metals, Value, index"
Monthly,Exports,Value,index,By Country,Korea,,,,
Monthly,Exports,Value,index,By Country,Taiwan,,,,
Monthly,Exports,Value,index,By Country,EU,,,,"Japan, Exports, EU, Chemicals, Value, index"
Monthly,Exports,Value,index,By Country,US,,,,"Exports, US, Total, Value, index"
Monthly,Exports,Value,"USD, % YoY",Total,,"Exports, All, Value, USD, % YoY","Exports, All, Value, USD, % YoY","Exports, All, Value, USD, % YoY","Exports, All, Value, USD, % YoY"
Monthly,Exports,Value,"USD, % YoY",By Product,Semiconductors,"Korea, Exports, Semiconductors, Value, USD, % YoY","Exports, Semiconductors HS 776, Value, USD, % YoY","China, Exports, Diodes and similar semiconductors, Value, USD, % YoY","Japan, Exports, Semiconductors, Value, USD, % YoY"
Monthly,Exports,Value,"USD, % YoY",By Product,Passenger cars,,,"China, Exports, Passenger cars, Value, USD, % YoY",
Monthly,Exports,Value,"USD, % YoY",By Product,Energy,,,,
Monthly,Exports,Value,"USD, % YoY",By Product,Others,,"Taiwan, Exports, Broad, World, Others, Value, USD, % YoY",,"Japan, Exports, Group, Others, Value, USD, % YoY"
Monthly,Exports,Value,"USD, % YoY",By Country,China,"Korea, Exports, China, Value, USD, % YoY","Taiwan, Exports, China, Value, USD, % YoY","China, Exports, All, Value, USD, % YoY","Japan, Exports, China, Value, USD, % YoY"
Monthly,Exports,Value,"USD, % YoY",By Country,Japan,"Korea, Exports, Japan, Value, USD, % YoY","Taiwan, Exports, Broad, Japan, Total, Value, USD, % YoY","Exports, DM excl Japan, Value, USD, % YoY","Japan, Exports, All, Value, USD, % YoY"
Monthly,Exports,Value,"USD, % YoY",By Country,Korea,"Korea, Exports, All, Value, USD, % YoY","Taiwan, Exports, Broad, Korea, Total, Value, USD, % YoY",,"Exports, Korea, Value, USD, % YoY"
Monthly,Exports,Value,"USD, % YoY",By Country,Taiwan,"Korea, Exports, Taiwan, Value, USD, % YoY","Taiwan, Exports, All, Value, USD, % YoY","China, HS, Exports, Autos, Hybrid, Taiwan, Value, USD, % YoY","Japan, Exports, Taiwan, Value, USD, % YoY"
Monthly,Exports,Value,"USD, % YoY",By Country,EU,"Korea, Exports, EU, Value, USD, % YoY","Taiwan, Exports, Broad, EU, Total, Value, USD, % YoY","Exports, EU, Value, USD, % YoY","Japan, Exports, EU, Value, USD, % YoY"
Monthly,Exports,Value,"USD, % YoY",By Country,EU,"Exports, EU, Value, USD, % YoY","Exports, EU, Value, USD, % YoY","Exports, EU, Value, USD, % YoY","Exports, EU, Value, USD, % YoY"
Monthly,Exports,Value,"USD, % YoY",By Country,US,"Exports, US, Value, USD, % YoY","Taiwan, Exports, Broad, US, Total, Value, USD, % YoY","Exports, US, Value, USD, % YoY","Exports, US, Value, USD, % YoY"
Monthly,Exports,Value,"LCU, % YoY",Total,,"Exports, All, Value, LCU, % YoY","Exports, All, Value, LCU, % YoY","Exports, All, Value, LCU, % YoY","Exports, All, Value, LCU, % YoY"
Monthly,Exports,Value,"LCU, % YoY",By Product,Semiconductors,,"Exports, Semiconductors HS 776, Value, LCU, % YoY",,"Japan, Exports, Semiconductors, Value, LCU, % YoY"
Monthly,Exports,Value,"LCU, % YoY",By Product,Passenger cars,,,,
Monthly,Exports,Value,"LCU, % YoY",By Product,Energy,,,,
Monthly,Exports,Value,"LCU, % YoY",By Product,Others,,"Taiwan, Exports, Broad, World, Others, Value, LCU, % YoY",,"Japan, Exports, Group, Others, Value, LCU, % YoY"
Monthly,Exports,Value,"LCU, % YoY",By Country,China,,"Taiwan, Exports, China, Value, LCU, % YoY","China, Exports, All, Value, LCU, % YoY","Japan, Exports, China, Value, LCU, % YoY"
Monthly,Exports,Value,"LCU, % YoY",By Country,Japan,,"Taiwan, Exports, Japan, Value, LCU, % YoY",,"Japan, Exports, All, Value, LCU, % YoY"
Monthly,Exports,Value,"LCU, % YoY",By Country,Korea,"Korea, Exports, All, Value, LCU, % YoY","Taiwan, Exports, Korea, Value, LCU, % YoY",,"Exports, Korea, Value, LCU, % YoY"
Monthly,Exports,Value,"LCU, % YoY",By Country,Taiwan,,"Taiwan, Exports, All, Value, LCU, % YoY",,"Japan, Exports, Taiwan, Value, LCU, % YoY"
Monthly,Exports,Value,"LCU, % YoY",By Country,EU,,"Taiwan, Exports, Broad, EU, Total, Value, LCU, % YoY",,"Exports, EU, Value, LCU, % YoY"
Monthly,Exports,Value,"LCU, % YoY",By Country,US,,"Taiwan, Exports, Broad, US, Total, Value, LCU, % YoY",,"Exports, US, Value, LCU, % YoY"
Monthly,Exports,Value,"index, % YoY",Total,,,,,"Exports, UK, Total, Value, index, % YoY"
Monthly,Exports,Value,"index, % YoY",By Product,Semiconductors,,,,"Exports, World, Medical Products, Value, index, % YoY"
Monthly,Exports,Value,"index, % YoY",By Product,Passenger cars,,,,"Japan, Exports, World, Passenger Motor Car, Value, index, % YoY"
Monthly,Exports,Value,"index, % YoY",By Product,Energy,,,,
Monthly,Exports,Value,"index, % YoY",By Product,Others,,,,"Japan, Exports, World, Office machines (others), Value, index, % YoY"
Monthly,Exports,Value,"index, % YoY",By Country,China,,,,"Japan, Exports, China, Total, Value, index, % YoY"
Monthly,Exports,Value,"index, % YoY",By Country,Japan,,,,"Japan, Exports, EU, Metals, Value, index, % YoY"
Monthly,Exports,Value,"index, % YoY",By Country,Korea,,,,
Monthly,Exports,Value,"index, % YoY",By Country,Taiwan,,,,
Monthly,Exports,Value,"index, % YoY",By Country,EU,,,,"Japan, Exports, EU, Chemicals, Value, index, % YoY"
Monthly,Exports,Value,"index, % YoY",By Country,US,,,,"Exports, US, Total, Value, index, % YoY"
Monthly,Exports,Value,"USD, SA",Total,,"Exports, All, Value, USD, SA","Exports, All, Value, USD, SA","Exports, All, Value, USD, SA","Exports, All, Value, USD, SA"
Monthly,Exports,Value,"USD, SA",By Product,Semiconductors,"Korea, Exports, Semiconductors, Value, USD, SA","Exports, Semiconductors HS 776, Value, USD, SA",,"Japan, Exports, Semiconductors, Value, USD, SA"
Monthly,Exports,Value,"USD, SA",By Product,Passenger cars,,,,
Monthly,Exports,Value,"USD, SA",By Product,Energy,,,,
Monthly,Exports,Value,"USD, SA",By Product,Others,,,,
Monthly,Exports,Value,"USD, SA",By Country,China,"Korea, Exports, China, Value, USD, SA","Exports, China and Hong Kong, Value, USD, SA","China, Exports, All, Value, USD, SA","Japan, Exports, China, Value, USD, SA"
Monthly,Exports,Value,"USD, SA",By Country,Japan,"Korea, Exports, DM excl Japan, Value, USD, SA","Exports, DM excl Japan, Value, USD, SA","Exports, DM excl Japan, Value, USD, SA","Japan, Exports, All, Value, USD, SA"
Monthly,Exports,Value,"USD, SA",By Country,Korea,"Korea, Exports, All, Value, USD, SA",,,"Exports, Korea, Value, USD, SA"
Monthly,Exports,Value,"USD, SA",By Country,Taiwan,,"Taiwan, Exports, All, Value, USD, SA","China, Exports, Taiwan, Value, USD, SA","Exports, Taiwan, Value, USD, SA"
Monthly,Exports,Value,"USD, SA",By Country,EU,"Exports, EU, Value, USD, SA","Exports, EU, Value, USD, SA","Exports, EU, Value, USD, SA","Exports, EU, Value, USD, SA"
Monthly,Exports,Value,"USD, SA",By Country,US,"Exports, US, Value, USD, SA","Exports, US, Value, USD, SA","Exports, US, Value, USD, SA","Exports, US, Value, USD, SA"
Monthly,Exports,Value,"LCU, SA",Total,,"Exports, All, Value, LCU, SA","Exports, All, Value, LCU, SA","Exports, All, Value, LCU, SA","Exports, All, Value, LCU, SA"
Monthly,Exports,Value,"LCU, SA",By Product,Semiconductors,,"Exports, Semiconductors HS 776, Value, LCU, SA",,"Japan, Exports, Semiconductors, Value, LCU, SA"
Monthly,Exports,Value,"LCU, SA",By Product,Passenger cars,,,,
Monthly,Exports,Value,"LCU, SA",By Product,Energy,,,,
Monthly,Exports,Value,"LCU, SA",By Product,Others,,,,
Monthly,Exports,Value,"LCU, SA",By Country,China,,"Exports, China and Hong Kong, Value, LCU, SA","China, Exports, All, Value, LCU, SA","Japan, Exports, China, Value, LCU, SA"
Monthly,Exports,Value,"LCU, SA",By Country,Japan,,"Exports, DM excl Japan, Value, LCU, SA",,"Japan, Exports, All, Value, LCU, SA"
Monthly,Exports,Value,"LCU, SA",By Country,Korea,"Korea, Exports, All, Value, LCU, SA",,,"Exports, Korea, Value, LCU, SA"
Monthly,Exports,Value,"LCU, SA",By Country,Taiwan,,"Taiwan, Exports, All, Value, LCU, SA",,"Exports, Taiwan, Value, LCU, SA"
Monthly,Exports,Value,"LCU, SA",By Country,EU,,"Exports, EU, Value, LCU, SA",,"Exports, EU, Value, LCU, SA"
Monthly,Exports,Value,"LCU, SA",By Country,US,,"Exports, US, Value, LCU, SA",,"Exports, US, Value, LCU, SA"
Monthly,Exports,Value,"index, SA",Total,,,,,
Monthly,Exports,Value,"index, SA",By Product,Semiconductors,,,,
Monthly,Exports,Value,"index, SA",By Product,Passenger cars,,,,
Monthly,Exports,Value,"index, SA",By Product,Energy,,,,
Monthly,Exports,Value,"index, SA",By Product,Others,,,,
Monthly,Exports,Value,"index, SA",By Country,China,,,,
Monthly,Exports,Value,"index, SA",By Country,Japan,,,,
Monthly,Exports,Value,"index, SA",By Country,Korea,,,,
Monthly,Exports,Value,"index, SA",By Country,Taiwan,,,,
Monthly,Exports,Value,"index, SA",By Country,EU,,,,
Monthly,Exports,Value,"index, SA",By Country,US,,,,
Monthly,Exports,Value,"USD, % MoM",Total,,,,,
Monthly,Exports,Value,"USD, % MoM",By Product,Semiconductors,,,,
Monthly,Exports,Value,"USD, % MoM",By Product,Passenger cars,,,,
Monthly,Exports,Value,"USD, % MoM",By Product,Energy,,,,
Monthly,Exports,Value,"USD, % MoM",By Product,Others,,,,
Monthly,Exports,Value,"USD, % MoM",By Country,China,,,,
Monthly,Exports,Value,"USD, % MoM",By Country,Japan,,,,
Monthly,Exports,Value,"USD, % MoM",By Country,Korea,,,,
Monthly,Exports,Value,"USD, % MoM",By Country,Taiwan,,,,
Monthly,Exports,Value,"USD, % MoM",By Country,EU,,,,
Monthly,Exports,Value,"USD, % MoM",By Country,US,,,,
Monthly,Exports,Value,"LCU, % MoM",Total,,,,,
Monthly,Exports,Value,"LCU, % MoM",By Product,Semiconductors,,,,
Monthly,Exports,Value,"LCU, % MoM",By Product,Passenger cars,,,,
Monthly,Exports,Value,"LCU, % MoM",By Product,Energy,,,,
Monthly,Exports,Value,"LCU, % MoM",By Product,Others,,,,
Monthly,Exports,Value,"LCU, % MoM",By Country,China,,,,
Monthly,Exports,Value,"LCU, % MoM",By Country,Japan,,,,
Monthly,Exports,Value,"LCU, % MoM",By Country,Korea,,,,
Monthly,Exports,Value,"LCU, % MoM",By Country,Taiwan,,,,
Monthly,Exports,Value,"LCU, % MoM",By Country,EU,,,,
Monthly,Exports,Value,"LCU, % MoM",By Country,US,,,,
Monthly,Exports,Value,"index, % MoM",Total,,,,,
Monthly,Exports,Value,"index, % MoM",By Product,Semiconductors,,,,
Monthly,Exports,Value,"index, % MoM",By Product,Passenger cars,,,,
Monthly,Exports,Value,"index, % MoM",By Product,Energy,,,,
Monthly,Exports,Value,"index, % MoM",By Product,Others,,,,
Monthly,Exports,Value,"index, % MoM",By Country,China,,,,
Monthly,Exports,Value,"index, % MoM",By Country,Japan,,,,
Monthly,Exports,Value,"index, % MoM",By Country,Korea,,,,
Monthly,Exports,Value,"index, % MoM",By Country,Taiwan,,,,
Monthly,Exports,Value,"index, % MoM",By Country,EU,,,,
Monthly,Exports,Value,"index, % MoM",By Country,US,,,,
Monthly,Exports,Value,"USD, % YoY, SA",Total,,,,,"Exports, All, Value, USD, % YoY, SA"
Monthly,Exports,Value,"USD, % YoY, SA",By Product,Semiconductors,,,,"Japan, Exports, Semiconductors, Value, USD, % YoY, SA"
Monthly,Exports,Value,"USD, % YoY, SA",By Product,Passenger cars,,,,
Monthly,Exports,Value,"USD, % YoY, SA",By Product,Energy,,,,
Monthly,Exports,Value,"USD, % YoY, SA",By Product,Others,,,,
Monthly,Exports,Value,"USD, % YoY, SA",By Country,China,,,,"Japan, Exports, China, Value, USD, % YoY, SA"
Monthly,Exports,Value,"USD, % YoY, SA",By Country,Japan,,,,"Japan, Exports, All, Value, USD, % YoY, SA"
Monthly,Exports,Value,"USD, % YoY, SA",By Country,Korea,,,,"Exports, Korea, Value, USD, % YoY, SA"
Monthly,Exports,Value,"USD, % YoY, SA",By Country,Taiwan,,,,"Exports, Taiwan, Value, USD, % YoY, SA"
Monthly,Exports,Value,"USD, % YoY, SA",By Country,EU,,,,"Exports, EU, Value, USD, % YoY, SA"
Monthly,Exports,Value,"USD, % YoY, SA",By Country,US,,,,"Exports, US, Value, USD, % YoY, SA"
Monthly,Exports,Value,"LCU, % YoY, SA",Total,,,,,"Exports, All, Value, LCU, % YoY, SA"
Monthly,Exports,Value,"LCU, % YoY, SA",By Product,Semiconductors,,,,"Japan, Exports, Semiconductors, Value, LCU, % YoY, SA"
Monthly,Exports,Value,"LCU, % YoY, SA",By Product,Passenger cars,,,,
Monthly,Exports,Value,"LCU, % YoY, SA",By Product,Energy,,,,
Monthly,Exports,Value,"LCU, % YoY, SA",By Product,Others,,,,
Monthly,Exports,Value,"LCU, % YoY, SA",By Country,China,,,,"Japan, Exports, China, Value, LCU, % YoY, SA"
Monthly,Exports,Value,"LCU, % YoY, SA",By Country,Japan,,,,"Japan, Exports, All, Value, LCU, % YoY, SA"
Monthly,Exports,Value,"LCU, % YoY, SA",By Country,Korea,,,,"Exports, Korea, Value, LCU, % YoY, SA"
Monthly,Exports,Value,"LCU, % YoY, SA",By Country,Taiwan,,,,"Exports, Taiwan, Value, LCU, % YoY, SA"
Monthly,Exports,Value,"LCU, % YoY, SA",By Country,EU,,,,"Exports, EU, Value, LCU, % YoY, SA"
Monthly,Exports,Value,"LCU, % YoY, SA",By Country,US,,,,"Exports, US, Value, LCU, % YoY, SA"
Monthly,Exports,Value,"index, % YoY, SA",Total,,,,,
Monthly,Exports,Value,"index, % YoY, SA",By Product,Semiconductors,,,,
Monthly,Exports,Value,"index, % YoY, SA",By Product,Passenger cars,,,,
Monthly,Exports,Value,"index, % YoY, SA",By Product,Energy,,,,
Monthly,Exports,Value,"index, % YoY, SA",By Product,Others,,,,
Monthly,Exports,Value,"index, % YoY, SA",By Country,China,,,,
Monthly,Exports,Value,"index, % YoY, SA",By Country,Japan,,,,
Monthly,Exports,Value,"index, % YoY, SA",By Country,Korea,,,,
Monthly,Exports,Value,"index, % YoY, SA",By Country,Taiwan,,,,
Monthly,Exports,Value,"index, % YoY, SA",By Country,EU,,,,
Monthly,Exports,Value,"index, % YoY, SA",By Country,US,,,,
Monthly,Exports,Value,"USD, % MoM, SA",Total,,"Exports, All, Value, USD, % MoM, SA","Exports, All, Value, USD, % MoM, SA","Exports, All, Value, USD, % MoM, SA","Exports, All, Value, USD, % MoM, SA"
Monthly,Exports,Value,"USD, % MoM, SA",By Product,Semiconductors,"Korea, Exports, Semiconductors, Value, USD, % MoM, SA","Exports, Semiconductors HS 776, Value, USD, % MoM, SA",,"Japan, Exports, Semiconductors, Value, USD, % MoM, SA"
Monthly,Exports,Value,"USD, % MoM, SA",By Product,Passenger cars,,,,
Monthly,Exports,Value,"USD, % MoM, SA",By Product,Energy,,,,
Monthly,Exports,Value,"USD, % MoM, SA",By Product,Others,,,,
Monthly,Exports,Value,"USD, % MoM, SA",By Country,China,"Korea, Exports, China, Value, USD, % MoM, SA","Exports, China and Hong Kong, Value, USD, % MoM, SA","China, Exports, All, Value, USD, % MoM, SA","Japan, Exports, China, Value, USD, % MoM, SA"
Monthly,Exports,Value,"USD, % MoM, SA",By Country,Japan,"Korea, Exports, DM excl Japan, Value, USD, % MoM, SA","Exports, DM excl Japan, Value, USD, % MoM, SA","Exports, DM excl Japan, Value, USD, % MoM, SA","Japan, Exports, All, Value, USD, % MoM, SA"
Monthly,Exports,Value,"USD, % MoM, SA",By Country,Korea,"Korea, Exports, All, Value, USD, % MoM, SA",,,"Exports, Korea, Value, USD, % MoM, SA"
Monthly,Exports,Value,"USD, % MoM, SA",By Country,Taiwan,,"Taiwan, Exports, All, Value, USD, % MoM, SA","China, Exports, Taiwan, Value, USD, % MoM, SA","Exports, Taiwan, Value, USD, % MoM, SA"
Monthly,Exports,Value,"USD, % MoM, SA",By Country,EU,"Exports, EU, Value, USD, % MoM, SA","Exports, EU, Value, USD, % MoM, SA","Exports, EU, Value, USD, % MoM, SA","Exports, EU, Value, USD, % MoM, SA"
Monthly,Exports,Value,"USD, % MoM, SA",By Country,US,"Exports, US, Value, USD, % MoM, SA","Exports, US, Value, USD, % MoM, SA","Exports, US, Value, USD, % MoM, SA","Exports, US, Value, USD, % MoM, SA"
Monthly,Exports,Value,"LCU, % MoM, SA",Total,,"Exports, All, Value, LCU, % MoM, SA","Exports, All, Value, LCU, % MoM, SA","Exports, All, Value, LCU, % MoM, SA","Exports, All, Value, LCU, % MoM, SA"
