0,1,2,3,4,5,6,7,8,JP,TW,CN,KR
NGDP Q,LCU,Expenditure,Per capita,,,,,,"Japan, NGDP, Expenditure, Per capita, LCU","Taiwan, NGDP, Activity, LCU","China, NGDP, Activity, Other, LCU",
NGDP Q,LCU,Expenditure,GDP,,,,,,,,,"Korea, NGDP, Expenditure, LCU"
NGDP Q,LCU,Expenditure,Domestic Demand,Per capita,,,,,,,"China, NGDP, Activity, Storage and Post, LCU",
NGDP Q,LCU,Expenditure,Domestic Demand,Total,,,,,"Japan, NGDP, Expenditure, Domestic Demand, LCU","Taiwan, NGDP, Expenditure, Domestic Demand, LCU",,
NGDP Q,LCU,Expenditure,Domestic Demand,Private,,,,,"Japan, NGDP, Expenditure, Domestic Demand, Private Demand, LCU",,,
NGDP Q,LCU,Expenditure,Domestic Demand,Public,,,,,"Japan, NGDP, Expenditure, Domestic Demand, Public Demand, LCU",,,
NGDP Q,LCU,Expenditure,Domestic Demand,Government Consumption,,,,,"Japan, NGDP, Expenditure, Domestic Demand, Government Consumption, LCU","Taiwan, NGDP, Expenditure, Domestic Demand, Government Consumption, LCU","China, NGDP, Activity, LCU, 12M average","Korea, NGDP, Expenditure, Domestic Demand, Government Consumption, LCU"
NGDP Q,LCU,Expenditure,Domestic Demand,Employee compensation per hour,,,,,,,,
NGDP Q,LCU,Expenditure,Domestic Demand,Employee compensation per worker,,,,,,,,
NGDP Q,LCU,Expenditure,Domestic Demand,Private Consumption,Per capita,,,,"Japan, NGDP, Expenditure, Domestic Demand, Private Consumption, Per capita, LCU",,,
NGDP Q,LCU,Expenditure,Domestic Demand,Private Consumption,Total,,,,,"Taiwan, NGDP, Expenditure, Domestic Demand, Private Consumption, LCU",,"Korea, NGDP, Expenditure, Domestic Demand, Private Consumption, LCU"
NGDP Q,LCU,Expenditure,Domestic Demand,Private Consumption,Excluding Imputed Rent,,,,"Japan, NGDP, Expenditure, Domestic Demand, Private Consumption, LCU tn",,,
NGDP Q,LCU,Expenditure,Domestic Demand,Private Consumption,Household Consumption,Per capita,,,,,,
NGDP Q,LCU,Expenditure,Domestic Demand,Private Consumption,Household Consumption,Total,,,"Japan, NGDP, Expenditure, Domestic Demand, Private Consumption, Household Consumption, LCU",,,"Korea, NGDP, Expenditure, Domestic Demand, Private Consumption, Household Consumption, LCU"
NGDP Q,LCU,Expenditure,Domestic Demand,Private Consumption,Household Consumption,Direct Purchases Abroad by Resident Households,,,"Japan, NGDP, Expenditure, Domestic Demand, Private Consumption, Household Consumption, Direct Purchases Abroad by Resident Households, LCU",,,
NGDP Q,LCU,Expenditure,Domestic Demand,Private Consumption,Household Consumption,Direct Purchases in the Domestic Market by Non-Resident Households,,,"Japan, NGDP, Expenditure, Domestic Demand, Private Consumption, Household Consumption, Direct Purchases inthe Domestic Market by Non-Resident Households, LCU tn",,,
NGDP Q,LCU,Expenditure,Domestic Demand,Private Consumption,Household Consumption,Excluding Imputed Rent,,,"Japan, NGDP, Expenditure, Domestic Demand, Private Consumption, Household Consumption, Excluding Imputed Rent, LCU",,,
NGDP Q,LCU,Expenditure,Domestic Demand,Private Consumption,Household Consumption,Domestic Final Consumption,Total,,"Japan, NGDP, Expenditure, Domestic Demand, Private Consumption, Household Consumption, Domestic Final Consumption, LCU",,,
NGDP Q,LCU,Expenditure,Domestic Demand,Private Consumption,Household Consumption,Domestic Final Consumption,Goods,Total,,,,
NGDP Q,LCU,Expenditure,Domestic Demand,Private Consumption,Household Consumption,Domestic Final Consumption,Goods,Durable Goods,"Japan, NGDP, Expenditure, Domestic Demand, Private Consumption, Household Consumption, Domestic Final Consumption, Durable Goods, LCU",,"China, NGDP, Activity, Tertiary, Accommodation and food services, LCU, 12M average",
NGDP Q,LCU,Expenditure,Domestic Demand,Private Consumption,Household Consumption,Domestic Final Consumption,Goods,Semi-Durable Goods,"Japan, NGDP, Expenditure, Domestic Demand, Private Consumption, Household Consumption, Domestic Final Consumption, Semi-Durable Goods, LCU",,,
NGDP Q,LCU,Expenditure,Domestic Demand,Private Consumption,Household Consumption,Domestic Final Consumption,Goods,Non-Durable Goods,"Japan, NGDP, Expenditure, Domestic Demand, Private Consumption, Household Consumption, Domestic Final Consumption, Non-Durable Goods, LCU",,,
NGDP Q,LCU,Expenditure,Domestic Demand,Private Consumption,Household Consumption,Domestic Final Consumption,Services,,"Japan, NGDP, Expenditure, Domestic Demand, Private Consumption, Household Consumption, Domestic Final Consumption, Services, LCU",,,
NGDP Q,LCU,Expenditure,Domestic Demand,Final Consumption Expenditure Contribution,,,,,,,,
NGDP Q,LCU,Expenditure,Domestic Demand,Final Consumption Expenditure,,,,,"Japan, NGDP, Expenditure, Domestic Demand, Private Consumption, LCU",,,"Korea, NGDP, Expenditure, Domestic Demand, Final Consumption Expenditure, LCU"
NGDP Q,LCU,Expenditure,Domestic Demand,Gross Capital Formation Contribution,,,,,,,,
NGDP Q,LCU,Expenditure,Domestic Demand,Gross Capital Formation,Total,,,,"Japan, NGDP, Expenditure, Domestic Demand, Gross Capital Formation, LCU","Taiwan, NGDP, Expenditure, Domestic Demand, Gross Capital Formation, LCU",,"Korea, NGDP, Expenditure, Domestic Demand, Gross Capital Formation, LCU"
NGDP Q,LCU,Expenditure,Domestic Demand,Gross Capital Formation,Private,Inventories,,,"Japan, NGDP, Expenditure, Domestic Demand, Gross Capital Formation, Private, Inventories, LCU",,,
NGDP Q,LCU,Expenditure,Domestic Demand,Gross Capital Formation,Public,Inventories,,,"Japan, NGDP, Expenditure, Domestic Demand, Gross Capital Formation, Public, Inventories, LCU",,,
