raw_data_name,data_type,cleaned_name
"Taiwan, Exports, All, SA, Calculated, USD bn",b,"Taiwan, Exports, All, SA, Calculated, USD, Value"
"Taiwan, Imports, All, SA, Calculated, USD bn",b,"Taiwan, Imports, All, SA, Calculated, USD, Value"
"Taiwan, Exports, China, SA, USD bn",b,"Taiwan, Exports, China, Value, USD, SA"
"Taiwan, Exports, US, SA, USD bn",b,"Taiwan, Exports, US, Value, USD, SA"
"Taiwan, Imports, China, SA, USD bn",b,"Taiwan, Imports, China, Value, USD, SA"
"Taiwan, Imports, US, SA, USD bn",b,"Taiwan, Imports, US, Value, USD, SA"
"Taiwan, Exports, ASEAN, SA, USD bn",b,"Taiwan, Exports, ASEAN, Value, USD, SA"
"Taiwan, Exports, EU, SA, USD bn",b,"Taiwan, Exports, EU, Value, USD, SA"
"Taiwan, Exports, DM excl Japan, SA, USD bn",b,"Taiwan, Exports, DM excl Japan, Value, USD, SA"
"Taiwan, Exports, Developed Europe, SA, USD bn",b,"Taiwan, Exports, Developed Europe, Value, USD, SA"
"Taiwan, Exports, China and Hong Kong, SA, USD bn",b,"Taiwan, Exports, China and Hong Kong, Value, USD, SA"
"Taiwan, Exports, North Asia, SA, USD bn",b,"Taiwan, Exports, North Asia, Value, USD, SA"
"Taiwan, Exports, EM, SA, USD bn",b,"Taiwan, Exports, EM, Value, USD, SA"
"Taiwan, Exports, Excluding China, SA, USD bn",b,"Taiwan, Exports, Excluding China, Value, USD, SA"
"Taiwan, Exports, Excluding China and Hong Kong, SA, USD bn",b,"Taiwan, Exports, Excluding China and Hong Kong, Value, USD, SA"
"Taiwan, Imports, ASEAN, SA, USD bn",b,"Taiwan, Imports, ASEAN, Value, USD, SA"
"Taiwan, Imports, EU, SA, USD bn",b,"Taiwan, Imports, EU, Value, USD, SA"
"Taiwan, Imports, DM excl Japan, SA, USD bn",b,"Taiwan, Imports, DM excl Japan, Value, USD, SA"
"Taiwan, Imports, Developed Europe, SA, USD bn",b,"Taiwan, Imports, Developed Europe, Value, USD, SA"
"Taiwan, Imports, China and Hong Kong, SA, USD bn",b,"Taiwan, Imports, China and Hong Kong, Value, USD, SA"
"Taiwan, Imports, North Asia, SA, USD bn",b,"Taiwan, Imports, North Asia, Value, USD, SA"
"Taiwan, Imports, EM, SA, USD bn",b,"Taiwan, Imports, EM, Value, USD, SA"
"Taiwan, Imports, Excluding China, SA, USD bn",b,"Taiwan, Imports, Excluding China, Value, USD, SA"
"Taiwan, Imports, Excluding China and Hong Kong, SA, USD bn",b,"Taiwan, Imports, Excluding China and Hong Kong, Value, USD, SA"
"Taiwan, Exports, SITC, 776, SA, USD bn",b,"Taiwan, Exports, SITC, 776, Value, USD, SA"
"Taiwan, Exports, SITC, 75, SA, USD bn",b,"Taiwan, Exports, SITC, 75, Value, USD, SA"
"Taiwan, Exports, SITC, 75 through 77, SA, USD bn",b,"Taiwan, Exports, SITC, 75 through 77, Value, USD, SA"
"Taiwan, Exports, SITC, 76, SA, USD bn",b,"Taiwan, Exports, SITC, 76, Value, USD, SA"
