raw_data_name,data_type,cleaned_name
"Taiwan, Deflator, Activity, GDP, % YoY",p,"Taiwan, Deflator, Activity, GDP, LCU, % YoY"
"Taiwan, Deflator, Activity, GDP, Index",,"Taiwan, Deflator, Activity, GDP, Index, LCU"
"Taiwan, Deflator, Activity, Import Duties, % YoY",p,"Taiwan, Deflator, Activity, Import Duties, LCU, % YoY"
"Taiwan, Deflator, Activity, Import Duties, Index",,"Taiwan, Deflator, Activity, Import Duties, Index, LCU"
"Taiwan, Deflator, Activity, Primary, % YoY",p,"Taiwan, Deflator, Activity, Primary, LCU, % YoY"
"Taiwan, Deflator, Activity, Primary, Agriculture, % YoY",p,"Taiwan, Deflator, Activity, Primary, Agriculture, LCU, % YoY"
"Taiwan, Deflator, Activity, Primary, Agriculture, Index",,"Taiwan, Deflator, Activity, Primary, Agriculture, Index, LCU"
"Taiwan, Deflator, Activity, Primary, Index",,"Taiwan, Deflator, Activity, Primary, Index, LCU"
"Taiwan, Deflator, Activity, Primary, Mining, % YoY",p,"Taiwan, Deflator, Activity, Primary, Mining, LCU, % YoY"
"Taiwan, Deflator, Activity, Primary, Mining, Index",,"Taiwan, Deflator, Activity, Primary, Mining, Index, LCU"
"Taiwan, Deflator, Activity, Secondary, % YoY",p,"Taiwan, Deflator, Activity, Secondary, LCU, % YoY"
"Taiwan, Deflator, Activity, Secondary, Construction, % YoY",p,"Taiwan, Deflator, Activity, Secondary, Construction, LCU, % YoY"
"Taiwan, Deflator, Activity, Secondary, Construction, Index",,"Taiwan, Deflator, Activity, Secondary, Construction, Index, LCU"
"Taiwan, Deflator, Activity, Secondary, Index",,"Taiwan, Deflator, Activity, Secondary, Index, LCU"
"Taiwan, Deflator, Activity, Secondary, Manufacturing, % YoY",p,"Taiwan, Deflator, Activity, Secondary, Manufacturing, LCU, % YoY"
"Taiwan, Deflator, Activity, Secondary, Manufacturing, Index",,"Taiwan, Deflator, Activity, Secondary, Manufacturing, Index, LCU"
"Taiwan, Deflator, Activity, Secondary, Utilities, % YoY",p,"Taiwan, Deflator, Activity, Secondary, Utilities, LCU, % YoY"
"Taiwan, Deflator, Activity, Secondary, Utilities, Electricity and gas, % YoY",p,"Taiwan, Deflator, Activity, Secondary, Utilities, Electricity and gas, LCU, % YoY"
"Taiwan, Deflator, Activity, Secondary, Utilities, Electricity and gas, Index",,"Taiwan, Deflator, Activity, Secondary, Utilities, Electricity and gas, Index, LCU"
"Taiwan, Deflator, Activity, Secondary, Utilities, Index",,"Taiwan, Deflator, Activity, Secondary, Utilities, Index, LCU"
"Taiwan, Deflator, Activity, Secondary, Utilities, Water supply, % YoY",p,"Taiwan, Deflator, Activity, Secondary, Utilities, Water supply, LCU, % YoY"
"Taiwan, Deflator, Activity, Secondary, Utilities, Water supply, Index",,"Taiwan, Deflator, Activity, Secondary, Utilities, Water supply, Index, LCU"
"Taiwan, Deflator, Activity, Tertiary, % YoY",p,"Taiwan, Deflator, Activity, Tertiary, LCU, % YoY"
"Taiwan, Deflator, Activity, Tertiary, Accommodation and food services, % YoY",p,"Taiwan, Deflator, Activity, Tertiary, Accommodation and food services, LCU, % YoY"
"Taiwan, Deflator, Activity, Tertiary, Accommodation and food services, Index",,"Taiwan, Deflator, Activity, Tertiary, Accommodation and food services, Index, LCU"
"Taiwan, Deflator, Activity, Tertiary, Arts, sports and recreation, % YoY",p,"Taiwan, Deflator, Activity, Tertiary, Arts, sports and recreation, LCU, % YoY"
"Taiwan, Deflator, Activity, Tertiary, Arts, sports and recreation, Index",,"Taiwan, Deflator, Activity, Tertiary, Arts, sports and recreation, Index, LCU"
"Taiwan, Deflator, Activity, Tertiary, Education, % YoY",p,"Taiwan, Deflator, Activity, Tertiary, Education, LCU, % YoY"
"Taiwan, Deflator, Activity, Tertiary, Education, Index",,"Taiwan, Deflator, Activity, Tertiary, Education, Index, LCU"
"Taiwan, Deflator, Activity, Tertiary, Financial and insurance, % YoY",p,"Taiwan, Deflator, Activity, Tertiary, Financial and insurance, LCU, % YoY"
"Taiwan, Deflator, Activity, Tertiary, Financial and insurance, Index",,"Taiwan, Deflator, Activity, Tertiary, Financial and insurance, Index, LCU"
"Taiwan, Deflator, Activity, Tertiary, Human health and social work, % YoY",p,"Taiwan, Deflator, Activity, Tertiary, Human health and social work, LCU, % YoY"
"Taiwan, Deflator, Activity, Tertiary, Human health and social work, Index",,"Taiwan, Deflator, Activity, Tertiary, Human health and social work, Index, LCU"
"Taiwan, Deflator, Activity, Tertiary, Index",,"Taiwan, Deflator, Activity, Tertiary, Index, LCU"
"Taiwan, Deflator, Activity, Tertiary, Information and communication, % YoY",p,"Taiwan, Deflator, Activity, Tertiary, Information and communication, LCU, % YoY"
"Taiwan, Deflator, Activity, Tertiary, Information and communication, Index",,"Taiwan, Deflator, Activity, Tertiary, Information and communication, Index, LCU"
"Taiwan, Deflator, Activity, Tertiary, Other services, % YoY",p,"Taiwan, Deflator, Activity, Tertiary, Other services, LCU, % YoY"
"Taiwan, Deflator, Activity, Tertiary, Other services, Index",,"Taiwan, Deflator, Activity, Tertiary, Other services, Index, LCU"
"Taiwan, Deflator, Activity, Tertiary, Professional, scientific and technical services, % YoY",p,"Taiwan, Deflator, Activity, Tertiary, Professional, scientific and technical services, LCU, % YoY"
"Taiwan, Deflator, Activity, Tertiary, Professional, scientific and technical services, Index",,"Taiwan, Deflator, Activity, Tertiary, Professional, scientific and technical services, Index, LCU"
"Taiwan, Deflator, Activity, Tertiary, Public administration, defence and social security, % YoY",p,"Taiwan, Deflator, Activity, Tertiary, Public administration, defence and social security, LCU, % YoY"
"Taiwan, Deflator, Activity, Tertiary, Public administration, defence and social security, Index",,"Taiwan, Deflator, Activity, Tertiary, Public administration, defence and social security, Index, LCU"
"Taiwan, Deflator, Activity, Tertiary, Real estate, % YoY",p,"Taiwan, Deflator, Activity, Tertiary, Real estate, LCU, % YoY"
"Taiwan, Deflator, Activity, Tertiary, Real estate, Index",,"Taiwan, Deflator, Activity, Tertiary, Real estate, Index, LCU"
"Taiwan, Deflator, Activity, Tertiary, Support services, % YoY",p,"Taiwan, Deflator, Activity, Tertiary, Support services, LCU, % YoY"
"Taiwan, Deflator, Activity, Tertiary, Support services, Index",,"Taiwan, Deflator, Activity, Tertiary, Support services, Index, LCU"
"Taiwan, Deflator, Activity, Tertiary, Transport and storage, % YoY",p,"Taiwan, Deflator, Activity, Tertiary, Transport and storage, LCU, % YoY"
"Taiwan, Deflator, Activity, Tertiary, Transport and storage, Index",,"Taiwan, Deflator, Activity, Tertiary, Transport and storage, Index, LCU"
"Taiwan, Deflator, Activity, Tertiary, Wholesale and retail, % YoY",p,"Taiwan, Deflator, Activity, Tertiary, Wholesale and retail, LCU, % YoY"
"Taiwan, Deflator, Activity, Tertiary, Wholesale and retail, Index",,"Taiwan, Deflator, Activity, Tertiary, Wholesale and retail, Index, LCU"
"Taiwan, Deflator, Activity, Total excluding statistical disrepancy, % YoY",p,"Taiwan, Deflator, Activity, Total excluding statistical disrepancy, LCU, % YoY"
"Taiwan, Deflator, Activity, Total excluding statistical disrepancy, Index",,"Taiwan, Deflator, Activity, Total excluding statistical disrepancy, Index, LCU"
"Taiwan, Deflator, Activity, Total excluding taxes and statistical discrepancy, % YoY",p,"Taiwan, Deflator, Activity, Total excluding taxes and statistical discrepancy, LCU, % YoY"
"Taiwan, Deflator, Activity, Total excluding taxes and statistical discrepancy, Index",,"Taiwan, Deflator, Activity, Total excluding taxes and statistical discrepancy, Index, LCU"
"Taiwan, Deflator, Activity, Value-Added Tax, % YoY",p,"Taiwan, Deflator, Activity, Value-Added Tax, LCU, % YoY"
"Taiwan, Deflator, Activity, Value-Added Tax, Index",,"Taiwan, Deflator, Activity, Value-Added Tax, Index, LCU"
"Taiwan, Deflator, Expenditure, Domestic Demand, Government Consumption, Index",,"Taiwan, Deflator, Expenditure, Domestic Demand, Government Consumption, Index, LCU"
"Taiwan, Deflator, Expenditure, Domestic Demand, Government Consumption, SA, Index",,"Taiwan, Deflator, Expenditure, Domestic Demand, Government Consumption, SA, Index, LCU"
"Taiwan, Deflator, Expenditure, Domestic Demand, Gross Capital Formation, Gross Fixed Capital Formation, Index",,"Taiwan, Deflator, Expenditure, Domestic Demand, Gross Capital Formation, Gross Fixed Capital Formation, Index, LCU"
"Taiwan, Deflator, Expenditure, Domestic Demand, Gross Capital Formation, Gross Fixed Capital Formation, Index.1",,"Taiwan, Deflator, Expenditure, Domestic Demand, Gross Capital Formation, Gross Fixed Capital Formation, Index.1, LCU"
"Taiwan, Deflator, Expenditure, Domestic Demand, Gross Capital Formation, Gross Fixed Capital Formation, SA, Index",,"Taiwan, Deflator, Expenditure, Domestic Demand, Gross Capital Formation, Gross Fixed Capital Formation, SA, Index, LCU"
"Taiwan, Deflator, Expenditure, Domestic Demand, Private Consumption, Index",,"Taiwan, Deflator, Expenditure, Domestic Demand, Private Consumption, Index, LCU"
"Taiwan, Deflator, Expenditure, Domestic Demand, Private Consumption, SA, Index",,"Taiwan, Deflator, Expenditure, Domestic Demand, Private Consumption, SA, Index, LCU"
