name,display_name,data_type,chart_type
"Taiwan, EPI, USD basis, Index","Taiwan, EPI, USD basis, Index",None,line
"Taiwan, EPI, USD basis, Animal products, Index","Taiwan, EPI, USD basis, Animal products, Index",None,line
"Taiwan, EPI, USD basis, Animal products, Fish and crustaceans, Index","Taiwan, EPI, USD basis, Animal products, Fish and crustaceans, Index",None,line
"Taiwan, EPI, USD basis, Vegetable products, Index","Taiwan, EPI, USD basis, Vegetable products, Index",None,line
"Taiwan, EPI, USD basis, Prepared foodstuffs and beverages, Index","Taiwan, EPI, USD basis, Prepared foodstuffs and beverages, Index",None,line
"Taiwan, EPI, USD basis, Prepared foodstuffs and beverages, Preparations of cereals, Index","Taiwan, EPI, USD basis, Prepared foodstuffs and beverages, Preparations of cereals, Index",None,line
"Taiwan, EPI, USD basis, Prepared foodstuffs and beverages, Beverages and spirits, Index","Taiwan, EPI, USD basis, Prepared foodstuffs and beverages, Beverages and spirits, Index",None,line
"Taiwan, EPI, USD basis, Mineral products, Index","Taiwan, EPI, USD basis, Mineral products, Index",None,line
"Taiwan, EPI, USD basis, Mineral products, Energy minerals, Index","Taiwan, EPI, USD basis, Mineral products, Energy minerals, Index",None,line
"Taiwan, EPI, USD basis, Chemicals, Index","Taiwan, EPI, USD basis, Chemicals, Index",None,line
"Taiwan, EPI, USD basis, Chemicals, Inorganic chemicals, Index","Taiwan, EPI, USD basis, Chemicals, Inorganic chemicals, Index",None,line
"Taiwan, EPI, USD basis, Chemicals, Organic chemicals, Index","Taiwan, EPI, USD basis, Chemicals, Organic chemicals, Index",None,line
"Taiwan, EPI, USD basis, Chemicals, Ch.pharmaceutical products, Index","Taiwan, EPI, USD basis, Chemicals, Ch.pharmaceutical products, Index",None,line
"Taiwan, EPI, USD basis, Chemicals, Colouring matter and paints, Index","Taiwan, EPI, USD basis, Chemicals, Colouring matter and paints, Index",None,line
"Taiwan, EPI, USD basis, Chemicals, Surface-active agents, Index","Taiwan, EPI, USD basis, Chemicals, Surface-active agents, Index",None,line
