name,display_name,data_type,chart_type
"Taiwan, WPI, All items","Taiwan, WPI, All items",None,line
"Taiwan, WPI, Agriculture, Forestry, Fishing and animal husbandry products","Taiwan, WPI, Agriculture, Forestry, Fishing and animal husbandry products",None,line
"Taiwan, WPI, Quarrying and mining products","Taiwan, WPI, Quarrying and mining products",None,line
"Taiwan, WPI, Manufacturing products","Taiwan, WPI, Manufacturing products",None,line
"Taiwan, WPI, Electronic parts and components","Taiwan, WPI, Electronic parts and components",None,line
"Taiwan, WPI, (semi-conductors","Taiwan, WPI, (semi-conductors",None,line
"Taiwan, WPI, Computers, Electronic and optical products","Taiwan, WPI, Computers, Electronic and optical products",None,line
"Taiwan, WPI, Water, Electricity & gas supply","Taiwan, WPI, Water, Electricity & gas supply",None,line
"Taiwan, WPI, All items, % YoY","Taiwan, WPI, All items, % YoY",None,line
"Taiwan, WPI, Agriculture, Forestry, Fishing and animal husbandry products, % YoY","Taiwan, WPI, Agriculture, Forestry, Fishing and animal husbandry products, % YoY",None,line
"Taiwan, WPI, Quarrying and mining products, % YoY","Taiwan, WPI, Quarrying and mining products, % YoY",None,line
"Taiwan, WPI, Manufacturing products, % YoY","Taiwan, WPI, Manufacturing products, % YoY",None,line
"Taiwan, WPI, Electronic parts and components, % YoY","Taiwan, WPI, Electronic parts and components, % YoY",None,line
"Taiwan, WPI, (semi-conductors, % YoY","Taiwan, WPI, (semi-conductors, % YoY",None,line
"Taiwan, WPI, Computers, Electronic and optical products, % YoY","Taiwan, WPI, Computers, Electronic and optical products, % YoY",None,line
"Taiwan, WPI, Water, Electricity & gas supply, % YoY","Taiwan, WPI, Water, Electricity & gas supply, % YoY",None,line
"Taiwan, WPI, All items, 3mma","Taiwan, WPI, All items, 3mma",None,line
"Taiwan, WPI, Agriculture, Forestry, Fishing and animal husbandry products, 3mma","Taiwan, WPI, Agriculture, Forestry, Fishing and animal husbandry products, 3mma",None,line
"Taiwan, WPI, Quarrying and mining products, 3mma","Taiwan, WPI, Quarrying and mining products, 3mma",None,line
"Taiwan, WPI, Manufacturing products, 3mma","Taiwan, WPI, Manufacturing products, 3mma",None,line
"Taiwan, WPI, Electronic parts and components, 3mma","Taiwan, WPI, Electronic parts and components, 3mma",None,line
"Taiwan, WPI, (semi-conductors, 3mma","Taiwan, WPI, (semi-conductors, 3mma",None,line
"Taiwan, WPI, Computers, Electronic and optical products, 3mma","Taiwan, WPI, Computers, Electronic and optical products, 3mma",None,line
"Taiwan, WPI, Water, Electricity & gas supply, 3mma","Taiwan, WPI, Water, Electricity & gas supply, 3mma",None,line
"Taiwan, WPI, All items, % YoY, 3mma","Taiwan, WPI, All items, % YoY, 3mma",None,line
"Taiwan, WPI, Agriculture, Forestry, Fishing and animal husbandry products, % YoY, 3mma","Taiwan, WPI, Agriculture, Forestry, Fishing and animal husbandry products, % YoY, 3mma",None,line
"Taiwan, WPI, Quarrying and mining products, % YoY, 3mma","Taiwan, WPI, Quarrying and mining products, % YoY, 3mma",None,line
"Taiwan, WPI, Manufacturing products, % YoY, 3mma","Taiwan, WPI, Manufacturing products, % YoY, 3mma",None,line
"Taiwan, WPI, Electronic parts and components, % YoY, 3mma","Taiwan, WPI, Electronic parts and components, % YoY, 3mma",None,line
"Taiwan, WPI, (semi-conductors, % YoY, 3mma","Taiwan, WPI, (semi-conductors, % YoY, 3mma",None,line
"Taiwan, WPI, Computers, Electronic and optical products, % YoY, 3mma","Taiwan, WPI, Computers, Electronic and optical products, % YoY, 3mma",None,line
"Taiwan, WPI, Water, Electricity & gas supply, % YoY, 3mma","Taiwan, WPI, Water, Electricity & gas supply, % YoY, 3mma",None,line
