name,display_name,data_type,chart_type
"Taiwan, Sentimnent, Consumer, Index","Taiwan, Sentimnent, Consumer, Index",None,line
"Taiwan, Sentimnent, Consumer, Index, 12M chg","Taiwan, Sentimnent, Consumer, Index, 12M chg",None,line
"Taiwan, Sentimnent, Consumer, Index, SA","Taiwan, Sentimnent, Consumer, Index, SA",None,line
"Taiwan, Sentimnent, Consumer, Index, 3mma","Taiwan, Sentimnent, Consumer, Index, 3mma",None,line
"Taiwan, Sentimnent, Consumer, Index, 12M chg, 3mma","Taiwan, Sentimnent, Consumer, Index, 12M chg, 3mma",None,line
"Taiwan, Sentimnent, Consumer, Index, SA, 3mma","Taiwan, Sentimnent, Consumer, Index, SA, 3mma",None,line
"Taiwan, Sentimnent, Consumer, Expected prices, Index","Taiwan, Sentimnent, Consumer, Expected prices, Index",None,line
"Taiwan, Sentimnent, Consumer, Household economic situation, Index","Taiwan, Sentimnent, Consumer, Household economic situation, Index",None,line
"Taiwan, Sentimnent, Consumer, National economy situation, Index","Taiwan, Sentimnent, Consumer, National economy situation, Index",None,line
"Taiwan, Sentimnent, Consumer, Employment, Index","Taiwan, Sentimnent, Consumer, Employment, Index",None,line
"Taiwan, Sentimnent, Consumer, Stockmarket prospects, Index","Taiwan, Sentimnent, Consumer, Stockmarket prospects, Index",None,line
"Taiwan, Sentimnent, Consumer, Durable goods purchase intentions, Index","Taiwan, Sentimnent, Consumer, Durable goods purchase intentions, Index",None,line
"Taiwan, Sentimnent, Consumer, Health situation, Index","Taiwan, Sentimnent, Consumer, Health situation, Index",None,line
"Taiwan, Sentimnent, Consumer, Health expectations, Index","Taiwan, Sentimnent, Consumer, Health expectations, Index",None,line
"Taiwan, Sentimnent, Consumer, House purchase intentions, Index","Taiwan, Sentimnent, Consumer, House purchase intentions, Index",None,line
"Taiwan, Sentimnent, Consumer, Expected prices, Index, 12M chg","Taiwan, Sentimnent, Consumer, Expected prices, Index, 12M chg",None,line
"Taiwan, Sentimnent, Consumer, Household economic situation, Index, 12M chg","Taiwan, Sentimnent, Consumer, Household economic situation, Index, 12M chg",None,line
"Taiwan, Sentimnent, Consumer, National economy situation, Index, 12M chg","Taiwan, Sentimnent, Consumer, National economy situation, Index, 12M chg",None,line
"Taiwan, Sentimnent, Consumer, Employment, Index, 12M chg","Taiwan, Sentimnent, Consumer, Employment, Index, 12M chg",None,line
"Taiwan, Sentimnent, Consumer, Stockmarket prospects, Index, 12M chg","Taiwan, Sentimnent, Consumer, Stockmarket prospects, Index, 12M chg",None,line
"Taiwan, Sentimnent, Consumer, Durable goods purchase intentions, Index, 12M chg","Taiwan, Sentimnent, Consumer, Durable goods purchase intentions, Index, 12M chg",None,line
"Taiwan, Sentimnent, Consumer, Health situation, Index, 12M chg","Taiwan, Sentimnent, Consumer, Health situation, Index, 12M chg",None,line
"Taiwan, Sentimnent, Consumer, Health expectations, Index, 12M chg","Taiwan, Sentimnent, Consumer, Health expectations, Index, 12M chg",None,line
"Taiwan, Sentimnent, Consumer, House purchase intentions, Index, 12M chg","Taiwan, Sentimnent, Consumer, House purchase intentions, Index, 12M chg",None,line
"Taiwan, Sentimnent, Consumer, Expected prices, Index, SA","Taiwan, Sentimnent, Consumer, Expected prices, Index, SA",None,line
"Taiwan, Sentimnent, Consumer, Household economic situation, Index, SA","Taiwan, Sentimnent, Consumer, Household economic situation, Index, SA",None,line
