name,display_name,data_type,chart_type
"Exports, All, USD","Exports, All, USD",r,line
"Exports, Tech, total, USD","Exports, Tech, total, USD",r,line
"Exports, Office Machines and Automatic Data-processing Machines SITC 75, USD","Exports, Office Machines and Automatic Data-processing Machines SITC 75, USD",r,line
"Exports, Telecommunications equipment SITC 76, USD","Exports, Telecommunications equipment SITC 76, USD",r,line
"Exports, Electrical machinery SITC 77, USD","Exports, Electrical machinery SITC 77, USD",r,line
"Exports, Semiconductors HS 776, USD","Exports, Semiconductors HS 776, USD",r,line
"Exports, Semiconductor manufacturing equipment HS 848620, USD","Exports, Semiconductor manufacturing equipment HS 848620, USD",r,line
"Exports, Non-tech exports, total, USD","Exports, Non-tech exports, total, USD",r,line
"Exports, EU, USD","Exports, EU, USD",r,line
"Exports, DM excl Japan, USD","Exports, DM excl Japan, USD",r,line
"Exports, China and Hong Kong, USD","Exports, China and Hong Kong, USD",r,line
"Exports, North Asia, USD","Exports, North Asia, USD",r,line
"Exports, US, USD","Exports, US, USD",r,line
"Exports, ASEAN, USD","Exports, ASEAN, USD",r,line
"Exports, EM, USD","Exports, EM, USD",r,line
"Imports, All, USD","Imports, All, USD",r,line
"Imports, Fuels, USD","Imports, Fuels, USD",r,line
"Imports, Capital goods, incl parts, USD","Imports, Capital goods, incl parts, USD",r,line
"Imports, Capital goods, USD","Imports, Capital goods, USD",r,line
"Imports, Capital goods, parts, USD","Imports, Capital goods, parts, USD",r,line
"Imports, Semi mfg equipment, USD","Imports, Semi mfg equipment, USD",r,line
"Exports, All, LCU","Exports, All, LCU",r,line
"Exports, Tech, total, LCU","Exports, Tech, total, LCU",r,line
"Exports, Office Machines and Automatic Data-processing Machines SITC 75, LCU","Exports, Office Machines and Automatic Data-processing Machines SITC 75, LCU",r,line
"Exports, Telecommunications equipment SITC 76, LCU","Exports, Telecommunications equipment SITC 76, LCU",r,line
"Exports, Electrical machinery SITC 77, LCU","Exports, Electrical machinery SITC 77, LCU",r,line
"Exports, Semiconductors HS 776, LCU","Exports, Semiconductors HS 776, LCU",r,line
"Exports, Semiconductor manufacturing equipment HS 848620, LCU","Exports, Semiconductor manufacturing equipment HS 848620, LCU",r,line
"Exports, Non-tech exports, total, LCU","Exports, Non-tech exports, total, LCU",r,line
"Exports, EU, LCU","Exports, EU, LCU",r,line
"Exports, DM excl Japan, LCU","Exports, DM excl Japan, LCU",r,line
"Exports, China and Hong Kong, LCU","Exports, China and Hong Kong, LCU",r,line
"Exports, North Asia, LCU","Exports, North Asia, LCU",r,line
"Exports, US, LCU","Exports, US, LCU",r,line
"Exports, ASEAN, LCU","Exports, ASEAN, LCU",r,line
"Exports, EM, LCU","Exports, EM, LCU",r,line
"Imports, All, LCU","Imports, All, LCU",r,line
"Imports, Fuels, LCU","Imports, Fuels, LCU",r,line
"Imports, Capital goods, incl parts, LCU","Imports, Capital goods, incl parts, LCU",r,line
"Imports, Capital goods, LCU","Imports, Capital goods, LCU",r,line
"Imports, Capital goods, parts, LCU","Imports, Capital goods, parts, LCU",r,line
"Imports, Semi mfg equipment, LCU","Imports, Semi mfg equipment, LCU",r,line
"Exports, All, Work day adjusted, USD","Exports, All, Work day adjusted, USD",r,line
"Exports, All, USD, % YoY","Exports, All, USD, % YoY",p,line
"Exports, Tech, total, USD, % YoY","Exports, Tech, total, USD, % YoY",p,line
"Exports, Office Machines and Automatic Data-processing Machines SITC 75, USD, % YoY","Exports, Office Machines and Automatic Data-processing Machines SITC 75, USD, % YoY",p,line
"Exports, Telecommunications equipment SITC 76, USD, % YoY","Exports, Telecommunications equipment SITC 76, USD, % YoY",p,line
"Exports, Electrical machinery SITC 77, USD, % YoY","Exports, Electrical machinery SITC 77, USD, % YoY",p,line
"Exports, Semiconductors HS 776, USD, % YoY","Exports, Semiconductors HS 776, USD, % YoY",p,line
"Exports, Semiconductor manufacturing equipment HS 848620, USD, % YoY","Exports, Semiconductor manufacturing equipment HS 848620, USD, % YoY",p,line
"Exports, Non-tech exports, total, USD, % YoY","Exports, Non-tech exports, total, USD, % YoY",p,line
"Exports, EU, USD, % YoY","Exports, EU, USD, % YoY",p,line
"Exports, DM excl Japan, USD, % YoY","Exports, DM excl Japan, USD, % YoY",p,line
"Exports, China and Hong Kong, USD, % YoY","Exports, China and Hong Kong, USD, % YoY",p,line
"Exports, North Asia, USD, % YoY","Exports, North Asia, USD, % YoY",p,line
"Exports, US, USD, % YoY","Exports, US, USD, % YoY",p,line
"Exports, ASEAN, USD, % YoY","Exports, ASEAN, USD, % YoY",p,line
"Exports, EM, USD, % YoY","Exports, EM, USD, % YoY",p,line
"Imports, All, USD, % YoY","Imports, All, USD, % YoY",p,line
"Imports, Fuels, USD, % YoY","Imports, Fuels, USD, % YoY",p,line
"Imports, Capital goods, incl parts, USD, % YoY","Imports, Capital goods, incl parts, USD, % YoY",p,line
"Imports, Capital goods, USD, % YoY","Imports, Capital goods, USD, % YoY",p,line
"Imports, Capital goods, parts, USD, % YoY","Imports, Capital goods, parts, USD, % YoY",p,line
"Imports, Semi mfg equipment, USD, % YoY","Imports, Semi mfg equipment, USD, % YoY",p,line
"Exports, All, LCU, % YoY","Exports, All, LCU, % YoY",p,line
"Exports, Tech, total, LCU, % YoY","Exports, Tech, total, LCU, % YoY",p,line
"Exports, Office Machines and Automatic Data-processing Machines SITC 75, LCU, % YoY","Exports, Office Machines and Automatic Data-processing Machines SITC 75, LCU, % YoY",p,line
"Exports, Telecommunications equipment SITC 76, LCU, % YoY","Exports, Telecommunications equipment SITC 76, LCU, % YoY",p,line
"Exports, Electrical machinery SITC 77, LCU, % YoY","Exports, Electrical machinery SITC 77, LCU, % YoY",p,line
"Exports, Semiconductors HS 776, LCU, % YoY","Exports, Semiconductors HS 776, LCU, % YoY",p,line
"Exports, Semiconductor manufacturing equipment HS 848620, LCU, % YoY","Exports, Semiconductor manufacturing equipment HS 848620, LCU, % YoY",p,line
"Exports, Non-tech exports, total, LCU, % YoY","Exports, Non-tech exports, total, LCU, % YoY",p,line
"Exports, EU, LCU, % YoY","Exports, EU, LCU, % YoY",p,line
"Exports, DM excl Japan, LCU, % YoY","Exports, DM excl Japan, LCU, % YoY",p,line
"Exports, China and Hong Kong, LCU, % YoY","Exports, China and Hong Kong, LCU, % YoY",p,line
"Exports, North Asia, LCU, % YoY","Exports, North Asia, LCU, % YoY",p,line
"Exports, US, LCU, % YoY","Exports, US, LCU, % YoY",p,line
"Exports, ASEAN, LCU, % YoY","Exports, ASEAN, LCU, % YoY",p,line
"Exports, EM, LCU, % YoY","Exports, EM, LCU, % YoY",p,line
"Imports, All, LCU, % YoY","Imports, All, LCU, % YoY",p,line
"Imports, Fuels, LCU, % YoY","Imports, Fuels, LCU, % YoY",p,line
"Imports, Capital goods, incl parts, LCU, % YoY","Imports, Capital goods, incl parts, LCU, % YoY",p,line
"Imports, Capital goods, LCU, % YoY","Imports, Capital goods, LCU, % YoY",p,line
"Imports, Capital goods, parts, LCU, % YoY","Imports, Capital goods, parts, LCU, % YoY",p,line
"Imports, Semi mfg equipment, LCU, % YoY","Imports, Semi mfg equipment, LCU, % YoY",p,line
"Exports, All, USD, % YoY, 3mma","Exports, All, USD, % YoY, 3mma",p,line
"Exports, Tech, total, USD, % YoY, 3mma","Exports, Tech, total, USD, % YoY, 3mma",p,line
"Exports, Office Machines and Automatic Data-processing Machines SITC 75, USD, % YoY, 3mma","Exports, Office Machines and Automatic Data-processing Machines SITC 75, USD, % YoY, 3mma",p,line
"Exports, Telecommunications equipment SITC 76, USD, % YoY, 3mma","Exports, Telecommunications equipment SITC 76, USD, % YoY, 3mma",p,line
"Exports, Electrical machinery SITC 77, USD, % YoY, 3mma","Exports, Electrical machinery SITC 77, USD, % YoY, 3mma",p,line
"Exports, Semiconductors HS 776, USD, % YoY, 3mma","Exports, Semiconductors HS 776, USD, % YoY, 3mma",p,line
